Buy Date,Ticker,Buy Strat,Last Alert Date,Stop Loss,Buy Price,Target,Call,Status,CMP,Quantity,Hit Type,Sell Price,Sell Date
10/9/2024,NAHARPOLY.NS,EW_DC,10/9/2024,232,238.05,0,Long,Open,243.0500031,165,,,
10/9/2024,NATPLY.BO,ATR,10/8/2024,4.35,5.85,0,Long,Open,8.420000076,667,,,
10/9/2024,NAZARA.NS,EW_BW,10/9/2024,890.9,964.78,0,Long,Open,899.4000244,14,,,
10/9/2024,NCLRESE.BO,EW_BW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.74000001,#N/A,,,
10/9/2024,NDTV.NS,BB_DC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,174.4900055,#N/A,,,
10/9/2024,NELCO.NS,BB_DC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,979.2999878,#N/A,,,
10/9/2024,NGIND.BO,EW_DC,10/9/2024,154,165.43,0,Long,Open,170,87,,,
10/9/2024,NIBL.NS,BB_DC,10/8/2024,33.02,31.91,0,Long,Open,35.97000122,-901,,,
10/9/2024,NIHARINF.BO,EW_DC,10/9/2024,5.45,5.75,0,Long,Open,6.409999847,3333,,,
10/9/2024,NILAINFRA.NS,EW_DC,10/9/2024,11.42,12.53,0,Long,Open,12.69999981,901,,,
10/9/2024,NIPPOBATRY.NS,BB_DC,9/24/2024,546.05,576.65,0,Long,Open,562.3499756,33,,,
10/9/2024,OASISEC.BO,EW_UC,10/9/2024,181.3,187.73,0,Long,Open,196,156,,,
10/9/2024,OBEROIRLTY.NS,ATREW_UC,10/9/2024,1714.05,1782.55,0,Long,Open,1903,15,,,
10/9/2024,OCCL.NS,EW_DC,10/9/2024,240,249.88,0,Long,Open,275,101,,,
10/9/2024,OFSS.NS,EW_UC,10/9/2024,10651.25,11385.36,0,Long,Open,11464.5,1,,,
10/9/2024,OIL.NS,BB_DC,10/8/2024,534.9,547.61,0,Long,Open,529.7000122,79,,,
10/9/2024,OKPLA.BO,BB_W,10/8/2024,13.27,13.15,0,Long,Open,13.02999973,-8333,,,
10/9/2024,ORCHPHARMA.NS,EW_BW,10/9/2024,1240.05,1343.48,0,Long,Open,1346.949951,10,,,
10/9/2024,ORGCOAT.BO,BB_UC,9/30/2024,9.03,17.4,0,Long,Open,27.14999962,119,,,
10/9/2024,ORTEL.NS,ATR_UC,10/1/2024,1.32,1.74,0,Long,Open,0,2381,,,
10/9/2024,PADMAIND.BO,EW_DC,10/9/2024,4.56,4.69,0,Long,Open,5.96999979,7692,,,
10/9/2024,PAGEIND.NS,ATR_UC,9/10/2024,33070.05,40445.8,0,Long,Open,45524.14844,0,,,
10/9/2024,PANACEABIO.NS,EW_W,10/9/2024,130,276.19,0,Long,Open,355.5,7,,,
10/9/2024,PANCARBON.BO,EW_BW,10/9/2024,609.05,671.38,0,Long,Open,642.1500244,16,,,
10/9/2024,PANSARI.NS,EW_BW,10/9/2024,115.15,120.38,0,Long,Open,125,191,,,
10/9/2024,PDMJEPAPER.NS,ATREWBBLR_DC,10/9/2024,102.54,113.91,0,Long,Open,117.3000031,88,,,
10/9/2024,PFIZER.NS,BB_DC,9/27/2024,3950,5534.19,0,Long,Open,5787.450195,1,,,
10/9/2024,PFOCUS.NS,BB_DC,10/8/2024,131.1,138.23,0,Long,Open,159.9499969,140,,,
10/9/2024,PFS.NS,EW_DC,10/9/2024,45.29,48.11,0,Long,Open,44.97999954,355,,,
10/9/2024,PGFOILQ.BO,EW_BW,10/9/2024,199,220.5,0,Long,Open,215,47,,,
10/9/2024,PHOENXINTL.BO,EW_DC,10/9/2024,63.1,66.63,0,Long,Open,68,283,,,
10/9/2024,PNC.NS,EW_BW,10/9/2024,59.31,64.57,0,Long,Open,64.81999969,190,,,
10/9/2024,POEL.BO,ATRBB_DC,10/8/2024,294.25,721.5,0,Long,Open,830.25,2,,,
