Ticker,Last Alert Date_x,Buy Price_x,Target_x,Call_x,Status_x,Buy Date,Buy Strat,Last Alert Date_y,ll,Buy Price_y,Target_y,Call_y,Status_y,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
APARINDS.NS,2024-10-29,9317.55,,Long,Open,2024-10-31,ATR_BW,2024-10-29,9210.8,9317.55,,Long,Open,10062.35,2024-11-01,9.36768149882904,,,India
APIL.BO,2024-10-30,22.17,,Long,Open,2024-10-31,ATRBB_W,2024-10-30,20.25,22.17,,Long,Open,25.39,2024-11-01,520.8333333333329,,,India
APLAPOLLO.NS,2024-10-31,1500.34,,Long,Open,2024-10-31,EW_BW,2024-10-31,1376.7,1500.34,,Long,Open,1520.45,2024-11-01,8.087997411840837,,,India
APOLLOPIPE.NS,2024-10-31,526.0,,Long,Open,2024-10-31,EW_BW,2024-10-31,472.35,526.0,,Long,Open,530.0,2024-11-01,18.639328984156577,,,India
APOLLOTYRE.NS,2024-10-31,497.99,,Long,Open,2024-10-31,EW_DC,2024-10-31,474.25,497.99,,Long,Open,504.95,2024-11-01,42.12299915754,,,India
ARAVALIS.BO,2024-10-30,4.66,,Long,Open,2024-10-31,BB_DC,2024-10-30,4.38,4.66,,Long,Open,5.06,2024-11-01,3571.4285714285684,,,India
ARIES.NS,2024-10-28,233.5,,Long,Open,2024-10-31,BB_DC,2024-10-28,224.2,233.5,,Long,Open,264.35,2024-11-01,107.52688172042996,,,India
ARVIND.NS,2024-10-28,326.38,,Long,Open,2024-10-31,BBLR_DC,2024-10-28,308.35,326.38,,Long,Open,371.7,2024-11-01,55.46311702717701,,,India
ARYAMAN.BO,2024-10-31,404.99,,Long,Open,2024-10-31,EWLR_DC,2024-10-31,375.0,404.99,,Long,Open,435.65,2024-11-01,33.34444814938312,,,India
ASAHIINDIA.NS,2024-10-30,691.7,,Long,Open,2024-10-31,ATRBB_DC,2024-10-30,657.65,691.7,,Long,Open,750.3,2024-11-01,29.36857562408217,,,India
ASAHISONG.NS,2024-10-31,408.52,,Long,Open,2024-10-31,EW_DC,2024-10-31,392.65,408.52,,Long,Open,427.75,2024-11-01,63.01197227473218,,,India
ASHIMASYN.NS,2024-10-31,31.77,,Long,Open,2024-10-31,EWBB_DC,2024-10-31,29.09,31.77,,Long,Open,31.75,2024-11-01,373.134328358209,,,India
ASHSI.BO,2024-10-31,37.38,,Long,Open,2024-10-31,EW_DC,2024-10-31,35.55,37.38,,Long,Open,38.57,2024-11-01,546.4480874316923,,,India
ASTRON.NS,2024-10-31,20.73,,Long,Open,2024-10-31,EW_DC,2024-10-31,19.0,20.73,,Long,Open,21.31,2024-11-01,578.0346820809248,,,India
AURIONPRO.NS,2024-10-31,1584.78,,Long,Open,2024-10-31,EW_UC,2024-10-31,1470.0,1584.78,,Long,Open,1653.05,2024-11-01,8.7123192193762,,,India
AVANTEL.BO,2024-10-31,169.96,,Long,Open,2024-10-31,EW_BW,2024-10-31,163.45,169.96,,Long,Open,174.65,2024-11-01,153.6098310291854,,,India
AVL.BO,2024-10-31,424.96,,Long,Open,2024-10-31,EWBB_DC,2024-10-31,412.35,424.96,,Long,Open,461.25,2024-11-01,79.30214115781153,,,India
AVTNPL.NS,2024-10-31,82.35,,Long,Open,2024-10-31,EW_DC,2024-10-31,77.7,82.35,,Long,Open,83.41,2024-11-01,215.05376344086065,,,India
AXELPOLY.BO,2024-10-25,59.99,,Long,Open,2024-10-31,ATR_BW,2024-10-25,59.0,59.99,,Long,Open,63.54,2024-11-01,1010.101010101008,,,India
BAJAJHIND.NS,2024-10-31,34.33,,Long,Open,2024-10-31,EW_BW,2024-10-31,31.61,34.33,,Long,Open,34.84,2024-11-01,367.6470588235296,,,India
BAJAJST.BO,2024-10-30,3017.91,,Long,Open,2024-10-31,BB_W,2024-10-30,2871.2,3017.91,,Long,Open,3512.2,2024-11-01,6.816167950378295,,,India
BBOX.NS,2024-10-29,450.25,,Long,Open,2024-10-31,LR_DC,2024-10-29,445.4,450.25,,Long,Open,487.4,2024-11-01,206.18556701030832,,,India
BEMHY.BO,2024-10-29,1262.0,,Long,Open,2024-10-31,BB_DC,2024-10-29,1189.5,1262.0,,Long,Open,1339.95,2024-11-01,13.79310344827586,,,India
