Ticker,Date/Time,Close,myBuy ,myShort
PHRMASI.BO,9/25/2024,56,,1
PICCADIL.BO,9/18/2024,743,1,
PIDILITIND.NS,9/25/2024,3363,,1
PODDARMENT.NS,9/19/2024,412,1,
POLYCAB.NS,9/27/2024,7055,1,
PONNIERODE.NS,9/25/2024,498,1,
PRECOT.NS,9/27/2024,453,1,
PROFINC.BO,9/18/2024,2,,1
PUNJABCHEM.NS,9/27/2024,1260,1,
QUASAR.BO,9/25/2024,21,,1
RAJSREESUG.NS,9/23/2024,76,1,
RALLIS.NS,9/27/2024,328,1,
RANASUG.NS,9/27/2024,22,1,
RATNABHUMI.BO,9/17/2024,156,,1
RATNAMANI.NS,9/18/2024,3646,,1
RELIANCE.NS,9/23/2024,3052,1,
RISHILASE.BO,9/19/2024,166,1,
RTFL.BO,9/24/2024,69,1,
RTNPOWER.NS,9/25/2024,15,,1
RTSPOWR.BO,9/27/2024,298,,1
S&SPOWER.NS,9/19/2024,394,,1
SAPPL.BO,9/19/2024,221,1,
SATIA.NS,9/27/2024,120,1,
SATINDLTD.BO,9/18/2024,126,,1
SBICARD.NS,9/20/2024,786,,1
SCANPGEOM.BO,9/25/2024,9,1,
SCHNEIDER.NS,9/24/2024,822,1,
SDL.BO,9/24/2024,21,1,
SEAMECLTD.NS,9/26/2024,1439,1,
SGIL.BO,9/24/2024,412,,1
SGNTE.BO,9/19/2024,1,,1
SHIVACEM.BO,9/24/2024,49,1,
SHK.NS,9/20/2024,300,,1
SHRADHA.NS,9/19/2024,145,1,
SHREYAS.NS,9/20/2024,340,1,
SHRIPISTON.NS,9/23/2024,2244,,1
SIGIND.NS,9/20/2024,74,1,
SIKA.BO,9/23/2024,2614,1,
SIL.NS,9/18/2024,28,1,
SIMMOND.BO,9/24/2024,127,,1
SJVN.NS,9/27/2024,134,1,
SML.BO,9/19/2024,31,,1
SNL.BO,9/19/2024,448,,1
SOUTLAT.BO,9/23/2024,32,1,
STARPAPER.NS,9/18/2024,225,,1
STEELCITY.NS,9/25/2024,96,,1
STEELCAS.BO,9/25/2024,809,,1
STOVEKRAFT.NS,9/27/2024,896,,1
STLTECH.NS,9/23/2024,126,1,
SUDARSCHEM.NS,9/25/2024,1104,1,
SUNILTX.BO,9/18/2024,62,,1
SUNLOC.BO,9/19/2024,92,,1
SUPER.BO,9/23/2024,1628,1,
SURAJ.BO,9/26/2024,548,1,
SURANAT&P.NS,9/18/2024,24,1,
SWELECTES.NS,9/26/2024,1253,,1
SWSOLAR.NS,9/19/2024,649,,1
SYNTHFO.BO,9/23/2024,96,,1
TALBROAUTO.NS,9/23/2024,334,1,
TATASTEEL.NS,9/24/2024,167,1,
TATASTLLP.NS,11/15/2023,830,1,
TCFCFINQ.BO,9/26/2024,73,1,
TDSL.BO,9/26/2024,13,,1
TERASOFT.NS,9/24/2024,82,1,
TIRSARJ.BO,9/19/2024,18,,1
TRF.NS,9/27/2024,500,,1
TUTIALKA.BO,9/18/2024,92,,1
UNIENTER.NS,9/19/2024,179,,1
UNIOFFICE.BO,9/18/2024,6,,1
UNIVSTAR.BO,9/27/2024,205,1,
UPL.NS,9/18/2024,611,,1
VALIANT.BO,9/18/2024,679,,1
VALIANT.BO,9/23/2024,679,1,
VARROC.NS,9/24/2024,582,1,
VIRATCRA.BO,9/20/2024,69,1,
VISHNU.NS,9/25/2024,408,1,
WEBELSOLAR.NS,9/18/2024,1113,,1
WELSPUNIND.NS,2/9/2024,153,1,
YOGISUNG.BO,9/25/2024,12,1,
ZBINTXPP.BO,9/24/2024,1900,1,
ZENOTECH.BO,9/26/2024,93,,1
