Ticker,Date/Time,Close,hh,ll,FromLow,FromHigh
ABCINDQ.BO,10/4/2024,126.35,165.00,118.10,0.00,5.00
ABCINDQ.BO,10/9/2024,131.10,165.00,118.10,1.00,6.00
ABHIFIN.BO,9/9/2024,37.27,,,,
ABHICAP.BO,10/4/2024,157.00,195.00,152.20,0.00,0.00
ABHICAP.BO,10/9/2024,161.85,195.00,150.00,0.00,0.00
ABHIINFRA.BO,10/4/2024,9.29,11.36,5.92,0.00,2.00
ABHIINFRA.BO,10/8/2024,8.83,11.36,5.92,0.00,3.00
ABIRAFN.BO,10/4/2024,58.20,63.95,52.25,2.00,1.00
ABIRAFN.BO,10/9/2024,53.75,63.95,52.25,3.00,2.00
ABMKNO.BO,10/4/2024,137.75,171.00,132.80,2.00,2.00
ABMKNO.BO,10/9/2024,135.70,171.00,126.30,0.00,0.00
ABVL.BO,10/7/2024,121.30,121.30,,0.00,
ABFRL.NS,10/4/2024,333.00,364.40,303.00,1.00,1.00
ABFRL.NS,10/9/2024,341.20,364.40,303.00,0.00,2.00
ABCAPITAL.NS,10/4/2024,227.83,244.00,200.05,0.00,0.00
ABCAPITAL.NS,10/9/2024,225.61,244.00,200.05,0.00,1.00
ACCEL.BO,10/4/2024,24.44,31.69,21.50,0.00,3.00
ACCEL.BO,10/9/2024,23.42,31.69,22.25,0.00,4.00
ACC.NS,10/4/2024,2433.75,2544.90,2267.70,0.00,0.00
ACC.NS,10/9/2024,2339.80,2544.90,2310.80,0.00,1.00
ACCELYA.NS,10/4/2024,1777.95,1902.45,1652.40,0.00,0.00
ACCELYA.NS,10/9/2024,1698.80,1902.45,1600.10,0.00,0.00
ACE.NS,10/4/2024,1321.50,1464.90,1225.05,0.00,1.00
ACE.NS,10/9/2024,1355.45,1464.90,1225.05,0.00,2.00
ACCURACY.NS,10/4/2024,10.11,13.15,9.37,1.00,0.00
ACCURACY.NS,10/9/2024,9.96,13.15,9.37,2.00,1.00
ACEINTEG.NS,10/4/2024,34.81,40.00,32.70,1.00,3.00
ACEINTEG.NS,10/9/2024,34.02,40.00,32.64,0.00,0.00
ACEMEN.BO,10/4/2024,75.90,80.59,60.18,1.00,0.00
ACEMEN.BO,10/9/2024,72.85,80.59,60.18,2.00,1.00
ACKNIT.BO,10/4/2024,320.65,360.00,270.60,1.00,19.00
ACKNIT.BO,10/9/2024,314.50,360.00,270.60,0.00,20.00
ACESOFT.BO,10/4/2024,375.90,402.15,303.70,1.00,2.00
ACESOFT.BO,10/9/2024,379.00,402.15,303.70,2.00,3.00
ACGL.BO,10/4/2024,2554.20,3449.00,2529.00,9.00,0.00
ACGL.BO,10/9/2024,2528.25,3449.00,2436.00,10.00,0.00
ACIIN.BO,10/4/2024,2.13,2.51,2.05,15.00,0.00
ACIIN.BO,10/9/2024,2.15,2.51,1.88,16.00,0.00
ACL.NS,10/4/2024,90.41,99.40,85.51,0.00,0.00
ACL.NS,10/9/2024,88.68,99.40,84.61,0.00,0.00
ACML.BO,10/4/2024,70.17,85.00,67.51,0.00,0.00
ACML.BO,10/9/2024,71.84,85.00,66.67,0.00,0.00
