"Buy_DATE","Sell_Day","Call","Entry_Criteria","Stock","Buy_Qty","Buy_Price","Sell_Qty","Sell_Price","Stop_Loss","Target_Price","Duration"
"2024-01-29","2024-02-01",NULL,"D_EW","SMLISUZU","435","1338.00","435","1524.00","1234.00","1524.00",8
"2024-01-29","2024-01-30",NULL,"D_EW","WSTCSTPAPR","371","763.00","371","803.00","641.00","803.00",8
"2024-01-30","2024-01-30",NULL,"PR_EW","NSIL","127","3398.00","127","3404.00","3041.00","3404.00",7
"2024-01-30","2024-01-31",NULL,"PR_EW","PATINTLOG","127","21.00","127","23.00","13.00","23.00",7
"2024-01-31","2024-02-06",NULL,"PR_EW","QUESS","1438","504.00","1438","496.00","473.00","507.00",6
"2024-01-31","2024-02-01",NULL,"PR_EW","SMLISUZU","308","1381.00","308","1515.00","1234.00","1524.00",6
"2023-11-30","2024-02-02",NULL,"W_EW","ARIES","4425","197.00","4425","297.00","187.00","297.00",68
"2023-12-01","2024-02-05",NULL,"W_EW","NBCC","1571","67.00","1571","173.00","39.00","173.00",67
"2023-12-22","2024-01-25",NULL,"D_EW","BHARTIARTL","527","981.00","527","1190.00","895.00","1190.00",46
"2024-01-01","2024-02-02",NULL,"D_EW","ARIES","2345","206.00","2345","297.00","187.00","297.00",36
"2024-01-02","2024-01-31",NULL,"EW_UC","NAM-INDIA","192","467.00","192","533.00","230.00","533.00",35
"2024-01-09","2024-01-24",NULL,"D_EW","ROML","6382","50.00","6382","51.00","42.00","51.00",28
"2024-01-10","2024-01-31",NULL,"EW_UC","SABEVENTS","21074","6.00","21074","9.00","4.00","9.00",27
"2024-01-15","2024-01-29",NULL,"D_EW","PKTEA","891","313.00","891","321.00","262.00","321.00",22
"2024-01-16","2024-01-29",NULL,"D_EW","PKTEA","698","327.00","698","321.00","262.00","321.00",21
"2024-01-17","2024-01-25",NULL,"ATR/EW_UC","TV18BRDCST","1697","65.00","1697","64.00","39.00","64.00",20
"2024-01-17","2024-02-02",NULL,"EW_BW","UFO","1315","137.00","1315","171.00","103.00","171.00",20
"2024-01-18","2024-01-31",NULL,"ATR/EW_UC","NAM-INDIA","162","511.00","162","533.00","230.00","533.00",19
"2024-01-18","2024-02-02",NULL,"EW_UC","URJA","5091","18.00","5091","40.00","9.00","40.00",19
"2024-01-19","2024-02-02",NULL,"PR/EW_W","CYBERMEDIA","2560","34.00","2560","42.00","16.00","42.00",18
"2024-01-19","2024-01-31",NULL,"ATR/EW_UC","ELECON","199","1086.00","199","1098.00","858.00","1098.00",18
"2024-07-24","2024-08-21",NULL,"EW_UC","KERNEX","5","531.00","5","914.00","335.00","962.00",29
"2024-01-19","2024-02-05",NULL,"ATR/PR/EW_DC","KMSUGAR","19700","32.00","19700","39.00","30.00","39.00",18
"2024-01-19","2024-01-29",NULL,"EW_BW","MANGLMCEM","147","660.00","147","711.00","351.00","711.00",18
"2024-01-19","2024-02-01",NULL,"PR/EW_W","NAHARSPING","916","303.00","916","340.00","253.00","340.00",18
"2024-01-19","2024-02-05",NULL,"ATR/EW_UC","NBCC","808","95.00","808","173.00","39.00","173.00",18
"2024-01-19","2024-01-29",NULL,"ATR/EW_W","UMANGDAIRY","3499","81.00","3499","90.00","68.00","90.00",18
"2024-01-19","2024-01-30",NULL,"ATR/PR/EW_W","XPROINDIA","135","1208.00","135","1249.00","871.00","1249.00",18
"2024-01-20","2024-01-31",NULL,"D_EW","INDOWIND","3729","25.00","3729","33.00","13.00","33.00",17
"2024-01-20","2024-02-05",NULL,"D_EW","KANPRPLA","3512","124.00","3512","145.00","111.00","145.00",17
"2024-01-20","2024-02-01",NULL,"D_EW","RUCHINFRA","20138","13.00","20138","15.00","11.00","15.00",17
"2024-01-20","2024-02-01",NULL,"D_EW","SHREECEM","23","27594.00","23","30354.00","25650.00","30354.00",17
"2024-01-23","2024-01-25",NULL,"D_EW","KHADIM","2117","370.00","2117","391.00","349.00","391.00",14
"2024-01-23","2024-01-23",NULL,"D_EW","PLASTIBLEN","257","315.00","257","313.00","139.00","313.00",14
"2024-01-24","2024-01-29",NULL,"D_EW","CHAMBLFERT","429","369.00","429","372.00","263.00","372.00",13
"2024-01-24","2024-02-02",NULL,"D_EW","ENGINERSIN","385","234.00","385","265.00","116.00","265.00",13
"2024-01-24","2024-02-01",NULL,"D_EW","HCC","5459","36.00","5459","47.00","28.00","47.00",13
"2024-01-24","2024-01-24",NULL,"D_EW","INDOSTAR","749","218.00","749","215.00","158.00","215.00",13
"2024-01-24","2024-02-05",NULL,"D_EW","KANPRPLA","3808","123.00","3808","145.00","111.00","145.00",13
"2024-01-24","2024-01-31",NULL,"D_EW","KARMAENG","2681","88.00","2681","105.00","71.00","105.00",13
"2024-01-24","2024-02-02",NULL,"D_EW","MIDHANI","320","494.00","320","526.00","352.00","526.00",13
"2024-01-24","2024-02-01",NULL,"D_EW","ORIENTCEM","381","280.00","381","289.00","161.00","289.00",13
"2024-01-24","2024-02-02",NULL,"D_EW","SOTL","1743","366.00","1743","435.00","340.00","435.00",13
"2024-01-24","2024-01-30",NULL,"D_EW","TRIDENT","4064","46.00","4064","48.00","35.00","48.00",13
"2024-01-25","2024-02-05",NULL,"D_EW","AARVEEDEN","6123","30.00","6123","41.00","23.00","41.00",12
"2024-01-25","2024-01-29",NULL,"D_EW","BCLIND","1686","72.00","1686","76.00","45.00","76.00",12
"2024-01-25","2024-02-05",NULL,"D_EW","CELEBRITY","16781","19.00","16781","21.00","16.00","21.00",12
