Ticker,Date/Time,Close,UpBars,DnBars,Downtrend Length,Uptrend Length,LR_UC,LR_MC,LR_LC,Buy
PRINCEPIPE.NS,9/27/2024,559.85,14.00,0.00,60.00,14.00,600.19,587.32,574.45,1
PRIMIND.BO,9/27/2024,184.80,3.00,0.00,25.00,3.00,190.82,186.45,182.07,1
PRITHVIEXCH.BO,9/27/2024,450.50,23.00,0.00,28.00,23.00,0.00,0.00,0.00,1
PRIVISCL.NS,9/27/2024,1459.75,18.00,0.00,25.00,18.00,0.00,0.00,0.00,1
PRIYALT.BO,9/27/2024,18.88,10.00,0.00,13.00,10.00,20.04,19.36,18.67,1
PROFINC.BO,9/27/2024,1.85,27.00,0.00,62.00,27.00,2.34,1.99,1.65,1
PRESTIGE.NS,9/27/2024,1868.50,25.00,0.00,29.00,25.00,1999.55,1951.76,1903.97,1
PRSMJOHNSN.NS,9/27/2024,206.21,6.00,0.00,12.00,6.00,280.88,274.75,268.63,1
PURPLE.BO,9/27/2024,5.25,27.00,0.00,30.00,27.00,5.48,5.25,5.02,1
PVRINOX.NS,9/27/2024,1684.70,37.00,0.00,42.00,37.00,1766.18,1708.78,1651.39,1
PVVINFRA.BO,9/27/2024,7.49,3.00,0.00,25.00,3.00,7.54,7.49,7.44,1
QNIFTY.BO,9/27/2024,2828.48,226.00,0.00,250.00,226.00,2843.69,2746.39,2649.10,1
RADHIKAJWE.BO,9/27/2024,142.80,5.00,0.00,9.00,5.00,144.96,140.53,136.10,1
RADAAN.NS,9/27/2024,3.93,15.00,0.00,54.00,15.00,3.95,3.81,3.68,1
RADIXIND.BO,9/27/2024,172.05,15.00,0.00,40.00,15.00,181.48,177.18,172.88,1
RAGHUNAT.BO,9/27/2024,12.81,17.00,0.00,22.00,17.00,0.00,0.00,0.00,1
RAJABAH.BO,9/27/2024,7622.25,5.00,0.00,26.00,5.00,7626.48,7617.61,7608.75,1
RAINBOWF.BO,9/27/2024,23.98,5.00,0.00,12.00,5.00,24.57,24.05,23.53,1
RAJINFRA.BO,9/27/2024,7.19,18.00,0.00,52.00,18.00,8.40,8.07,7.74,1
RAJKSYN.BO,9/27/2024,49.39,9.00,0.00,11.00,9.00,49.61,47.40,45.19,1
RAJOOENG.BO,9/27/2024,409.55,4.00,0.00,9.00,4.00,413.19,405.50,397.81,1
RALEGRA.BO,9/27/2024,43.44,17.00,0.00,21.00,17.00,50.22,48.23,46.24,1
RAJSREESUG.NS,9/27/2024,75.55,11.00,0.00,20.00,11.00,76.54,74.65,72.75,1
RAMAPHO.BO,9/27/2024,208.15,11.00,0.00,18.00,11.00,219.44,216.17,212.90,1
RAMAPPR-B.BO,9/27/2024,16.96,19.00,0.00,24.00,19.00,18.37,17.45,16.53,1
RAMASIGNS.BO,9/27/2024,2.65,3.00,0.00,9.00,3.00,2.70,2.67,2.63,1
RAMAVISION.BO,9/27/2024,114.00,5.00,0.00,13.00,5.00,123.95,120.51,117.08,1
RAMAPETRO.BO,9/26/2024,9.03,33.00,0.00,57.00,33.00,9.20,9.05,8.91,1
RAMCOCEM.NS,9/27/2024,863.35,31.00,0.00,41.00,31.00,875.69,859.09,842.48,1
RAMCOIND.NS,9/27/2024,250.06,11.00,0.00,16.00,11.00,254.58,247.49,240.39,1
RAMRAT.BO,9/27/2024,651.70,11.00,0.00,16.00,11.00,689.18,677.92,666.66,1
RAP.BO,9/27/2024,40.68,4.00,0.00,18.00,4.00,41.60,40.99,40.38,1
RASIELEC.BO,9/27/2024,41.05,6.00,0.00,13.00,6.00,41.40,39.57,37.75,1
RASRESOR.BO,9/27/2024,56.00,18.00,0.00,26.00,18.00,57.07,56.00,54.93,1
RASSIREF.BO,9/23/2024,28.05,12.00,0.00,33.00,12.00,29.60,18.05,6.50,1
RAUNAQEPC.BO,9/26/2024,48.28,19.00,0.00,29.00,19.00,56.29,54.07,51.86,1
RBA.NS,9/27/2024,111.48,8.00,0.00,22.00,8.00,117.50,115.40,113.29,1
RCIIND.BO,9/26/2024,7.30,28.00,0.00,49.00,28.00,8.05,7.57,7.09,1
RDBRIL.BO,9/27/2024,377.35,5.00,0.00,15.00,5.00,408.67,406.73,404.79,1
REFEX.NS,9/27/2024,573.75,5.00,0.00,8.00,5.00,581.60,562.43,543.26,1
REGENCY.BO,9/27/2024,22.85,20.00,0.00,22.00,20.00,23.80,20.30,16.80,1
REGTRUS.BO,9/27/2024,4.36,44.00,0.00,58.00,44.00,4.44,4.28,4.11,1
RELAXO.NS,9/27/2024,805.05,30.00,0.00,42.00,30.00,0.00,0.00,0.00,1
RELIABVEN.BO,9/27/2024,23.32,62.00,0.00,75.00,62.00,25.06,24.22,23.39,1
RELICAB.BO,9/27/2024,148.90,122.00,0.00,132.00,122.00,164.80,152.33,139.87,1
