Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
SHHARICH.BO,2024-09-24,107,70.01,99.09,100.25,103.4,Long,Open
SHILCTECH.BO,2024-09-13,5437,4777.7,5966.7,6151.75,6265.0,Short,Close
SHILGRAVQ.BO,2024-09-24,174,146.4,166.04,189.83,193.9,Long,Open
SHILPAMED.NS,2024-09-18,836,417.6,671.96,939.66,959.5,Short,Close
SHINDL.BO,2024-09-20,48,41.09,42.44,50.42,52.51,Short,Close
SHISHIND.BO,2024-09-13,106,119.5,109.95,116.49,117.2,Short,Close
SHIVA.BO,2024-09-04,4,4.4,4.32,5.03,5.11,Short,Close
SHIVAAGRO.BO,2024-09-05,41,37.05,41.95,45.37,46.58,Short,Close
SHIVACEM.BO,2024-09-23,48,44.15,48.31,56.31,50.0,Long,Open
SHIVAGR.BO,2024-09-26,23,20.0,22.53,25.23,25.55,Long,Open
SHIVALIK.BO,2024-09-27,566,531.0,544.63,595.44,604.0,Short,Close
SHIVAMAUTO.NS,2024-08-21,45,33.95,48.92,58.09,58.79,Short,Close
SHIVAMILLS.NS,2024-09-24,93,84.0,94.9,98.51,102.0,Long,Open
SHIVATEX.NS,2024-09-12,190,151.1,179.25,211.72,220.0,Short,Close
SHK.NS,2024-09-25,295,180.0,275.01,317.9,323.87,Short,Close
SHKARTP.BO,2024-09-24,12,8.5,9.92,13.83,14.76,Short,Close
SHOPERSTOP.NS,2024-10-01,828,779.0,793.75,902.41,909.95,Long,Open
SHRADHA.NS,2024-09-23,145,125.5,129.2,157.03,157.03,Short,Close
SHRDAIS.BO,2024-09-23,499,442.1,393.24,609.8,609.8,Long,Open
SHREDIGCEM.NS,2024-10-01,96,92.73,95.08,97.8,102.0,Long,Open
SHREECEM.NS,2024-09-25,26523,23850.0,25792.54,28398.71,26200.0,Long,Open
SHREEGANES.BO,2024-07-30,1,0.7,1.21,1.27,1.28,Short,Close
SHREEPAC.BO,2024-09-27,160,139.0,157.25,181.59,173.0,Long,Open
SHREEPUSHK.NS,2024-09-13,250,157.05,248.51,270.38,274.5,Short,Close
SHREERAMA.NS,2024-09-11,27,23.0,27.83,32.58,32.9,Short,Close
SHREMETAL.BO,2024-09-24,40,35.0,38.86,44.84,50.57,Long,Open
SHRENIK.NS,2024-09-18,1,0.73,0.81,0.87,0.87,Short,Close
SHREYANIND.NS,2024-08-27,258,194.9,259.33,278.06,282.95,Short,Close
SHREYAS.NS,2024-10-01,354,293.85,340.98,365.16,365.8,Long,Open
SHREYASI.BO,2024-09-16,10,9.76,10.2,10.7,10.92,Short,Close
SHRIKRISH.BO,2024-09-16,39,29.66,36.46,42.63,43.08,Short,Close
SHRIPISTON.NS,2024-09-11,2175,1665.05,1808.82,2340.29,2370.0,Short,Close
SHRISTI.BO,2024-09-20,59,36.25,60.18,63.13,70.0,Short,Close
SHRJAGP.BO,2024-09-11,754,560.7,778.25,889.44,896.9,Short,Close
SHUKJEW.BO,2024-09-23,8,7.6,7.9,,24.22,Long,Open
SHUKRAPHAR.BO,2024-09-13,74,90.0,62.7,65.04,66.7,Long,Open
SHVFL.BO,2024-09-17,24,14.21,19.86,25.3,25.3,Short,Close
SHYAMCENT.NS,2024-10-01,19,16.8,17.42,18.91,18.67,Long,Open
SHYAMMETL.BO,2024-08-30,903,530.1,781.25,829.84,844.85,Long,Open
SHYAMTEL.BO,2024-09-17,13,14.07,14.08,14.65,14.78,Short,Close
SHYMINV.BO,2024-09-24,12,9.51,10.95,11.36,12.29,Long,Open
SIBARAUT.BO,2024-09-09,12,9.27,12.14,13.85,14.12,Short,Close
SICAGEN.BO,2024-09-06,90,52.5,65.88,113.04,116.8,Short,Close
SICALLOG.NS,2024-08-19,177,134.01,121.12,172.45,175.6,Long,Open
SIDDHA.BO,2024-09-10,10,9.06,9.27,9.88,10.0,Long,Open
SIEL.BO,2024-09-26,64,42.55,61.97,62.07,64.0,Long,Open
SIELFNS.BO,2024-09-30,75,67.8,70.86,78.13,80.01,Short,Close
SIEMENS.NS,2024-09-12,7512,5819.2,6602.3,7208.27,7256.75,Long,Open
SIGIND.NS,2024-09-24,75,71.1,69.25,80.68,88.65,Short,Close
SIGMA.NS,2024-08-27,379,341.1,383.36,410.13,431.65,Short,Close
SIKA.BO,2024-09-19,2643,2625.0,2512.48,2529.21,2799.0,Short,Close
SIKKO.NS,2024-09-10,103,69.85,102.14,113.39,124.9,Short,Close
SIKOZY.BO,2024-09-26,1,0.98,1.18,1.22,1.24,Long,Open
SIL.NS,2024-09-18,28,21.25,27.31,29.0,29.5,Short,Close
SILGO.NS,2024-09-24,41,32.59,43.38,51.88,53.45,Long,Open
SILINV.NS,2024-09-23,595,530.0,568.76,613.39,595.0,Long,Open
SILLYMONKS.NS,2024-08-27,22,13.25,21.33,26.28,26.9,Short,Close
SILVERO.BO,2024-09-13,4,2.55,4.7,4.7,4.7,Short,Close
SILVERTUC.NS,2024-08-02,733,604.7,730.0,789.19,815.0,Short,Close
SILVOAK.BO,2024-09-12,123,70.4,80.58,87.4,91.77,Long,Open
SIMBHALS.NS,2024-09-26,27,22.85,25.51,29.2,26.59,Long,Open
SIMMOND.BO,2024-09-17,123,68.6,85.87,133.6,134.9,Short,Close
SIMPLEXCAS.BO,2024-09-16,333,167.25,280.85,299.72,298.4,Long,Open
