Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Buy Price,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2000-01-01,ACROW.BO,,2024-10-11,,,767.85,Short,Close,,2000-01-01,,,,India
2000-01-01,ADANIENT.NS,,2024-10-28,,2709.68,,Long,Open,,2000-01-01,,,,India
2000-01-01,ADANIGREEN.NS,,2024-09-24,,,2065.66,Short,Close,,2000-01-01,,,,India
2000-01-01,ADANIPORTS.NS,,2024-10-28,,1318.39,,Long,Open,,2000-01-01,,,,India
2000-01-01,ADANIPOWER.NS,,2024-09-24,,,675.17,Short,Close,,2000-01-01,,,,India
2000-01-01,ADARSHPL.BO,,2024-10-15,,,34.86,Short,Close,,2000-01-01,,,,India
2000-01-01,ADCINDIA.BO,,2024-10-29,,1625.32,,Long,Open,,2000-01-01,,,,India
2000-01-01,ADCON.BO,,2024-10-30,,0.96,,Short,Close,,2000-01-01,,,,India
2000-01-01,ADDIND.BO,,2024-10-24,,39.49,,Long,Open,,2000-01-01,,,,India
2024-10-31,ADFFOODS.NS,BB_DC,2024-10-28,268.0,274.15,,Long,Open,298.8,2024-11-01,162.60162601626075,,,India
2000-01-01,ADIEXRE.BO,,2024-10-09,,24.98,,Long,Open,,2000-01-01,,,,India
2000-01-01,ADINATH.BO,,2024-10-01,,,31.01,Short,Close,,2000-01-01,,,,India
2000-01-01,ADITYA.BO,,2024-10-30,,10.2,,Long,Open,,2000-01-01,,,,India
2000-01-01,ADITYASP.BO,,2024-10-29,,28.4,,Long,Open,,2000-01-01,,,,India
2000-01-01,ADL.NS,,2024-09-12,,137.9,,Long,Open,,2000-01-01,,,,India
2024-10-31,ADMANUM.BO,BB_DC,2024-10-30,91.15,96.79,,Long,Open,108.85,2024-11-01,177.30496453900707,,,India
2000-01-01,ADORFO.BO,,2024-09-10,,133.05,,Long,Open,,2000-01-01,,,,India
2000-01-01,ADORMUL.BO,,2024-10-24,,35.4,,Long,Open,,2000-01-01,,,,India
2024-10-31,ADORWELD.NS,BB_DC,2024-10-28,1216.0,1232.55,,Long,Open,1315.35,2024-11-01,60.4229607250757,,,India
2024-10-31,ADROITINFO.NS,BB_DC,2024-10-23,17.4,19.32,,Long,Open,20.2,2024-11-01,520.8333333333329,,,India
2000-01-01,ADSL.NS,,2024-10-23,,286.48,,Long,Open,,2000-01-01,,,,India
