Ticker,Last Alert Date,Buy Price,Target,Call,Status
AKG.NS,2024-12-06,,21.93,Short,Close
AKI.BO,2024-11-14,18.17,,Long,Open
AKSHAR.BO,2024-12-18,,0.8,Short,Close
AKSHARCHEM.NS,2024-12-18,,336.63,Short,Close
AKSHOPTFBR.NS,2025-01-03,,13.06,Short,Close
AKSPINTEX.BO,2025-01-06,682.2,,Long,Open
AKZOINDIA.NS,2024-12-30,3389.07,,Long,Open
ALANKIT.NS,2025-01-14,19.85,,Long,Open
ALBERTDAVD.NS,2025-01-14,1184.88,,Long,Open
ALEMBICLTD.NS,2025-01-03,,136.81,Short,Close
ALEXANDER.BO,2025-01-14,14.23,,Long,Open
ALFAICA.BO,2024-12-30,,100.86,Short,Close
ALFATRAN.BO,2025-01-03,,126.95,Short,Close
ALFAVIO.BO,2024-12-23,,15.82,Short,Close
ALFL.BO,2024-12-09,,2.11,Short,Close
ALFREDHE.BO,2025-01-08,,2065.85,Short,Close
ALICON.NS,2025-01-03,,1054.01,Short,Close
ALKALI.NS,2025-01-03,,115.87,Short,Close
ALKEM.NS,2024-12-31,,5650.99,Short,Close
ALKYLAMINE.NS,2024-12-04,,2081.34,Short,Close
ALLCARGO.NS,2024-12-03,,56.49,Short,Close
ALLSEC.NS,2024-11-14,875.0,,Long,Open
ALMONDZ.NS,2025-01-03,,34.0,Short,Close
ALOKINDS.NS,2024-12-09,,24.11,Short,Close
ALPA.NS,2025-01-14,117.92,,Long,Open
ALPHAGEO.NS,2025-01-09,,472.14,Short,Close
ALPINEHOU.BO,2024-12-02,,124.25,Short,Close
ALPSINDUS.NS,2024-11-08,,4.43,Short,Close
ALSL.BO,2025-01-07,,160.64,Short,Close
ALSTONE.BO,2024-12-09,,0.82,Short,Close
ALUFLUOR.BO,2025-01-01,490.25,,Long,Open
AMAL.BO,2025-01-10,467.29,,Long,Open
AMALGAM.BO,2024-12-12,,93.72,Short,Close
AMARAJABAT.NS,2023-12-20,749.97,,Long,Open
AMARJOTHI.BO,2024-12-17,,229.64,Short,Close
AMBALALSA.BO,2025-01-02,,58.95,Short,Close
AMBARPIL.BO,2025-01-10,,205.1,Short,Close
AMBER.NS,2025-01-07,,8036.39,Short,Close
AMBICAAGAR.BO,2025-01-08,,32.15,Short,Close
AMBIKCO.NS,2025-01-03,,1734.92,Short,Close
AMBITION.BO,2024-08-22,2.69,,Long,Open
AMBUJACEM.NS,2024-12-11,,582.01,Short,Close
AMCOIND.BO,2024-12-26,,88.28,Short,Close
AMDIND.NS,2025-01-03,,65.42,Short,Close
AMFORG.BO,2024-11-14,,15.01,Short,Close
AMITINT.BO,2025-01-13,,4.64,Short,Close
AMJLAND.NS,2024-12-16,,72.39,Short,Close
AMNPLST.BO,2025-01-02,,326.63,Short,Close
AMRAAGRI.BO,2025-01-03,,1.42,Short,Close
AMRAPLIN.BO,2024-11-28,,18.98,Short,Close
AMRUTANJAN.NS,2024-12-10,,752.49,Short,Close
AMTL.BO,2025-01-02,,41.86,Short,Close
ANANTRAJ.NS,2025-01-09,,926.13,Short,Close
ANDHRAPAP.NS,2024-12-16,,105.99,Short,Close
ANDHRAPET.BO,2024-12-17,,80.37,Short,Close
ANDHRSUGAR.NS,2025-01-02,,99.1,Short,Close
ANDREWYU.BO,2025-01-14,38.14,,Long,Open
ANERI.BO,2024-12-13,,8.08,Short,Close
ANG.BO,2025-01-01,,45.64,Short,Close
ANGELONE.NS,2025-01-01,,3014.64,Short,Close
ANIKINDS.NS,2025-01-08,,111.96,Short,Close
ANJANI.BO,2024-12-24,,52.37,Short,Close
ANJANIFIN.BO,2025-01-08,13.2,,Long,Open
ANJANIFOODS.BO,2025-01-10,33.19,,Long,Open
