Ticker,Date/Time,Close,hh,ll,FromLow,FromHigh
1STCUS.BO,1/10/2025,142.75,165.90,100.60,0.00,1.00
1STCUS.BO,1/14/2025,138.00,165.90,100.60,1.00,2.00
360ONE.NS,1/10/2025,1129.10,1318.00,1112.45,0.00,0.00
360ONE.NS,1/14/2025,1126.50,1318.00,1089.00,0.00,0.00
20MICRONS.NS,1/10/2025,235.28,263.00,219.35,7.00,5.00
20MICRONS.NS,1/14/2025,232.13,263.00,220.10,8.00,6.00
21STCENMGM.NS,1/10/2025,89.33,122.64,87.40,1.00,0.00
21STCENMGM.NS,1/14/2025,86.75,122.64,85.78,0.00,0.00
3IINFOLTD.NS,1/10/2025,28.08,34.88,27.75,1.00,1.00
3IINFOLTD.NS,1/14/2025,27.98,34.88,26.88,0.00,0.00
3MINDIA.NS,1/10/2025,29693.95,37133.75,29600.00,0.00,0.00
3MINDIA.NS,1/14/2025,29023.70,37133.75,28625.00,0.00,0.00
3PLAND.NS,1/10/2025,55.10,82.06,54.70,0.00,3.00
3PLAND.NS,1/14/2025,50.29,82.06,49.72,0.00,0.00
3RDROCK.NS,1/10/2025,64.60,64.60,61.20,,98.00
3RDROCK.NS,1/13/2025,64.60,64.60,61.20,,99.00
5PAISA.NS,1/10/2025,435.15,519.00,432.00,0.00,0.00
5PAISA.NS,1/14/2025,423.35,519.00,412.25,0.00,0.00
4THGEN.BO,1/6/2025,6.87,6.87,5.17,3.00,3.00
4THGEN.BO,1/13/2025,6.87,6.87,5.17,4.00,4.00
63MOONS.NS,1/10/2025,857.75,1078.80,351.00,1.00,3.00
63MOONS.NS,1/14/2025,831.10,1078.80,810.10,0.00,4.00
7NR.BO,1/10/2025,4.93,6.55,4.82,,0.00
7NR.BO,1/14/2025,4.76,6.55,4.69,,0.00
7SEASL.BO,1/10/2025,82.82,91.28,70.05,,
7SEASL.BO,1/14/2025,80.43,91.28,70.05,,
7TEC.BO,1/10/2025,51.99,61.85,49.80,0.00,0.00
7TEC.BO,1/14/2025,52.32,61.85,49.80,1.00,1.00
^CNXAUTO,1/10/2025,23017.75,24173.25,22488.30,2.00,1.00
^CNXAUTO,1/14/2025,22833.05,24173.25,22351.00,0.00,0.00
^CNXENERGY,1/10/2025,33743.00,44721.10,33657.10,0.00,0.00
^CNXENERGY,1/14/2025,33567.75,44721.10,32490.85,0.00,0.00
^CNXFMCG,1/10/2025,57117.70,58238.10,55455.15,4.00,0.00
^CNXFMCG,1/14/2025,55627.20,58238.10,55455.15,5.00,1.00
^CNXIT,1/10/2025,44609.50,46088.90,42574.45,1.00,4.00
^CNXIT,1/14/2025,43061.15,46088.90,42574.45,2.00,5.00
^CNXMETAL,1/10/2025,8262.95,9605.35,8204.45,0.00,0.00
^CNXMETAL,1/14/2025,8267.50,9605.35,7935.35,0.00,0.00
^CNXPSUBANK,1/10/2025,6085.10,7248.25,6073.50,0.00,0.00
^CNXPSUBANK,1/14/2025,6144.75,7248.25,5866.10,0.00,0.00
^CNXREALTY,1/10/2025,963.30,1137.50,961.45,0.00,3.00
^CNXREALTY,1/14/2025,908.20,1137.50,897.50,0.00,0.00
^NSEBANK,1/10/2025,48734.15,53888.30,48631.20,0.00,0.00
^NSEBANK,1/14/2025,48729.15,53888.30,47898.35,0.00,0.00
^NSEI,1/10/2025,23431.50,24857.75,23344.35,7.00,0.00
^NSEI,1/14/2025,23176.05,24857.75,23047.25,0.00,0.00
AAATECH.NS,1/10/2025,98.93,160.85,97.00,0.00,0.00
AAATECH.NS,1/14/2025,99.78,160.85,90.35,0.00,0.00
A2ZINFRA.NS,1/10/2025,22.63,26.80,15.75,0.00,1.00
A2ZINFRA.NS,1/14/2025,22.56,26.80,20.42,0.00,2.00
AAKASH.NS,1/10/2025,9.66,17.15,9.35,0.00,0.00
AAKASH.NS,1/14/2025,9.74,17.15,9.05,0.00,0.00
AAIL.BO,1/10/2025,136.60,149.00,96.00,0.00,0.00
AAIL.BO,1/14/2025,134.35,149.00,96.00,0.00,1.00
AANANDALAK.BO,1/10/2025,20.09,24.30,4.76,0.00,2.00
AANANDALAK.BO,1/14/2025,20.08,24.30,4.76,0.00,3.00
AARNAV.BO,1/10/2025,63.07,71.99,53.00,0.00,0.00
AARNAV.BO,1/14/2025,60.78,71.99,53.00,0.00,1.00
AANCHALISP.BO,1/10/2025,5.04,5.72,4.91,0.00,0.00
AANCHALISP.BO,1/14/2025,4.85,5.72,4.81,0.00,0.00
AARON.NS,1/10/2025,358.05,417.35,251.05,1.00,2.00
AARON.NS,1/14/2025,351.80,417.35,251.05,2.00,3.00
AARTECH.BO,1/10/2025,86.23,105.57,58.38,0.00,0.00
AARTECH.BO,1/14/2025,77.83,105.57,58.38,0.00,1.00
AARTIDRUGS.NS,1/10/2025,429.95,497.60,419.55,2.00,2.00
AARTIDRUGS.NS,1/14/2025,420.05,497.60,417.55,0.00,0.00
AARTISURF.NS,1/10/2025,614.25,918.00,610.00,0.00,0.00
AARTISURF.NS,1/14/2025,601.50,918.00,584.00,0.00,0.00
AARTIIND.NS,1/10/2025,421.75,765.50,390.25,0.00,0.00
AARTIIND.NS,1/14/2025,409.35,765.50,390.25,1.00,0.00
AARVEEDEN.NS,1/10/2025,131.58,131.58,41.25,0.00,0.00
AARVEEDEN.NS,1/14/2025,132.00,134.21,41.25,0.00,0.00
AARVI.NS,1/10/2025,129.04,155.00,129.00,0.00,0.00
AARVI.NS,1/14/2025,123.70,155.00,119.98,0.00,0.00
AAVAS.NS,1/10/2025,1667.55,1719.60,1622.05,1.00,1.00
AAVAS.NS,1/14/2025,1638.20,1719.60,1625.00,0.00,2.00
AAYUSH.BO,1/10/2025,106.40,184.15,106.40,0.00,0.00
AAYUSH.BO,1/14/2025,96.05,184.15,96.05,0.00,0.00
ABANSENT.BO,1/10/2025,38.24,44.80,25.10,3.00,4.00
ABANSENT.BO,1/14/2025,36.08,44.80,25.10,4.00,5.00
ABAN.NS,1/10/2025,56.95,72.70,56.56,0.00,0.00
ABAN.NS,1/14/2025,55.66,72.70,53.26,0.00,0.00
ABBOTINDIA.BO,1/10/2025,28791.20,30683.40,26926.35,0.00,0.00
ABBOTINDIA.BO,1/14/2025,28255.55,30683.40,26926.35,0.00,1.00
