Ticker,Date/Time,Close,Mega Buy by Larger Wave ,SL
ABHICAP.BO,11/22/2024,154,154.70,131.55
ABHICAP.BO,11/25/2024,154,157.54,131.55
ABHICAP.BO,11/26/2024,154,157.05,131.55
ABHICAP.BO,12/2/2024,154,148.21,142.00
ABHICAP.BO,12/23/2024,154,153.14,138.15
ABHICAP.BO,12/24/2024,154,149.50,138.15
ABHICAP.BO,12/26/2024,154,154.00,138.15
ABHICAP.BO,12/27/2024,154,150.51,138.15
ABHICAP.BO,12/30/2024,154,147.00,147.00
ABHICAP.BO,1/1/2025,154,152.23,147.00
ABIRAFN.BO,10/28/2024,61,48.99,45.40
ABIRAFN.BO,11/12/2024,61,57.99,55.80
ABIRAFN.BO,11/22/2024,61,52.84,52.25
ABIRAFN.BO,12/16/2024,61,60.31,54.15
ABIRAFN.BO,1/1/2025,61,66.33,65.00
ABMKNO.BO,10/29/2024,225,122.71,115.05
ABMKNO.BO,11/14/2024,225,124.10,121.80
ABMKNO.BO,12/30/2024,225,135.31,126.70
ABMKNO.BO,1/6/2025,225,183.00,126.70
ABMKNO.BO,1/7/2025,225,183.36,126.70
ABMKNO.BO,1/8/2025,225,201.76,126.70
ABMKNO.BO,1/9/2025,225,206.45,126.70
ABMKNO.BO,1/13/2025,225,212.99,126.70
ABVL.BO,12/6/2024,173,155.15,118.00
ACCEL.BO,10/28/2024,20,21.96,21.52
ACCEL.BO,11/25/2024,20,22.74,21.72
ACCEL.BO,11/27/2024,20,22.36,21.61
ACC.NS,10/29/2024,1946,2288.45,2187.55
ACC.NS,11/25/2024,1946,2121.88,1868.20
ACCURACY.NS,10/30/2024,10,9.67,9.35
ACCURACY.NS,11/22/2024,10,9.39,8.54
ACCURACY.NS,12/10/2024,10,11.38,8.54
ACCURACY.NS,12/11/2024,10,11.33,8.54
ACCURACY.NS,12/12/2024,10,11.24,8.54
ACCURACY.NS,12/13/2024,10,10.98,10.84
ACCURACY.NS,12/16/2024,10,11.45,10.84
ACCURACY.NS,12/17/2024,10,11.39,10.84
ACCURACY.NS,12/18/2024,10,10.54,10.19
ACCURACY.NS,12/19/2024,10,10.51,10.19
ACCURACY.NS,12/20/2024,10,10.74,10.19
ACCURACY.NS,12/23/2024,10,10.49,10.19
ACCURACY.NS,12/24/2024,10,10.35,10.19
ACCURACY.NS,12/26/2024,10,10.69,10.19
ACCURACY.NS,12/27/2024,10,10.75,10.19
ACCURACY.NS,1/1/2025,10,10.52,10.08
ACCELYA.NS,10/30/2024,1447,1565.50,1522.55
ACCELYA.NS,11/26/2024,1447,1467.68,1442.75
ACCELYA.NS,1/2/2025,1447,1513.56,1450.00
ABHIINFRA.BO,12/5/2024,8,4.61,4.40
ACE.NS,10/30/2024,1266,1203.85,1115.50
ACE.NS,11/22/2024,1266,1207.43,1186.30
ACE.NS,12/16/2024,1266,1362.19,1332.00
ACEINTEG.NS,10/25/2024,28,31.74,31.30
ACEINTEG.NS,10/28/2024,28,32.25,31.30
ACEINTEG.NS,10/31/2024,28,33.06,31.05
ACEINTEG.NS,11/25/2024,28,31.20,28.01
ACEMEN.BO,10/25/2024,82,69.47,67.00
ACEMEN.BO,11/25/2024,82,69.80,68.02
ACESOFT.BO,12/11/2024,325,286.20,246.85
ACESOFT.BO,12/23/2024,325,306.04,303.05
ACGL.BO,10/29/2024,1920,2263.17,2217.35
ACGL.BO,11/18/2024,1920,2194.70,2099.95
ACIIN.BO,11/21/2024,2,2.53,2.47
ACIIN.BO,12/4/2024,2,2.67,2.61
ACIIN.BO,12/24/2024,2,2.56,2.50
ACKNIT.BO,10/31/2024,276,302.75,287.70
ACKNIT.BO,11/25/2024,276,293.36,275.00
ACKNIT.BO,12/16/2024,276,331.81,278.75
ACKNIT.BO,12/17/2024,276,349.05,278.75
ACKNIT.BO,12/18/2024,276,334.14,278.75
ACKNIT.BO,12/19/2024,276,316.29,278.75
ACKNIT.BO,12/20/2024,276,317.06,308.50
ACKNIT.BO,12/23/2024,276,315.25,308.50
ACKNIT.BO,12/24/2024,276,305.83,300.00
ACKNIT.BO,12/26/2024,276,304.94,297.60
ACKNIT.BO,12/27/2024,276,301.24,297.60
ACKNIT.BO,12/30/2024,276,295.42,290.90
ACKNIT.BO,12/31/2024,276,300.22,290.90
ACKNIT.BO,1/1/2025,276,303.20,290.90
ACKNIT.BO,1/2/2025,276,299.99,290.90
ACKNIT.BO,1/3/2025,276,302.70,290.90
ACKNIT.BO,1/6/2025,276,297.00,292.00
ACKNIT.BO,1/7/2025,276,296.25,292.00
ACKNIT.BO,1/8/2025,276,295.63,292.00
ACKNIT.BO,1/9/2025,276,299.50,291.00
ACKNIT.BO,1/10/2025,276,291.61,290.00
ACL.NS,10/30/2024,75,86.88,82.00
ACL.NS,11/21/2024,75,78.37,76.63
ACL.NS,11/29/2024,75,80.61,79.00
ACL.NS,12/2/2024,75,81.47,79.00
ACL.NS,12/3/2024,75,83.63,79.00
ACL.NS,12/4/2024,75,85.45,79.00
ACL.NS,12/31/2024,75,81.73,80.05
ACML.BO,10/29/2024,62,66.86,60.10
ACML.BO,11/19/2024,62,64.12,61.00
ACME.BO,10/31/2024,42,32.45,30.80
ACME.BO,12/9/2024,42,57.38,55.91
ACME.BO,12/16/2024,42,59.94,58.41
