Trade Day,System,Trade Direction,Stock,Entry Price,ISL/TSL,Buy Qty,Sell Qty,Sell Price,Exit Strategy,Commission,Trade Category,Account,CMP,CMP_Date,Target
2024-12-20,BB_DT,Long,SURFI.BO,20.7,13.02,130.21,130.21,NaN,,NaN,NaN,KRBPT,17.3,2024-12-20,NaN
2024-12-26,EW_DT,Long,SURFI.BO,18,13.02,200.8,200.8,NaN,,NaN,NaN,KRBPT,17.3,2024-12-27,NaN
2025-01-03,EWBB_DT,Long,SURFI.BO,17,16.55,2222.22,2222.22,NaN,,NaN,NaN,KRBPT,17.3,2025-01-03,NaN
2025-01-01,EWBB_DC,Long,SURYALA.BO,381,297.7,12,12,NaN,,NaN,NaN,KRBPT,350.1,2025-01-01,NaN
2025-01-07,EW_BW,Long,SURYALA.BO,368,297.7,14.22,14.22,NaN,,NaN,NaN,KRBPT,350.1,2025-01-07,NaN
2025-01-14,EWBB_W,Long,SURYAROSNI.NS,280,230.3,20.12,20.12,NaN,,NaN,NaN,KRBPT,280.05,2025-01-14,NaN
2025-01-14,EW_UC,Long,SUVIDHAA.NS,6,5.06,1063.83,1063.83,NaN,,NaN,NaN,KRBPT,6.29,2025-01-14,NaN
2025-01-14,EW_W,Long,SUZLON.NS,57,53.98,331.13,331.13,NaN,,NaN,NaN,KRBPT,57.17,2025-01-14,NaN
2025-01-14,EW_DC,Long,SW1.BO,76,71.2,208.33,208.33,NaN,,NaN,NaN,KRBPT,75.83,2025-01-14,NaN
2025-01-14,EW_W,Long,SWANENERGY.NS,640,596.1,22.78,22.78,NaN,,NaN,NaN,KRBPT,639.5,2025-01-14,NaN
2025-01-14,EW_DC,Long,SWRNASE.BO,70,59.4,94.34,94.34,NaN,,NaN,NaN,KRBPT,69.5,2025-01-14,NaN
2025-01-13,BB_W,Long,SYBLY.BO,6.65,5.34,763.36,763.36,NaN,,NaN,NaN,KRBPT,6.98,2025-01-13,NaN
