Ticker,Date/Time,Buy
^CNXIT,11/6/2024,1
^CNXMETAL,11/5/2024,1
^NSEBANK,11/5/2024,1
^NSEI,11/5/2024,1
ABAN.NS,11/8/2024,1
ABIRAFN.BO,11/5/2024,1
ACEMEN.BO,11/7/2024,1
ADANIENT.NS,11/6/2024,1
ADIEXRE.BO,11/5/2024,1
ADIEXRE.BO,11/6/2024,1
AFFLE.NS,11/6/2024,1
AHMDSTE.BO,11/8/2024,1
AJMERA.NS,11/5/2024,1
AKSHOPTFBR.NS,11/8/2024,1
ALUFLUOR.BO,11/8/2024,1
AMBALALSA.BO,11/6/2024,1
AMRAPLIN.BO,11/5/2024,1
ANERI.BO,11/4/2024,1
ANSALAPI.NS,11/5/2024,1
ANSALAPI.NS,11/8/2024,1
ANUP.NS,11/6/2024,1
ARAVALIS.BO,11/5/2024,1
ARIHANT.BO,11/5/2024,1
ARIHANTSUP.NS,11/6/2024,1
ARROWGREEN.NS,11/5/2024,1
ARROWGREEN.NS,11/6/2024,1
ARROWGREEN.NS,11/7/2024,1
ASHNOOR.BO,11/6/2024,1
ASIANTILES.NS,11/6/2024,1
ASPIRA.BO,11/8/2024,1
ASTRAMICRO.NS,11/6/2024,1
AXISBANK.NS,11/5/2024,1
AYMSYNTEX.NS,11/5/2024,1
BAJAJHLDNG.NS,11/4/2024,1
BANARBEADS.NS,11/7/2024,1
BEL.NS,11/6/2024,1
BFINVEST.NS,11/8/2024,1
BLS.NS,11/5/2024,1
BOROLTD.NS,11/5/2024,1
CARBORUNIV.NS,11/6/2024,1
CASTROLIND.NS,11/6/2024,1
CCCL.BO,11/6/2024,1
CCHHL.NS,11/5/2024,1
CCL.NS,11/6/2024,1
CEENIK.BO,11/7/2024,1
CENTENKA.NS,11/7/2024,1
CENTRUM.NS,11/6/2024,1
CHAMBLFERT.NS,11/6/2024,1
CHLLTD.BO,11/7/2024,1
CHOKSILA.BO,11/8/2024,1
CHORDIA.BO,11/6/2024,1
CLFL.BO,11/4/2024,1
COARO.BO,11/6/2024,1
COCHINM.BO,11/7/2024,1
CONART.BO,11/6/2024,1
COROENGG.BO,11/5/2024,1
COSMOFIRST.NS,11/7/2024,1
CREATIVE.NS,11/7/2024,1
CREATIVEYE.NS,11/4/2024,1
CUBIFIN.BO,11/8/2024,1
CUMMINSIND.NS,11/6/2024,1
CYBERMEDIA.NS,11/6/2024,1
DARSHANORNA.BO,11/6/2024,1
DCMSHRIRAM.NS,11/6/2024,1
DCMSHRIRAM.NS,11/7/2024,1
DECCANCE.NS,11/7/2024,1
DECPO.BO,11/4/2024,1
DEEPAKNTR.NS,11/6/2024,1
DHANI.NS,11/6/2024,1
DHARFIN.BO,11/6/2024,1
DHOOTIN.BO,11/5/2024,1
DIXON.NS,11/6/2024,1
DOLLAR.NS,11/8/2024,1
