Ticker,Date/Time,Close,UpBars,DnBars,Downtrend Length,Uptrend Length,LR_UC,LR_MC,LR_LC,Buy
3RDROCK.NS,11/8/2024,64.60,305.00,0.00,,305.00,,,,1
21STCENMGM.NS,11/8/2024,119.01,8.00,0.00,14.00,8.00,124.92,123.15,121.38,1
1STCUS.BO,11/8/2024,125.95,5.00,0.00,31.00,5.00,130.60,125.40,120.19,1
4THGEN.BO,11/7/2024,6.24,66.00,0.00,77.00,66.00,6.73,6.42,6.12,1
3PLAND.NS,11/8/2024,44.32,10.00,0.00,53.00,10.00,45.54,44.63,43.71,1
3MINDIA.NS,11/8/2024,35925.70,8.00,0.00,71.00,8.00,41519.48,41183.44,40847.41,1
3IINFOLTD.NS,11/8/2024,28.51,10.00,0.00,51.00,10.00,30.02,29.38,28.74,1
63MOONS.NS,11/8/2024,560.20,13.00,0.00,18.00,13.00,666.13,635.94,605.74,1
7TEC.BO,11/8/2024,59.44,15.00,0.00,69.00,15.00,63.37,59.52,55.68,1
^CNXMETAL,11/8/2024,9308.90,10.00,0.00,26.00,10.00,9797.32,9644.54,9491.76,1
AAATECH.NS,11/8/2024,123.87,10.00,0.00,21.00,10.00,131.33,127.74,124.14,1
^CNXPSUBANK,11/8/2024,6845.20,12.00,0.00,99.00,12.00,7233.92,7078.65,6923.37,1
AAKASH.NS,11/8/2024,11.35,8.00,0.00,20.00,8.00,13.80,13.61,13.42,1
A2ZINFRA.NS,11/8/2024,19.64,8.00,0.00,19.00,8.00,20.20,19.48,18.76,1
AAIL.BO,11/8/2024,107.45,10.00,0.00,17.00,10.00,110.91,108.28,105.65,1
AARON.NS,11/8/2024,271.30,10.00,0.00,19.00,10.00,284.74,280.07,275.40,1
AANCHALISP.BO,11/8/2024,5.70,8.00,0.00,15.00,8.00,6.73,6.70,6.67,1
AARTISURF.NS,11/8/2024,727.90,9.00,0.00,36.00,9.00,790.49,774.94,759.39,1
AARVI.NS,11/8/2024,148.52,10.00,0.00,16.00,10.00,154.24,151.63,149.01,1
AAYUSH.BO,11/8/2024,117.35,74.00,0.00,94.00,74.00,116.05,107.02,97.99,1
AARVEEDEN.NS,11/8/2024,59.55,9.00,0.00,21.00,9.00,62.74,60.67,58.60,1
ABANSENT.BO,11/8/2024,33.43,8.00,0.00,14.00,8.00,38.59,36.13,33.66,1
ABBOTINDIA.BO,11/8/2024,28572.15,35.00,0.00,49.00,35.00,0.00,0.00,0.00,1
ABCINDQ.BO,11/8/2024,122.95,10.00,0.00,49.00,10.00,127.81,124.63,121.44,1
ABHICAP.BO,11/8/2024,161.80,12.00,0.00,18.00,12.00,164.05,157.08,150.11,1
ABIRAFN.BO,11/8/2024,58.70,11.00,0.00,33.00,11.00,68.05,65.70,63.36,1
ABMKNO.BO,11/8/2024,139.45,10.00,0.00,21.00,10.00,148.28,142.59,136.91,1
ACCURACY.NS,11/8/2024,9.72,8.00,0.00,16.00,8.00,10.63,10.40,10.17,1
ACCEL.BO,11/8/2024,24.01,10.00,0.00,17.00,10.00,24.98,24.37,23.77,1
ACEINTEG.NS,11/8/2024,34.92,8.00,0.00,28.00,8.00,35.74,34.51,33.29,1
ACEMEN.BO,11/8/2024,84.00,12.00,0.00,25.00,12.00,84.46,83.54,82.63,1
ACESOFT.BO,11/8/2024,490.00,33.00,0.00,38.00,33.00,531.91,494.10,456.28,1
ACE.NS,11/8/2024,1367.55,8.00,0.00,16.00,8.00,1448.85,1356.95,1265.05,1
ACIIN.BO,11/8/2024,3.50,11.00,0.00,14.00,11.00,3.66,3.32,2.99,1
ACC.NS,11/8/2024,2291.40,10.00,0.00,38.00,10.00,2416.56,2361.19,2305.81,1
ACKNIT.BO,11/7/2024,303.00,6.00,0.00,35.00,6.00,332.17,320.46,308.75,1
