Date/Time,Ticker,Alert,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Close,FromHigh,FromLow,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,S1,SCTR,SL,hh,ll,Buy,Current_Price,Quantity,P/L Percentage
2024-11-25,SOLARA.NS,0.0,,,BB,,,817.35,0.0,0.0,,3337.0,_DC,90.77,309.0,0.0,33.78,,836.0,731.0,BB_DC,785.4500122070312,12.0,-0.03902855299806542
2024-11-25,SOURCENTRL.BO,0.0,,,,EW,,233.0,0.0,1.0,,3337.0,_W,95.77,142.0,0.0,57.91,222.35,253.45,222.35,EW_W,233.4499969482422,94.0,0.0019313173744299893
2024-11-25,SRHHYPOLTD.NS,0.0,,,BB,,,682.3,0.0,6.0,,3337.0,_DC,70.74,977.0,0.0,10.2,,708.65,632.9,BB_DC,673.4000244140625,20.0,-0.013044079709713403
2024-11-25,SRIKPRIND.BO,0.0,,ATR,BB,,,41.89,0.0,0.0,,3337.0,_AT,44.48,1853.0,0.0,-0.87,,41.89,33.27,ATRBB_AT,37.880001068115234,116.0,-0.09572687829755946
2024-11-25,STAR.NS,0.0,,,,EW,,1508.0,1.0,1.0,,3337.0,_DC,91.1,298.0,0.0,34.66,1349.45,1540.0,1349.45,EW_DC,1417.449951171875,6.0,-0.06004645147753647
2024-11-25,STCINDIA.NS,0.0,,,BB,EW,,154.0,7.0,2.0,,3337.0,_W,44.75,1844.0,0.0,-0.78,144.91,173.7,144.91,EWBB_W,150.3000030517578,110.0,-0.024025954209364854
2024-11-25,STCORP.BO,0.0,,,BB,,,9.49,0.0,1.0,,3337.0,_W,7.4,3090.0,0.0,-45.39,,9.49,8.86,BB_W,9.489999771118164,1587.0,-2.4118212450017156e-08
2024-11-25,STDSFAC.BO,0.0,,,BB,,,58.0,0.0,0.0,,3337.0,_DC,27.73,2412.0,0.0,-6.61,,70.63,55.31,BB_DC,57.380001068115234,372.0,-0.01068963675663389
2024-11-25,STEELCITY.NS,0.0,,,BB,,,111.39,2.0,5.0,,3337.0,_DC,73.41,888.0,0.0,12.21,,126.64,100.16,BB_DC,113.36000061035156,89.0,0.01768561460051676
2024-11-25,STHINPA.BO,0.0,,,,EW,,105.0,0.0,2.0,,3337.0,_BW,71.67,946.0,0.0,10.91,97.7,118.0,97.7,EW_BW,102.80000305175781,137.0,-0.020952351888020835
2024-11-25,SUMICHEM.NS,0.0,,,,EW,,539.0,0.0,5.0,,3337.0,_UC,67.15,1097.0,0.0,8.14,503.0,542.5,503.0,EW_UC,556.9000244140625,28.0,0.03320969279046846
2024-11-25,SUPTANERY.BO,0.0,,,BB,,,13.07,0.0,2.0,,3337.0,_DC,69.09,1032.0,0.0,9.14,,14.75,12.26,BB_DC,12.449999809265137,1235.0,-0.04743689294069346
2024-11-25,SURJIND.BO,0.0,,,BB,,,62.45,0.0,2.0,,3337.0,_DC,15.29,2827.0,0.0,-13.3,,63.0,56.8,BB_DC,61.0,177.0,-0.023218574859887955
2024-11-25,SURYAAMBA.BO,0.0,,,BB,,,154.8,6.0,6.0,,3337.0,_DC,41.4,1956.0,0.0,-1.84,,168.8,141.5,BB_DC,154.0,75.0,-0.005167958656330822
2024-11-25,SURYALA.BO,0.0,,,,EW,,316.0,0.0,4.0,,3337.0,_DC,11.42,2956.0,0.0,-17.88,297.7,318.8,297.7,EW_DC,314.8500061035156,55.0,-0.00363922119140625
2024-11-25,SURYALAXMI.NS,0.0,,,,EW,,80.0,0.0,0.0,,3337.0,_DC,51.26,1627.0,0.0,1.71,73.59,84.0,73.59,EW_DC,78.45999908447266,156.0,-0.019250011444091795
2024-11-25,SUZLON.NS,0.0,,,BB,,,65.47,1.0,1.0,,3337.0,_DC,76.68,779.0,0.0,14.75,,68.33,53.45,BB_DC,64.2300033569336,83.0,-0.018939921232112498
2024-11-25,TATIAGLOB.BO,0.0,,,,EW,,3.0,0.0,3.0,,3337.0,_W,19.24,2695.0,0.0,-10.42,2.82,3.65,2.82,EW_W,3.119999885559082,5556.0,0.039999961853027344
2024-11-25,TDSL.BO,0.0,,,,EW,,12.0,4.0,6.0,,3337.0,_BW,40.14,1998.0,0.0,-2.31,10.67,12.97,10.67,EW_BW,11.350000381469727,752.0,-0.05416663487752279
2024-11-25,TEJASNET.NS,0.0,,,BB,,,1304.55,3.0,6.0,,3337.0,_DC,67.42,1088.0,0.0,8.26,,1459.9,1235.0,BB_DC,1300.9000244140625,14.0,-0.0027978809443390093
