Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
VALLABHSQ.BO,2024-11-18,10,8.17,,11.38,11.38,Short,Close
VALSONQ.BO,2024-11-22,30,26.8,27.46,,31.57,Long,Open
VAMA.BO,2024-11-22,8,7.16,7.56,,9.3,Long,Open
VAMSHIRU.BO,2024-11-14,59,43.92,58.75,,66.9,Long,Open
VANDANA.BO,2024-11-06,6,4.26,4.67,,8.0,Long,Open
VANICOM.BO,2024-11-25,14,10.05,13.25,,15.6,Long,Open
VANTABIO.BO,2024-11-19,45,37.01,38.23,,56.0,Long,Open
VARDHACRLC.NS,2024-11-07,53,59.05,,56.25,56.75,Short,Close
VARDMNPOLY.NS,2024-11-04,9,8.1,,10.87,10.99,Short,Close
VARROC.NS,2024-11-12,513,531.65,,544.7,550.8,Short,Close
VASCONEQ.NS,2024-11-07,54,60.55,,59.73,60.8,Short,Close
VASINFRA.BO,2024-11-12,3,3.97,,4.51,5.17,Short,Close
VASWANI.NS,2024-11-05,48,30.4,,50.77,51.7,Short,Close
VBDESAI.BO,2024-11-22,31,17.0,27.06,,35.75,Long,Open
VBL.NS,2024-11-18,601,536.85,591.54,,617.6,Long,Open
VCL.NS,2024-11-11,1,0.68,,0.86,0.89,Short,Close
VCU.BO,2024-11-12,8,5.65,,11.31,11.56,Short,Close
VEDAVAAG.BO,2024-11-06,67,51.1,,78.13,79.0,Short,Close
VEDL.NS,2024-10-01,444,249.5,,517.55,523.65,Short,Close
VEERENRGY.BO,2024-11-19,23,19.1,21.38,,23.76,Long,Open
VEERHEALTH.BO,2024-11-06,18,21.4,,20.69,21.0,Short,Close
VELHO.BO,2024-11-07,7,5.06,,7.09,7.2,Short,Close
VELJAN.BO,2024-11-18,1515,1401.0,1479.94,,1560.0,Long,Open
VENKEYS.NS,2024-11-06,1700,1752.0,,1897.16,1918.0,Short,Close
VENLONENT.BO,2024-09-30,6,,,8.67,8.82,Short,Close
VENTURA.BO,2024-11-07,14,12.12,,16.74,17.14,Short,Close
VENUSREM.NS,2024-10-29,295,285.0,,347.0,353.4,Short,Close
VERITAS.BO,2024-11-01,858,854.1,,1007.93,1190.5,Short,Close
VERTEX.BO,2024-11-08,6,4.91,,6.45,6.6,Short,Close
VERTOZ.NS,2024-11-04,15,31.31,,18.1,18.36,Short,Close
VESUVIUS.NS,2024-11-11,5267,4751.05,,5587.75,5700.0,Short,Close
VETO.NS,2024-11-25,134,124.02,129.54,,134.32,Long,Open
VGCL.BO,2024-11-06,66,73.8,,73.47,74.2,Short,Close
VGUARD.NS,2024-11-19,412,405.9,402.91,,429.35,Long,Open
VHL.NS,2024-11-18,4928,3846.65,,5515.0,5760.0,Short,Close
VICTMILL.BO,2024-11-19,7178,6390.0,6806.15,,7930.0,Long,Open
VIDHIING.NS,2024-10-29,475,414.15,458.63,,471.9,Long,Open
VIDLI.BO,2024-10-31,68,62.01,,83.23,84.3,Short,Close
VIJAYTX.BO,2024-10-28,13,11.24,10.28,,10.66,Long,Open
VIJIFIN.NS,2024-11-13,3,1.97,,4.13,4.13,Short,Close
VIJSOLX.BO,2024-11-18,981,926.0,957.5,,1010.0,Long,Open
VIKALPS.BO,2024-11-07,44,38.0,42.67,,44.98,Long,Open
VIKASECO.NS,2024-11-07,3,3.41,,3.62,3.65,Short,Close
VIKASLIFE.BO,2024-10-25,4,4.75,,4.64,4.77,Short,Close
VIKASWSP.BO,2024-11-13,2,1.45,,2.1,2.13,Short,Close
VIKRAMTH.BO,2024-11-08,177,170.0,,189.04,193.1,Short,Close
VIMTALABS.NS,2024-11-19,868,503.05,735.79,,795.0,Long,Open
VINATIORGA.NS,2024-10-01,1874,1560.05,,2115.24,2134.95,Short,Close
VINDHYATEL.NS,2024-11-06,1952,2229.9,,2127.88,2150.5,Short,Close
VINEETLAB.BO,2024-11-06,50,53.84,,59.02,60.9,Short,Close
VINNY.NS,2024-11-06,2,2.81,,1.9,1.95,Short,Close
VINTAGES.BO,2024-11-13,20,16.16,,22.55,23.1,Short,Close
VINTRON.BO,2024-11-11,54,34.5,,57.75,58.42,Short,Close
VINYLINDIA.NS,2024-11-01,344,367.9,,374.97,376.95,Short,Close
VINYOFL.BO,2024-11-22,78,72.0,74.32,,99.86,Long,Open
VIPCLOTHNG.NS,2024-11-18,45,38.22,38.83,,41.9,Long,Open
VIPIND.NS,2024-11-21,499,447.0,469.75,,502.0,Long,Open
VIPPYSP.BO,2024-11-08,182,149.95,172.45,,197.95,Long,Open
VIPULLTD.NS,2024-11-25,27,24.83,25.48,,29.4,Long,Open
VIPULORG.BO,2024-10-07,254,,,318.63,329.4,Short,Close
VIRAT.BO,2024-11-21,480,127.0,434.77,,535.0,Long,Open
VIRATCRA.BO,2024-11-05,61,64.0,,69.17,71.4,Short,Close
VIRINCHI.BO,2024-11-22,30,26.51,27.06,,31.39,Long,Open
VISAGAR.BO,2024-11-14,1,0.68,0.72,,0.79,Short,Close
VISAKAIND.NS,2024-11-01,91,102.02,,104.08,104.75,Short,Close
VISASTEEL.NS,2024-11-22,33,25.46,,35.23,35.23,Short,Close
VISHAL.BO,2024-11-07,27,31.65,,33.75,34.0,Short,Close
VISHNU.NS,2024-11-06,398,387.75,,553.75,559.0,Short,Close
VISHWARAJ.NS,2024-11-01,16,15.75,,17.34,17.45,Short,Close
VISIONCINE.BO,2024-11-21,1,0.9,,1.08,1.09,Short,Close
VISIONCO.BO,2024-11-22,4,3.33,3.72,,3.98,Long,Open
VISTAPH.BO,2024-11-25,12,10.78,11.79,,13.3,Long,Open
VISTARAMAR.BO,2024-08-12,125,,,207.51,210.0,Short,Close
VIVIDHA.NS,2024-11-01,1,1.01,,1.22,1.27,Short,Close
VIVIDIND.BO,2024-11-07,20,18.5,,20.62,21.98,Short,Close
VIVOBIOT.BO,2024-11-18,39,33.02,38.2,,41.18,Long,Open
VJLAXMIE.BO,2024-10-23,55,,,69.7,69.7,Short,Close
VJTFEDU.BO,2024-11-14,97,90.9,,100.64,105.0,Short,Close
VLSFINANCE.NS,2024-11-19,386,362.85,375.97,,428.7,Long,Open
VMART.NS,2024-11-22,3864,3389.05,3663.07,,3874.05,Long,Open
VMS.BO,2024-11-19,43,38.0,38.09,,51.99,Long,Open
VOITHPAPR.BO,2024-11-18,2132,1930.0,2124.89,,2324.95,Long,Open
VOLLF.BO,2024-11-07,15,13.18,,16.56,16.72,Short,Close
VOLTAMP.NS,2024-11-19,9915,10073.7,9634.89,,12024.95,Long,Open
VOLTAS.NS,2024-11-07,1644,1418.55,,1769.02,1780.7,Short,Close
VRL.BO,2024-11-18,276,245.0,269.5,,298.0,Long,Open
VRLLOG.NS,2024-11-18,543,515.5,528.51,,575.9,Long,Open
VSFPROJ.BO,2024-11-19,45,46.3,,47.06,64.0,Short,Close
VSSL.NS,2024-11-18,263,253.65,250.58,,287.7,Long,Open
VSTIND.NS,2024-11-01,322,347.8,,352.71,354.95,Short,Close
VSTTILLERS.NS,2024-11-05,4501,3600.0,,4730.6,4790.0,Short,Close
VTL.NS,2024-11-11,455,461.55,,482.46,490.0,Short,Close
VTMLTD.BO,2024-11-18,89,66.35,81.34,,93.79,Long,Open
WABAG.NS,2024-11-11,1680,825.0,,1776.13,1809.8,Short,Close
WAGEND.BO,2024-11-25,1,1.08,,1.18,1.36,Short,Close
WALCHANNAG.NS,2024-11-05,240,309.0,,315.74,323.25,Short,Close
WALCHPF.BO,2024-11-07,160,188.0,,185.69,188.2,Short,Close
WALLFORT.BO,2024-11-19,149,135.55,146.31,,163.95,Long,Open
WANBURY.NS,2024-11-22,226,202.76,207.82,,265.0,Long,Open
WARRENTEA.BO,2024-11-01,56,,,66.96,68.0,Short,Close
WATERBASE.BO,2024-11-06,69,78.1,,75.62,76.64,Short,Close
WEALTH.NS,2024-10-17,1466,415.0,,1674.38,1715.2,Short,Close
WEBELSOLAR.NS,2024-11-21,1288,916.55,,1382.01,1410.6,Short,Close
WEIZMANIND.NS,2024-11-01,124,114.0,,131.11,132.14,Short,Close
WELCORP.NS,2024-11-19,747,655.0,682.88,,806.0,Long,Open
WELENT.NS,2024-11-25,473,442.1,469.98,,478.9,Long,Open
WELINV.NS,2024-11-14,894,880.05,868.02,,1046.15,Long,Open
WENDT.NS,2024-11-19,15676,13822.0,14839.47,,16597.25,Long,Open
WEPSOLN.BO,2024-11-18,33,32.85,32.15,,38.9,Long,Open
WESTLIFE.BO,2024-09-30,716,,,940.39,956.65,Short,Close
WEWIN.NS,2024-11-21,82,65.87,74.06,,74.22,Long,Open
WHBRADY.BO,2024-11-12,984,552.0,,1111.64,1123.85,Short,Close
WHEELS.NS,2024-10-28,694,765.4,710.22,,800.0,Long,Open
WHIRLPOOL.NS,2024-10-16,1789,1186.1,,2403.76,2440.0,Short,Close
WHITEORG.BO,2024-11-21,7,6.21,6.84,,7.68,Long,Open
WILLAMAGOR.NS,2024-11-11,36,32.65,37.33,,41.89,Long,Open
WILLIMFI.BO,2024-10-30,9,5.78,7.38,,7.4,Long,Open
WIMPLAST.BO,2024-11-06,613,605.0,,689.69,716.0,Short,Close
WINDMACHIN.NS,2024-10-29,314,67.0,183.46,,190.85,Long,Open
WINSOMBR.BO,2024-11-01,47,43.87,,50.48,50.84,Short,Close
WINSOMTX.BO,2024-11-11,88,94.0,,104.66,104.66,Short,Close
WIPL.NS,2024-11-25,194,172.5,185.51,,198.0,Long,Open
WIPRO.NS,2024-10-18,582,417.0,533.2,,558.4,Long,Open
WIREFABR.BO,2024-11-19,222,203.0,221.5,,226.0,Long,Open
WOCKPHARMA.NS,2024-11-19,1295,915.0,1154.88,,1334.65,Long,Open
WONDERLA.NS,2024-10-08,828,815.05,829.22,,919.9,Long,Open
WORTH.NS,2024-11-14,122,122.15,121.03,,133.5,Long,Open
WPIL.BO,2024-11-18,637,395.25,544.13,,648.0,Long,Open
WSI.NS,2024-11-07,111,145.4,,140.05,143.35,Short,Close
WSTCSTPAPR.NS,2024-10-14,560,582.85,,620.73,624.9,Short,Close
XCHANGING.NS,2024-08-26,108,87.0,,131.81,133.68,Short,Close
XELPMOC.NS,2024-11-06,130,102.95,,155.85,157.8,Short,Close
XPROINDIA.NS,2024-11-18,1215,1002.25,1084.25,,1160.0,Long,Open
XTGLOBAL.BO,2024-11-01,42,,,47.79,48.85,Short,Close
YAARI.NS,2024-11-13,16,10.55,12.74,,13.81,Long,Open
YAMNINV.BO,2024-11-19,2,1.33,,1.7,1.7,Short,Close
YARNSYN.BO,2024-11-19,44,36.49,,51.47,51.83,Short,Close
YASHCHEM.BO,2024-11-18,54,39.2,51.53,,57.9,Long,Open
YASHMGM.BO,2024-11-22,13,12.0,12.7,,14.6,Long,Open
YASHO.BO,2024-09-27,1690,,,2042.74,2059.1,Short,Close
YASHRAJC.BO,2024-11-12,8,7.35,8.19,,8.8,Long,Open
YESBANK.NS,2024-11-06,19,22.51,,20.84,20.92,Short,Close
YOGISUNG.BO,2024-11-19,11,9.45,,10.63,11.29,Short,Close
YORKEXP.BO,2024-11-21,45,42.91,,47.0,49.05,Short,Close
YUG.BO,2024-11-11,34,36.68,,37.0,37.0,Short,Close
YUKEN.BO,2024-11-01,1047,1176.95,,1181.95,1200.0,Short,Close
YURANUS.BO,2024-11-12,89,62.02,,100.64,100.64,Short,Close
