Date/Time,Ticker,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Buy_ZZ,Close,DnBars,Downtrend Length,FromHigh,FromLow,LR_LC,LR_MC,LR_UC,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,SL,UpBars,Uptrend Length,hh,ll,myShort,Buy,Current_Price,Quantity,P/L Percentage
2024-11-25,ASAHISONG.NS,,,BB,,,,381.05,,,2.0,2.0,,,,,3525.0,_DC,100.0,1.0,,,,588.95,351.7,,BB_DC,385.0,34.0,0.010366093688492294
2024-11-25,ASAL.NS,,,,EW,,,652.0,,,0.0,1.0,,,,,3525.0,_BW,100.0,1.0,618.0,,,1094.55,618.0,,EW_BW,684.5999755859375,29.0,0.04999996255511886
2024-11-25,ASALCBR.NS,,,,,LR,ZZ,929.95,0.0,10.0,0.0,4.0,916.64,938.98,961.32,,3525.0,_W,100.0,1.0,,6.0,6.0,970.7,815.0,,LR_W,964.5999755859375,9.0,0.0372600414924861
2024-11-25,ASHOKLEY.NS,,ATR,BB,,,ZZ,234.91,0.0,61.0,0.0,3.0,218.15,226.83,235.52,,3525.0,_W,100.0,1.0,,13.0,13.0,235.82,202.0,,ATRBB_W,232.52999877929688,30.0,-0.01013154493509481
2024-11-25,ASITCFIN.BO,,,BB,,,ZZ,144.95,0.0,35.0,1.0,1.0,0.0,0.0,0.0,,3525.0,_DC,100.0,1.0,,5.0,5.0,193.35,127.65,,BB_DC,148.0,58.0,0.021041738530527848
2024-11-25,ASPINWALL.NS,,,,EW,,,270.0,,,4.0,5.0,,,,,3525.0,_AT,100.0,1.0,263.0,,,319.0,260.05,,EW_AT,279.0,101.0,0.03333333333333333
2024-11-25,ATHARVENT.BO,,,,EW,,,3.0,,,2.0,1.0,,,,,3525.0,_BW,100.0,1.0,2.26,,,3.17,2.13,,EW_BW,2.8399999141693115,1149.0,-0.05333336194356283
2024-11-25,AUROLAB.BO,,,,EW,,,207.0,,,1.0,1.0,,,,,3525.0,_DC,100.0,1.0,192.0,,,262.2,192.0,,EW_DC,208.6999969482422,67.0,0.008212545643682066
2024-11-25,AVADHSUGAR.NS,,,BB,,,,585.45,,,0.0,1.0,,,,,3525.0,_DC,100.0,1.0,,,,830.5,547.05,,BB_DC,611.75,26.0,0.04492270902724392
2024-11-25,AVONMORE.BO,,,BB,,,,15.93,,,0.0,1.0,,,,,3525.0,_DC,100.0,1.0,,,,17.01,12.4,,BB_DC,17.84000015258789,283.0,0.11989957015617646
2024-11-25,BALMLAWRIE.NS,,,BB,EW,,,224.0,,,0.0,1.0,,,,,3525.0,_DC,100.0,1.0,209.53,,,292.15,209.53,,EWBB_DC,227.69000244140625,69.0,0.01647322518484933
2024-11-25,BALRAMCHIN.NS,,,,EW,,,536.0,,,0.0,1.0,,,,,3525.0,_DC,100.0,1.0,505.95,,,691.8,505.95,,EW_DC,554.2999877929688,33.0,0.034141768270464085
2024-11-25,BANASFN.BO,,,BB,,,ZZ,11.18,0.0,10.0,1.0,1.0,10.94,11.45,11.96,,3525.0,_UC,100.0,1.0,,6.0,6.0,11.89,9.12,,BB_UC,10.9399995803833,485.0,-0.021466942720634968
2024-11-25,BANKA.NS,,,,EW,,,107.0,,,1.0,1.0,,,,,3525.0,_DC,100.0,1.0,98.43,,,140.0,98.43,,EW_DC,107.62000274658203,117.0,0.005794418192355432
2024-11-25,BCG.NS,,,,EW,,,8.0,,,0.0,1.0,,,,,3525.0,_DC,100.0,1.0,7.69,,,10.4,7.69,,EW_DC,,3226.0,
2024-11-25,BDH.BO,,,BB,,,ZZ,404.4,0.0,10.0,0.0,0.0,329.64,372.11,414.58,,3525.0,_BW,100.0,1.0,,5.0,5.0,411.5,296.0,,BB_BW,375.0,9.0,-0.07270029673590499
2024-11-25,BDL.NS,,,,EW,,,994.0,,,1.0,1.0,,,,,3525.0,_W,100.0,1.0,890.0,,,1794.7,890.0,,EW_W,1160.1500244140625,10.0,0.16715294206646128
2024-11-25,BELLACASA.BO,,,BB,,,ZZ,542.15,0.0,15.0,4.0,7.0,519.29,533.31,547.33,,3525.0,_DC,100.0,1.0,,5.0,5.0,562.7,491.05,,BB_DC,564.0,20.0,0.04030249930830955
2024-11-25,BEMHY.BO,,,BB,,,ZZ,1373.15,0.0,10.0,2.0,2.0,1309.48,1378.2,1446.91,,3525.0,_DC,100.0,1.0,,6.0,6.0,1695.3,1170.0,,BB_DC,1300.0,5.0,-0.05327167461675716
2024-11-25,BHARTIARTL.NS,,,,,LR,,1578.75,,,0.0,1.0,,,,,3525.0,_DC,100.0,1.0,,,,1779.0,1511.0,,LR_DC,1564.050048828125,15.0,-0.009311132967141726
2024-11-25,BHEL.NS,,,BB,,,ZZ,241.22,0.0,10.0,5.0,5.0,231.56,239.54,247.53,,3525.0,_DC,100.0,1.0,,4.0,4.0,335.35,210.7,,BB_DC,250.91000366210938,33.0,0.040170813622872795
2024-11-25,BKMINDST.NS,,,BB,,,ZZ,1.8,0.0,34.0,0.0,0.0,1.75,1.8,1.84,,3525.0,_BW,100.0,1.0,,14.0,14.0,1.84,1.5,,BB_BW,,3333.0,
2024-11-25,BLUESTARCO.NS,,,BB,,LR,ZZ,1848.25,0.0,27.0,0.0,2.0,1834.24,1853.64,1873.04,,3525.0,_DC,100.0,1.0,,6.0,6.0,2199.55,1730.1,,BBLR_DC,1839.050048828125,8.0,-0.0049776551721222775
2024-11-25,BNRSEC.BO,,,,EW,,,194.0,,,6.0,5.0,,,,,3525.0,_DC,100.0,1.0,178.65,,,211.0,150.35,,EW_DC,185.60000610351562,23.0,-0.0432989376107442
