Ticker,Date/Time,Buy
21STCENMGM.NS,10/30/2024,1
3MINDIA.NS,10/30/2024,1
3MINDIA.NS,10/31/2024,1
63MOONS.NS,10/31/2024,1
7TEC.BO,10/31/2024,1
^CNXPSUBANK,10/29/2024,1
^NSEBANK,10/29/2024,1
AARVEEDEN.NS,10/30/2024,1
ABCAPITAL.NS,10/30/2024,1
ACE.NS,10/30/2024,1
AICHAMP.BO,10/25/2024,1
AKZOINDIA.NS,10/31/2024,1
ALFREDHE.BO,10/28/2024,1
AMAL.BO,10/29/2024,1
AMJLAND.NS,10/29/2024,1
AMRAPLIN.BO,10/31/2024,1
AMRAAGRI.BO,10/31/2024,1
ANANTRAJ.NS,10/31/2024,1
ANIKINDS.NS,10/30/2024,1
ANUP.NS,10/29/2024,1
ANUP.NS,10/31/2024,1
APARINDS.NS,10/31/2024,1
APIL.BO,10/31/2024,1
APLAPOLLO.NS,10/29/2024,1
APOLSINHOT.NS,10/30/2024,1
ARVIND.NS,10/28/2024,1
ASAHIINDIA.NS,10/31/2024,1
ASALCBR.NS,10/28/2024,1
ASHISHPO.BO,10/30/2024,1
AVIVA.BO,10/28/2024,1
AXELPOLY.BO,10/31/2024,1
BABA.BO,10/29/2024,1
BABA.BO,10/30/2024,1
BALTE.BO,10/30/2024,1
BANCOINDIA.NS,10/29/2024,1
BANKBARODA.NS,10/28/2024,1
BANKBEES.BO,10/29/2024,1
BAROEXT.BO,10/31/2024,1
BEL.NS,10/29/2024,1
BEML.NS,10/30/2024,1
BERYLSE.BO,10/28/2024,1
BHARATRAS.NS,10/30/2024,1
BHARATSE.BO,10/29/2024,1
BIGBLOC.NS,10/29/2024,1
BMAL.BO,10/29/2024,1
BOROLTD.NS,10/30/2024,1
BSL.NS,10/28/2024,1
BSL.NS,10/30/2024,1
BYKE.NS,10/31/2024,1
CAPACITE.NS,10/29/2024,1
CAPLIPOINT.NS,10/30/2024,1
CCL.NS,10/31/2024,1
CENTUM.NS,10/31/2024,1
CHOICEIN.BO,10/31/2024,1
CIGNITITEC.NS,10/25/2024,1
CLFL.BO,10/25/2024,1
COLINZ.BO,10/28/2024,1
CONTCHM.BO,10/25/2024,1
CORNE.BO,10/31/2024,1
COSYN.BO,10/30/2024,1
DAIKAFFI.BO,10/31/2024,1
