Ticker,Date/Time,Close,myBuy ,myShort
PAVNAIND.NS,10/23/2024,628,,1
PEL.NS,10/29/2024,1061,1,
PHCAP.BO,10/22/2024,199,,1
PHCAP.BO,10/31/2024,199,1,
PHOENIXTN.BO,10/30/2024,231,1,
PICCADIL.BO,10/22/2024,723,,1
PICCADIL.BO,10/31/2024,723,1,
PIONEEREMB.NS,10/22/2024,47,,1
POLYCHEM.BO,10/31/2024,2990,,1
POLYLINK.BO,10/30/2024,37,1,
PRAENG.NS,10/31/2024,37,1,
PRIMAGR.BO,10/31/2024,27,1,
RAINBOWF.BO,10/22/2024,22,,1
RALLIS.NS,10/25/2024,339,,1
RAMCOIND.NS,10/29/2024,244,1,
RDBRIL.BO,10/25/2024,501,,1
REGENCY.BO,10/24/2024,34,,1
RGL.NS,10/29/2024,177,,1
RIDDHI.BO,10/31/2024,618,1,
ROSELABS.BO,10/29/2024,34,,1
ROTO.BO,10/31/2024,553,1,
RPPL.NS,10/29/2024,40,1,
RTFL.BO,10/24/2024,77,,1
RTNINDIA.NS,10/31/2024,74,1,
SABEVENTS.NS,10/29/2024,15,,1
SADBHIN.NS,10/30/2024,7,1,
SAGARSOFT.BO,10/24/2024,198,1,
SAHARAHOUS.BO,10/25/2024,43,,1
SAGCEM.NS,10/30/2024,224,1,
SAMBANDAM.BO,10/31/2024,144,1,
SAMPRE.BO,10/28/2024,72,1,
SANJIVIN.BO,10/31/2024,313,1,
SAURASHCEM.BO,10/22/2024,120,1,
SCANPGEOM.BO,10/22/2024,9,,1
SDL.BO,10/30/2024,30,,1
SELAN.NS,10/30/2024,897,1,
SEYAIND.NS,10/31/2024,28,1,
SEVENHILL.BO,10/29/2024,1,,1
SHAILY.BO,10/31/2024,1013,1,
SHANGAR.BO,10/31/2024,7,1,
SHARDAMOTR.NS,10/31/2024,2227,1,
SHILCTECH.BO,10/31/2024,7133,,1
SHRADHA.NS,10/23/2024,161,,1
SHREEPUSHK.NS,10/31/2024,260,,1
SHREMETAL.BO,10/24/2024,41,1,
SHREMETAL.BO,10/25/2024,41,,1
SHREMETAL.BO,10/30/2024,41,1,
SHRIDINE.BO,10/22/2024,449,,1
SHREYAS.NS,10/24/2024,360,,1
SIKKO.NS,10/28/2024,97,1,
SIEMENS.NS,10/22/2024,6976,,1
SIRCA.NS,10/30/2024,343,1,
SPCAPIT.BO,10/31/2024,57,1,
SPELS.BO,10/31/2024,194,1,
SUMICHEM.NS,10/31/2024,573,1,
SURAJLTD.BO,10/22/2024,435,,1
SURANAT&P.NS,10/16/2024,20,1,
SURANAT&P.NS,10/21/2024,20,,1
TALBROAUTO.NS,10/30/2024,312,1,
TCFCFINQ.BO,10/29/2024,70,,1
TDPOWERSYS.NS,10/31/2024,413,1,
TEXINFRA.NS,10/31/2024,117,1,
THACKER.BO,10/28/2024,1200,,1
TEXRAIL.NS,10/29/2024,222,1,
TITAGARH.NS,10/31/2024,1222,1,
TOKYOPLAST.NS,10/30/2024,122,1,
TUTIALKA.BO,10/31/2024,89,1,
UMESLTD.NS,10/28/2024,8,1,
UNIROYAL.BO,10/31/2024,25,1,
USHAMART.NS,10/25/2024,425,,1
VASINFRA.BO,10/25/2024,4,1,
VELHO.BO,10/22/2024,7,,1
VENUSREM.NS,10/30/2024,311,,1
VIDLI.BO,10/30/2024,83,1,
VESUVIUS.NS,10/25/2024,5272,,1
VGUARD.NS,10/31/2024,435,1,
VINEETLAB.BO,10/31/2024,57,1,
VISASTEEL.NS,10/22/2024,33,,1
WEALTH.NS,10/29/2024,1547,,1
WHBRADY.BO,10/23/2024,1021,,1
YARNSYN.BO,10/23/2024,42,1,
ZENITHHE.BO,10/30/2024,6,1,
ZENITHSTL.NS,10/23/2024,9,,1
