Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Buy Price,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2024-10-31,3MINDIA.NS,ATREWLR_DC,2024-10-31,33131.6,34931.05,,Long,Open,34947.45,2024-11-12,0.5557253605268263,,,India
2024-10-31,63MOONS.NS,ATR_W,2024-11-06,436.1,,603.05,Short,Close,617.6,2024-11-12,,,,India
2024-10-31,7TEC.BO,ATREWBB_DC,2024-10-31,50.26,53.46,,Long,Open,57.6,2024-11-12,312.4999999999997,,,India
2024-10-31,A2ZINFRA.NS,BB_W,2024-10-29,15.83,16.02,,Long,Open,17.82,2024-11-12,5263.157894736856,,,India
2024-10-31,AAKASH.NS,BBLR_W,2024-10-30,10.51,10.77,,Long,Open,11.24,2024-11-12,3846.1538461538494,,,India
2024-10-31,AARVEEDEN.NS,BB_DC,2024-10-29,41.25,43.03,,Long,Open,61.95,2024-11-12,561.7977528089884,,,India
2024-10-31,ABMKNO.BO,BB_DC,2024-10-29,115.05,122.71,,Long,Open,133.25,2024-11-12,130.54830287206272,,,India
2024-10-31,ACEINTEG.NS,EW_BW,2024-10-31,31.05,33.06,,Long,Open,33.61,2024-11-12,497.5124378109449,,,India
2024-10-31,ACIIN.BO,BB_W,2024-10-24,2.1,2.3,,Long,Open,,2000-01-01,5000.000000000006,,,India
2024-10-31,ACKNIT.BO,EW_DC,2024-11-05,287.7,317.2,,Long,Open,,2000-01-01,33.898305084745765,,,India
2024-10-31,ACME.BO,EW_DC,2024-10-31,30.8,32.45,,Long,Open,49.17,2024-11-12,606.0606060606053,,,India
2024-10-31,ADFFOODS.NS,BB_DC,2024-10-28,268.0,274.15,,Long,Open,286.35,2024-11-12,162.60162601626075,,,India
2024-10-31,ADMANUM.BO,BB_DC,2024-11-04,91.15,,112.19,Short,Close,,2000-01-01,,,,India
2024-10-31,ADORWELD.NS,BB_DC,2024-10-28,1216.0,1232.55,,Long,Open,1244.0,2024-11-12,60.4229607250757,,,India
2024-10-31,ADROITINFO.NS,BB_DC,2024-10-23,17.4,19.32,,Long,Open,25.56,2024-11-12,520.8333333333329,,,India
2024-10-31,ADVANIHOTR.NS,BB_DC,2024-11-04,61.28,67.43,,Long,Open,69.48,2024-11-12,162.60162601626,,,India
2024-10-31,AGIIL.BO,BB_BW,2024-10-23,885.0,906.58,,Long,Open,1435.1,2024-11-12,46.3392029657089,,,India
2024-10-31,AHLADA.NS,BB_DC,2024-10-29,92.11,97.01,,Long,Open,98.0,2024-11-12,204.08163265306098,,,India
2024-10-31,AKZOINDIA.NS,ATR_W,2024-11-01,3620.0,,4402.3,Short,Closed,3824.0,2024-11-12,,Target Hit,4402.3,India
2024-10-31,ALANKIT.NS,BB_W,2024-10-29,20.04,21.34,,Long,Open,22.35,2024-11-12,769.2307692307688,,,India
2024-10-31,ALBERTDAVD.NS,EW_DC,2024-10-31,1270.0,1377.46,,Long,Open,1405.0,2024-11-12,9.305788200260558,,,India
2024-10-31,ALFL.BO,BB_DC,2024-11-01,1.82,,2.18,Short,Closed,2.05,2024-11-12,,Target Hit,2.18,India
2024-10-31,ALPINEHOU.BO,EWBB_DC,2024-10-31,99.0,105.4,,Long,Open,,2000-01-01,156.24999999999986,,,India
2024-10-31,ALSTONE.BO,LR_DC,2024-10-24,0.62,0.7,,Short,Close,0.81,2024-11-12,12500.000000000005,,,India
2024-10-31,AMRAAGRI.BO,ATREWBB_DT,2024-10-31,1.01,1.1,,Long,Open,1.17,2024-11-12,11111.1111111111,,,India
2024-10-31,AMRAPLIN.BO,ATR_UC,2024-11-05,14.55,17.55,,Long,Open,,2000-01-01,333.3333333333333,,,India
2024-10-31,ANANTRAJ.NS,ATR_BW,2024-10-28,635.1,647.9,,Long,Open,730.3,2024-11-12,78.12500000000028,,,India
