Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Close,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2024-11-26,3PLAND.NS,ATR_BW,2024-10-29,34.05,66.7,,Long,Open,60.03,2024-11-27,30.63,,,India
2024-11-26,ABFRL.NS,LR_DC,2024-11-25,283.75,307.45,,Long,Open,308.6,2024-11-27,42.19,,,India
2024-11-26,ADARSHPL.BO,BB,2024-11-18,27.0,31.86,,Long,Open,33.34,2024-11-27,205.76,,,India
2024-11-26,ADDIND.BO,EW_DC,2024-11-26,38.03,41.0,,Long,Open,40.75,2024-11-27,336.7,,,India
2024-11-26,ADFFOODS.NS,ATR_BW,2024-11-14,209.11,323.95,,Long,Open,326.65,2024-11-27,8.71,,,India
2024-11-26,ADVANIHOTR.NS,ATRBB_W,2024-11-22,61.28,70.35,,Long,Open,70.43,2024-11-27,110.25,,,India
2024-11-26,AHLUCONT.NS,EW_DC,2024-11-26,915.0,984.0,,Long,Open,988.05,2024-11-27,14.49,,,India
2024-11-26,ALFATRAN.BO,BB_DC,2024-11-18,77.74,134.0,,Long,Open,134.5,2024-11-27,17.77,,,India
2024-11-26,AMBARPIL.BO,EW_DC,2024-11-26,,197.0,,Long,Open,195.0,2024-11-27,,,,India
2024-11-26,AMJLAND.NS,ATRBB_BW,2024-11-14,44.0,63.53,,Long,Open,62.89,2024-11-27,51.2,,,India
2024-11-26,AMRAAGRI.BO,ATRBB_UC,2024-10-31,1.01,1.41,,Long,Open,1.55,2024-11-27,2500.0,,,India
2024-11-26,AMTL.BO,EW_BW,2024-11-26,32.08,35.0,,Long,Open,36.3,2024-11-27,342.47,,,India
2024-11-26,APOLSINHOT.NS,BB_W,2024-11-25,1345.45,1817.05,,Long,Open,1880.0,2024-11-27,2.12,,,India
2024-11-26,ARCHIES.NS,EW_DC,2024-11-26,24.1,26.0,,Long,Open,26.21,2024-11-27,526.32,,,India
2024-11-26,ARENTERP.NS,ATRBB_W,2024-11-14,42.0,52.17,,Long,Open,57.38,2024-11-27,98.33,,,India
2024-11-26,ARIES.NS,ATRBB_UC,2024-11-14,224.2,364.8,,Long,Open,357.6,2024-11-27,7.11,,,India
