Date/Time,Ticker,Alert,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Buy_ZZ,Close,DnBars,Downtrend Length,FromHigh,FromLow,LR_LC,LR_MC,LR_UC,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,S1,SCTR,SL,UpBars,Uptrend Length,hh,ll,myShort,Buy,Current_Price,Quantity,P/L Percentage
2024-11-26,BEEKAY.BO,0.0,,,BB,,,,629.35,,,5.0,5.0,,,,,3563.0,_W,48.48,1836.0,1.31,1.88,,,,774.0,600.0,,BB_W,635.7000122070312,34.0,0.010089794561104674
2024-11-26,BENARAS.BO,0.0,,,BB,,,,8080.05,,,6.0,5.0,,,,,3563.0,_W,39.3,2163.0,0.27,-0.98,,,,9350.0,7400.0,,BB_W,8067.75,1.0,-0.001522267807748737
2024-11-26,BGJL.BO,1.0,,,BB,,,ZZ,15.72,0.0,38.0,2.0,2.0,15.18,15.53,15.89,,3563.0,_DC,35.65,2293.0,4.04,-2.44,,5.0,5.0,21.54,13.45,,BB_DC,15.949999809265137,441.0,0.014631031123736392
2024-11-26,BHARATRAS.NS,0.0,,,BB,,,ZZ,11859.0,0.0,11.0,3.0,5.0,11677.79,11859.04,12040.29,,3563.0,_DC,76.36,843.0,1.8,15.67,,6.0,6.0,12300.0,10200.0,,BB_DC,11915.0,1.0,0.004722151952103887
2024-11-26,BIOCON.NS,1.0,,ATR,BB,,LR,ZZ,352.65,0.0,8.0,0.0,0.0,345.25,349.92,354.6,,3563.0,_W,71.03,1033.0,5.88,11.82,,3.0,3.0,355.45,303.0,,ATRBBLR_W,363.95001220703125,20.0,0.03204313684114922
2024-11-26,BIRLACORPN.NS,0.0,,,BB,,,,1146.8,,,0.0,1.0,,,,,3563.0,_DC,23.53,2725.0,3.67,-7.78,,,,1656.9,1072.55,,BB_DC,1211.6500244140625,13.0,0.056548678421749696
2024-11-26,BIRLAMONEY.NS,1.0,,ATR,,,,ZZ,172.92,0.0,9.0,5.0,3.0,164.05,168.66,173.27,,3563.0,_W,82.96,608.0,6.33,22.38,,5.0,5.0,172.92,129.16,,ATR_W,168.8000030517578,23.0,-0.023826029078430344
2024-11-26,BLBLIMITED.NS,1.0,,,,EW,,,20.0,,,6.0,5.0,,,,,3563.0,_BW,52.89,1679.0,4.96,3.6,17.93,,,22.9,17.63,,EW_BW,19.40999984741211,422.0,-0.02950000762939453
2024-11-26,BOMBCYC.BO,,,,BB,,,ZZ,1955.0,0.0,10.0,3.0,,0.0,0.0,0.0,,3563.0,_W,10.75,3180.0,,,,5.0,5.0,2235.0,1552.1,,BB_W,1867.25,2.0,-0.0448849104859335
2024-11-26,BOMBWIR.BO,,,,BB,,,ZZ,73.52,0.0,10.0,0.0,2.0,66.14,70.49,74.83,,3563.0,_DC,10.75,3180.0,,,,3.0,3.0,84.65,57.52,,BB_DC,66.19999694824219,63.0,-0.09956478579648816
2024-11-26,BSOFT.NS,0.0,,,BB,,,ZZ,592.4,0.0,26.0,0.0,3.0,539.39,564.11,588.83,,3563.0,_W,43.37,2018.0,3.03,0.18,,14.0,14.0,597.85,536.3,,BB_W,591.2000122070312,18.0,-0.0020256377328979193
2024-11-26,CAMS.BO,1.0,,,,EW,LR,,4749.0,,,6.0,4.0,,,,,3563.0,_W,82.93,609.0,4.46,22.37,4420.05,,,4966.65,4049.05,,EWLR_W,4896.4501953125,1.0,0.03104868294640977
2024-11-26,CAPACITE.NS,0.0,,,BB,,,ZZ,401.25,0.0,17.0,0.0,5.0,373.83,391.46,409.09,,3563.0,_DC,83.02,606.0,1.18,22.48,,7.0,7.0,407.0,329.5,,BB_DC,424.04998779296875,14.0,0.05682239948403427
2024-11-26,CAPLIPOINT.NS,1.0,,ATR,,,,ZZ,2113.95,0.0,11.0,3.0,2.0,2013.12,2078.2,2143.28,,3563.0,_UC,90.2,350.0,9.3,35.06,,3.0,3.0,2176.75,1780.05,,ATR_UC,2107.35009765625,3.0,-0.0031220711671278026
