Ticker,Date/Time,Close,UpBars,DnBars,Downtrend Length,Uptrend Length,LR_UC,LR_MC,LR_LC,Buy
3RDROCK.NS,11/5/2024,64.60,302.00,0.00,,302.00,,,,1
21STCENMGM.NS,11/6/2024,119.06,6.00,0.00,12.00,6.00,120.24,118.65,117.07,1
1STCUS.BO,11/6/2024,115.35,3.00,0.00,29.00,3.00,119.57,112.97,106.38,1
4THGEN.BO,11/5/2024,6.24,64.00,0.00,75.00,64.00,6.71,6.41,6.10,1
63MOONS.NS,11/6/2024,596.15,11.00,0.00,16.00,11.00,635.90,605.71,575.51,1
3PLAND.NS,11/6/2024,42.96,8.00,0.00,51.00,8.00,44.06,43.04,42.02,1
3IINFOLTD.NS,11/6/2024,29.28,8.00,0.00,49.00,8.00,29.36,28.73,28.10,1
3MINDIA.NS,11/6/2024,35432.40,6.00,0.00,69.00,6.00,39642.81,39306.77,38970.74,1
7TEC.BO,11/6/2024,59.37,13.00,0.00,67.00,13.00,62.12,58.27,54.43,1
^CNXMETAL,11/6/2024,9656.45,8.00,0.00,24.00,8.00,9698.42,9545.64,9392.86,1
^CNXPSUBANK,11/6/2024,6982.50,10.00,0.00,97.00,10.00,7133.25,6969.96,6806.67,1
AAATECH.NS,11/6/2024,124.59,8.00,0.00,19.00,8.00,128.23,124.54,120.85,1
A2ZINFRA.NS,11/6/2024,18.60,6.00,0.00,17.00,6.00,18.77,18.22,17.66,1
AAKASH.NS,11/6/2024,11.43,6.00,0.00,18.00,6.00,13.08,12.89,12.70,1
AAIL.BO,11/6/2024,106.75,8.00,0.00,15.00,8.00,111.47,109.57,107.67,1
AARON.NS,11/6/2024,277.70,8.00,0.00,17.00,8.00,281.05,276.08,271.11,1
AARTISURF.NS,11/6/2024,727.20,7.00,0.00,34.00,7.00,775.87,760.32,744.77,1
AANCHALISP.BO,11/6/2024,5.81,6.00,0.00,13.00,6.00,6.43,6.40,6.37,1
AARVI.NS,11/6/2024,150.64,8.00,0.00,14.00,8.00,152.15,149.54,146.92,1
AAYUSH.BO,11/6/2024,112.80,72.00,0.00,92.00,72.00,112.03,103.55,95.07,1
ABANSENT.BO,11/6/2024,34.36,6.00,0.00,12.00,6.00,37.21,34.57,31.94,1
AARVEEDEN.NS,11/6/2024,57.32,7.00,0.00,19.00,7.00,59.54,57.86,56.18,1
AARTIIND.NS,11/6/2024,521.45,10.00,0.00,49.00,10.00,543.97,533.63,523.29,1
ABBOTINDIA.BO,11/6/2024,29115.20,33.00,0.00,47.00,33.00,29736.66,28954.51,28172.36,1
ABCINDQ.BO,11/6/2024,122.10,8.00,0.00,47.00,8.00,129.94,128.62,127.30,1
ABHICAP.BO,11/6/2024,150.60,10.00,0.00,16.00,10.00,0.00,0.00,0.00,1
ABMKNO.BO,11/6/2024,138.60,8.00,0.00,19.00,8.00,154.75,151.10,147.46,1
ABIRAFN.BO,11/6/2024,63.17,9.00,0.00,31.00,9.00,64.36,62.01,59.66,1
ACCURACY.NS,11/6/2024,10.25,6.00,0.00,14.00,6.00,10.46,10.23,10.00,1
ACCEL.BO,11/6/2024,23.71,8.00,0.00,15.00,8.00,25.41,25.17,24.92,1
ACEMEN.BO,11/6/2024,80.83,10.00,0.00,23.00,10.00,81.76,80.77,79.78,1
ACESOFT.BO,11/6/2024,495.90,31.00,0.00,36.00,31.00,522.97,485.16,447.34,1
ACEINTEG.NS,11/6/2024,33.95,6.00,0.00,26.00,6.00,38.52,37.20,35.88,1
ACKNIT.BO,11/6/2024,307.50,5.00,0.00,34.00,5.00,328.07,316.36,304.65,1
ACIIN.BO,11/6/2024,3.19,9.00,0.00,12.00,9.00,3.29,2.99,2.69,1
ACE.NS,11/6/2024,1324.30,6.00,0.00,14.00,6.00,1592.54,1534.77,1477.00,1
ACME.BO,11/6/2024,40.46,7.00,0.00,18.00,7.00,41.53,39.26,36.99,1
ACML.BO,11/6/2024,68.00,7.00,0.00,12.00,7.00,81.40,78.52,75.63,1
ACL.NS,11/6/2024,87.66,11.00,0.00,24.00,11.00,91.45,90.01,88.57,1
ACROW.BO,11/6/2024,725.40,7.00,0.00,12.00,7.00,779.03,752.35,725.67,1
ACC.NS,11/6/2024,2359.55,8.00,0.00,36.00,8.00,2400.01,2344.63,2289.25,1
ADCON.BO,11/6/2024,1.00,7.00,0.00,13.00,7.00,1.14,1.11,1.07,1
ADCINDIA.BO,11/6/2024,1730.55,8.00,0.00,28.00,8.00,1990.01,1919.31,1848.61,1
ADDIND.BO,11/6/2024,41.57,11.00,0.00,32.00,11.00,44.45,43.47,42.49,1
ADANIENT.NS,11/6/2024,3046.25,8.00,0.00,25.00,8.00,3126.86,3018.86,2910.87,1
ADIEXRE.BO,11/6/2024,36.72,21.00,0.00,24.00,21.00,32.32,29.03,25.74,1
ADITYA.BO,11/6/2024,10.50,6.00,0.00,10.00,6.00,12.11,11.89,11.67,1
ADL.NS,11/6/2024,96.80,7.00,0.00,38.00,7.00,98.63,96.72,94.81,1
ADFFOODS.NS,11/6/2024,307.10,8.00,0.00,14.00,8.00,312.62,307.58,302.55,1
ADITYASP.BO,11/6/2024,28.66,8.00,0.00,13.00,8.00,31.16,30.30,29.43,1
ADMANUM.BO,11/6/2024,108.00,6.00,0.00,28.00,6.00,124.82,122.94,121.06,1
ADORFO.BO,9/23/2024,141.15,10.00,0.00,49.00,10.00,152.33,149.00,145.67,1
ADVAIT.BO,11/6/2024,1789.85,10.00,0.00,18.00,10.00,1830.32,1797.82,1765.31,1
ADROITINFO.NS,11/6/2024,22.29,8.00,0.00,17.00,8.00,22.16,21.21,20.27,1
ADVENZYMES.NS,11/6/2024,499.40,8.00,0.00,15.00,8.00,502.19,498.27,494.35,1
ADVIKCA.BO,11/6/2024,2.30,10.00,0.00,20.00,10.00,0.00,0.00,0.00,1
AGIIL.BO,11/6/2024,1399.45,10.00,0.00,33.00,10.00,1429.16,1349.40,1269.65,1
AFFLE.NS,11/6/2024,1640.05,7.00,0.00,17.00,7.00,1634.48,1609.66,1584.84,1
AEGISLOG.BO,11/6/2024,805.20,21.00,0.00,43.00,21.00,846.03,818.38,790.74,1
AEL.BO,11/6/2024,227.85,7.00,0.00,13.00,7.00,237.59,229.99,222.39,1
ADORWELD.NS,11/6/2024,1307.70,8.00,0.00,28.00,8.00,1372.15,1356.52,1340.90,1
ADVANIHOTR.NS,11/6/2024,69.52,8.00,0.00,30.00,8.00,70.64,69.98,69.31,1
ADSL.NS,11/6/2024,291.65,5.00,0.00,12.00,5.00,293.30,283.21,273.11,1
AFEL.BO,11/6/2024,20.05,19.00,0.00,22.00,19.00,20.22,19.42,18.62,1
AGARIND.NS,11/6/2024,1110.35,7.00,0.00,30.00,7.00,1134.82,1106.43,1078.04,1
AEGISCHEM.NS,7/29/2024,884.15,4.00,0.00,13.00,4.00,920.53,898.43,876.33,1
AGROPHOS.NS,11/6/2024,43.82,7.00,0.00,13.00,7.00,0.00,0.00,0.00,1
AHLADA.NS,11/6/2024,99.17,8.00,0.00,46.00,8.00,107.46,106.62,105.77,1
AIIL.BO,11/6/2024,1736.45,7.00,0.00,12.00,7.00,1733.41,1712.73,1692.05,1
AHLEAST.NS,11/6/2024,169.10,8.00,0.00,14.00,8.00,175.20,171.86,168.52,1
AICHAMP.BO,11/6/2024,69.85,4.00,0.00,7.00,4.00,71.85,65.54,59.22,1
AIRAN.NS,11/6/2024,35.26,7.00,0.00,14.00,7.00,35.99,35.36,34.73,1
AJANTSOY.BO,11/6/2024,43.45,9.00,0.00,23.00,9.00,48.47,47.74,47.01,1
AJOONI.NS,11/6/2024,8.00,7.00,0.00,18.00,7.00,8.69,8.48,8.26,1
AJCON.BO,11/6/2024,46.00,22.00,0.00,29.00,22.00,48.61,46.68,44.76,1
AKI.BO,11/6/2024,19.08,4.00,0.00,17.00,4.00,19.67,19.23,18.78,1
AKASH.NS,11/6/2024,35.39,8.00,0.00,30.00,8.00,0.00,0.00,0.00,1
AJWAFUN.BO,5/12/2021,6.83,112.00,0.00,761.00,112.00,0.00,0.00,0.00,1
AJANTPHARM.NS,11/6/2024,3115.90,6.00,0.00,20.00,6.00,3209.97,3118.19,3026.42,1
AJMERA.NS,11/6/2024,966.15,8.00,0.00,9.00,8.00,997.80,961.13,924.47,1
AKSHAR.BO,11/6/2024,0.84,3.00,0.00,47.00,3.00,0.90,0.87,0.85,1
AKCAPIT.BO,11/6/2024,1183.25,8.00,0.00,15.00,8.00,1269.03,1234.49,1199.95,1
AKSHARCHEM.NS,11/6/2024,310.65,8.00,0.00,18.00,8.00,323.68,311.75,299.83,1
AKSPINTEX.BO,11/6/2024,377.85,28.00,0.00,45.00,28.00,410.04,398.25,386.46,1
ALBERTDAVD.NS,11/6/2024,1392.85,7.00,0.00,46.00,7.00,1480.10,1442.64,1405.18,1
AKZOINDIA.NS,11/6/2024,4227.50,10.00,0.00,20.00,10.00,4934.22,4577.43,4220.64,1
ALFAICA.BO,11/6/2024,90.00,8.00,0.00,15.00,8.00,99.79,95.65,91.51,1
ALFATRAN.BO,11/6/2024,145.35,8.00,0.00,12.00,8.00,148.44,140.22,131.99,1
ALFL.BO,11/6/2024,2.08,8.00,0.00,37.00,8.00,2.40,2.35,2.29,1
ALFREDHE.BO,11/6/2024,2050.00,30.00,0.00,39.00,30.00,2150.60,2043.14,1935.69,1
ALEMBICLTD.NS,11/6/2024,136.64,8.00,0.00,52.00,8.00,137.76,136.45,135.15,1
ALKALI.NS,11/6/2024,118.49,7.00,0.00,17.00,7.00,122.54,118.32,114.09,1
ALKYLAMINE.NS,11/6/2024,2133.50,7.00,0.00,16.00,7.00,2187.23,2155.99,2124.75,1
ALMONDZ.NS,11/6/2024,30.14,7.00,0.00,14.00,7.00,33.95,33.16,32.36,1
ALICON.NS,11/6/2024,1344.75,8.00,0.00,30.00,8.00,1339.26,1318.46,1297.66,1
ALLSEC.NS,11/5/2024,1010.35,6.00,0.00,12.00,6.00,1024.85,994.94,965.02,1
ALPINEHOU.BO,11/6/2024,116.75,7.00,0.00,37.00,7.00,119.15,116.84,114.53,1
ALOKINDS.NS,11/6/2024,22.58,8.00,0.00,25.00,8.00,24.33,24.00,23.68,1
ALPSINDUS.NS,11/6/2024,4.43,9.00,0.00,23.00,9.00,4.55,4.24,3.93,1
ALSTONE.BO,11/6/2024,0.83,11.00,0.00,18.00,11.00,0.88,0.83,0.79,1
ALUFLUOR.BO,11/6/2024,392.95,10.00,0.00,14.00,10.00,392.83,383.72,374.60,1
AMAL.BO,11/6/2024,419.10,7.00,0.00,12.00,7.00,476.71,463.07,449.44,1
AMALGAM.BO,11/6/2024,85.37,8.00,0.00,19.00,8.00,87.10,85.38,83.65,1
AMBICAAGAR.BO,11/6/2024,28.33,7.00,0.00,25.00,7.00,29.06,28.55,28.05,1
AMARJOTHI.BO,11/6/2024,206.30,7.00,0.00,20.00,7.00,206.54,201.82,197.11,1
AMBALALSA.BO,11/6/2024,61.66,8.00,0.00,17.00,8.00,61.73,58.68,55.63,1
AMBITION.BO,11/1/2024,2.96,54.00,0.00,86.00,54.00,3.17,3.03,2.88,1
AMBIKCO.NS,11/6/2024,1598.65,6.00,0.00,36.00,6.00,1627.75,1609.21,1590.67,1
AMFORG.BO,11/6/2024,11.36,7.00,0.00,17.00,7.00,11.35,11.02,10.69,1
AMRAPLIN.BO,11/6/2024,19.23,7.00,0.00,16.00,7.00,20.61,19.22,17.83,1
AMTL.BO,11/6/2024,42.46,8.00,0.00,27.00,8.00,44.54,42.72,40.90,1
AMDIND.NS,11/6/2024,65.70,7.00,0.00,12.00,7.00,66.04,64.79,63.55,1
AMBUJACEM.NS,11/6/2024,582.65,8.00,0.00,87.00,8.00,611.00,602.67,594.34,1
AMRAAGRI.BO,11/6/2024,1.17,7.00,0.00,0.00,7.00,1.32,1.26,1.21,1
AMRUTANJAN.NS,11/6/2024,737.75,7.00,0.00,26.00,7.00,807.27,797.63,787.99,1
AMJLAND.NS,11/6/2024,51.75,7.00,0.00,12.00,7.00,53.85,51.73,49.61,1
ANDHRAPET.BO,11/6/2024,84.61,8.00,0.00,19.00,8.00,91.19,90.25,89.30,1
ANANTRAJ.NS,11/6/2024,766.20,8.00,0.00,15.00,8.00,799.24,769.58,739.91,1
ANDREWYU.BO,11/6/2024,40.60,8.00,0.00,16.00,8.00,44.10,43.54,42.99,1
ANERI.BO,11/5/2024,7.10,26.00,0.00,51.00,26.00,7.08,6.87,6.66,1
ANDHRSUGAR.NS,11/6/2024,105.67,7.00,0.00,47.00,7.00,111.26,107.27,103.28,1
ANDHRAPAP.NS,11/6/2024,99.52,8.00,0.00,40.00,8.00,104.75,103.58,102.42,1
ANJANI.BO,11/6/2024,47.01,6.00,0.00,9.00,6.00,50.50,48.80,47.09,1
ANMOL.BO,11/6/2024,31.77,10.00,0.00,17.00,10.00,0.00,0.00,0.00,1
ANJANIFOODS.BO,11/6/2024,38.45,8.00,0.00,55.00,8.00,39.42,38.71,38.01,1
ANJANIFIN.BO,11/6/2024,13.32,11.00,0.00,17.00,11.00,13.98,13.58,13.18,1
ANIKINDS.NS,11/6/2024,102.00,21.00,0.00,39.00,21.00,102.93,94.89,86.84,1
ANKITMETAL.NS,11/6/2024,3.70,5.00,0.00,10.00,5.00,3.80,3.74,3.68,1
ANURAS.NS,11/6/2024,736.05,8.00,0.00,54.00,8.00,761.41,741.93,722.46,1
ANSALHSG.BO,11/6/2024,18.56,7.00,0.00,18.00,7.00,20.97,20.48,19.99,1
ANSINDUS.BO,11/6/2024,11.13,11.00,0.00,34.00,11.00,11.21,10.58,9.96,1
APEX.NS,11/6/2024,265.10,6.00,0.00,13.00,6.00,274.42,264.15,253.87,1
APIL.BO,11/6/2024,26.00,5.00,0.00,6.00,5.00,28.26,26.67,25.09,1
APOLLO.NS,11/6/2024,103.56,10.00,0.00,36.00,10.00,107.74,102.65,97.57,1
APLAPOLLO.NS,11/6/2024,1541.60,7.00,0.00,24.00,7.00,1570.89,1542.58,1514.28,1
APOLLOPIPE.NS,11/6/2024,522.05,7.00,0.00,43.00,7.00,574.28,567.73,561.19,1
APOLLOFI.BO,11/6/2024,826.35,8.00,0.00,15.00,8.00,897.43,872.27,847.12,1
APLLTD.NS,11/6/2024,1139.95,7.00,0.00,20.00,7.00,1173.67,1146.10,1118.52,1
APOLSINHOT.NS,11/6/2024,1828.20,8.00,0.00,19.00,8.00,2143.57,2081.34,2019.11,1
ARCFIN.BO,11/6/2024,2.62,16.00,0.00,28.00,16.00,2.61,2.52,2.44,1
ARCEEIN.BO,11/6/2024,6.71,9.00,0.00,16.00,9.00,6.74,6.61,6.48,1
ARENTERP.NS,11/6/2024,46.74,10.00,0.00,62.00,10.00,46.68,45.47,44.27,1
AREXMIS.BO,11/6/2024,171.00,3.00,0.00,7.00,3.00,177.66,177.12,176.57,1
ARAVALIS.BO,11/6/2024,5.13,8.00,0.00,13.00,8.00,5.51,5.34,5.16,1
