Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
1STCUS.BO,2024-11-06,115,100.6,115.35,,115.35,Long,Open
20MICRONS.NS,2024-10-21,248,151.85,,314.0,321.0,Short,Close
21STCENMGM.NS,2024-10-30,119,100.7,105.42,,122.64,Long,Open
360ONE.NS,2024-11-01,1056,940.0,,1090.5,1095.0,Short,Close
3IINFOLTD.NS,2024-11-06,29,25.23,28.38,,29.52,Long,Open
3MINDIA.NS,2024-10-31,35432,33444.05,34931.05,,36147.7,Long,Open
3PLAND.NS,2024-10-29,43,36.77,36.53,,38.45,Long,Open
4THGEN.BO,2024-09-16,6,4.53,5.67,,5.67,Long,Open
5PAISA.NS,2024-10-28,511,458.0,490.67,,607.05,Long,Open
63MOONS.NS,2024-10-28,596,316.0,465.0,,542.5,Long,Open
7TEC.BO,2024-10-31,59,51.0,53.46,,58.89,Long,Open
A2ZINFRA.NS,2024-10-29,19,15.87,16.02,,20.61,Long,Open
AAATECH.NS,2024-10-28,125,93.55,112.57,,134.95,Long,Open
AAIL.BO,2024-10-28,107,87.8,100.16,,123.8,Long,Open
AAKASH.NS,2024-10-30,11,11.25,10.77,,12.59,Long,Open
AANCHALISP.BO,2024-10-29,6,5.02,5.19,,6.3,Long,Open
AARON.NS,2024-10-28,278,259.6,260.85,,297.0,Long,Open
AARTECH.BO,2024-10-16,63,61.83,,68.93,69.8,Short,Close
AARTIDRUGS.NS,2024-08-26,494,444.0,,613.4,632.5,Short,Close
AARTIIND.NS,2024-10-28,521,559.0,491.16,,512.95,Long,Open
AARTISURF.NS,2024-10-30,727,605.0,717.8,,749.9,Long,Open
AARVEEDEN.NS,2024-10-29,57,21.65,43.03,,50.0,Long,Open
AARVI.NS,2024-10-28,151,127.72,140.74,,168.0,Long,Open
AAVAS.NS,2024-09-23,1685,1307.0,,1907.79,1919.95,Short,Close
AAYUSH.BO,2024-10-04,113,219.35,73.11,,73.12,Long,Open
ABAN.NS,2024-10-30,65,70.06,65.5,,72.5,Long,Open
