Ticker,Last Alert Date,Buy Price,Target,Call,Status
AJOONI.NS,2024-10-29,6.81,,Long,Open
AJWAFUN.BO,2021-02-12,6.83,,Long,Open
AKASH.NS,2024-10-28,33.32,,Long,Open
AKCAPIT.BO,2024-10-24,1046.58,,Long,Open
AKG.NS,2024-09-18,,22.13,Short,Close
AKI.BO,2024-10-18,19.28,,Long,Open
AKSHAR.BO,2024-09-20,1.66,,Long,Open
AKSHARCHEM.NS,2024-10-11,,324.77,Short,Close
AKSHOPTFBR.NS,2024-10-22,10.16,,Long,Open
AKSPINTEX.BO,2024-10-01,226.99,,Long,Open
AKZOINDIA.NS,2024-10-09,,4455.52,Short,Close
ALANKIT.NS,2024-10-29,21.34,,Long,Open
ALBERTDAVD.NS,2024-09-02,,1728.96,Short,Close
ALEMBICLTD.NS,2024-10-28,119.33,,Long,Open
ALFAICA.BO,2024-10-30,81.49,,Long,Open
ALFATRAN.BO,2024-10-30,115.92,,Long,Open
ALFAVIO.BO,2024-10-30,15.31,,Long,Open
ALFL.BO,2024-10-30,1.94,,Long,Open
ALFREDHE.BO,2024-09-25,1606.21,,Long,Open
ALICON.NS,2024-10-11,,1336.14,Short,Close
ALKALI.NS,2024-10-29,112.25,,Long,Open
ALKEM.NS,2024-10-09,,6349.19,Short,Close
ALKYLAMINE.NS,2024-10-14,,2326.23,Short,Close
ALLCARGO.NS,2024-09-10,67.37,,Long,Open
ALLSEC.NS,2024-10-18,,1124.94,Short,Close
ALMONDZ.NS,2024-10-28,26.63,,Long,Open
ALOKINDS.NS,2024-10-30,21.61,,Long,Open
ALPA.NS,2024-09-30,,142.13,Short,Close
ALPHAGEO.NS,2024-10-16,,435.5,Short,Close
ALPINEHOU.BO,2024-09-12,108.04,,Long,Open
ALPSINDUS.NS,2024-10-30,3.32,,Long,Open
ALSTONE.BO,2024-10-24,0.7,,Short,Close
ALUFLUOR.BO,2024-10-24,354.47,,Long,Open
AMAL.BO,2024-10-29,387.25,,Long,Open
AMALGAM.BO,2024-10-10,,98.01,Short,Close
AMARJOTHI.BO,2024-08-27,,231.11,Short,Close
AMBALALSA.BO,2024-10-28,51.31,,Long,Open
AMBER.NS,2024-09-30,4647.14,,Long,Open
AMBICAAGAR.BO,2024-10-30,26.79,,Long,Open
