Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Close,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2024-10-30,FRASER.BO,EW_UC,2024-10-30,4.82,5.0,,Long,Open,11.35,2024-11-12,5555.56,,,India
2024-10-30,FUTSOL.BO,EW_DC,2024-11-06,61.01,72.0,,Long,Open,72.0,2024-11-12,90.99,,,India
2024-10-30,GABRIEL.NS,BB_DC,2024-10-29,413.7,448.2,,Long,Open,439.15,2024-11-12,28.99,,,India
2024-10-30,GAEL.NS,EW_UC,2024-10-30,122.0,133.0,,Long,Open,128.64,2024-11-12,90.91,,,India
2024-10-30,GAGAN.BO,EW_UC,2024-10-30,20.25,22.0,,Long,Open,,2000-01-01,571.43,,,India
2024-10-30,GANGESSECU.NS,EW_BW,2024-10-30,166.01,183.0,,Long,Open,209.5,2024-11-12,58.86,,,India
2024-10-30,GARFIBRES.NS,EW_UC,2024-10-30,3672.0,3907.0,,Long,Open,3979.7,2024-11-12,4.26,,,India
2024-10-30,GENESYS.NS,ATRBB_DC,2024-11-06,666.35,817.75,835.03,Short,Closed,751.1,2024-11-12,6.61,Target Hit,835.03,India
2024-10-30,GEPIL.NS,EW_BW,2024-11-06,311.2,336.0,406.96,Short,Closed,392.95,2024-11-12,40.32,Target Hit,406.96,India
2024-10-30,GGPL.BO,BB_W,2024-10-23,2.8,3.53,,Long,Open,3.49,2024-11-12,1369.86,,,India
2024-10-30,GHCL.NS,ATREW_DC,2024-10-30,536.1,607.0,,Long,Open,592.55,2024-11-12,14.1,,,India
2024-10-30,GILADAFINS.BO,EW_BW,2024-10-30,11.5,13.0,,Long,Open,13.12,2024-11-12,666.67,,,India
2024-10-30,GIPCL.NS,EW_BW,2024-10-30,196.31,211.0,,Long,Open,204.25,2024-11-12,68.07,,,India
2024-10-30,GKWLIMITED.NS,ATR_BW,2024-11-07,2806.0,3455.35,3695.01,Short,Closed,2999.45,2024-11-12,1.54,Target Hit,3695.01,India
2024-10-30,GLOBALCA.BO,EW_BW,2024-10-30,0.75,1.0,,Short,Close,,2000-01-01,4000.0,,,India
2024-10-30,GLOBALVECT.NS,BB_DC,2024-11-05,268.95,282.9,301.35,Short,Closed,278.05,2024-11-12,71.68,Target Hit,301.35,India
2024-10-30,GLOBUSSPR.NS,EW_BW,2024-10-30,977.15,1061.0,,Long,Open,1062.45,2024-11-12,11.93,,,India
2024-10-30,GLOSTERLTD.BO,EW_DC,2024-10-30,628.1,716.0,,Long,Open,695.5,2024-11-12,11.38,,,India
