Ticker,Date/Time,Close,myBuy ,myShort
4THGEN.BO,10/28/2024,6,,1
3PLAND.NS,10/30/2024,39,1,
^NSEBANK,10/23/2024,51808,,1
A2ZINFRA.NS,10/22/2024,17,,1
AEGISLOG.BO,10/21/2024,790,1,
AGROPHOS.NS,10/22/2024,45,,1
AHLEAST.NS,10/23/2024,164,,1
AIRAN.NS,10/22/2024,34,,1
AJEL.BO,10/22/2024,17,1,
ALPHAGEO.NS,10/28/2024,407,,1
AMBALALSA.BO,10/22/2024,57,,1
ANKIN.BO,10/28/2024,15,1,
ARCHITORG.BO,10/25/2024,46,1,
ARIES.NS,10/30/2024,255,1,
ATFL.NS,10/25/2024,950,,1
AUSOMENT.NS,10/28/2024,118,,1
AUTOAXLES.NS,10/30/2024,1846,1,
AWHCL.NS,10/22/2024,790,,1
AXISBANK.NS,10/23/2024,1170,,1
BALTE.BO,10/22/2024,33,,1
BANKBEES.BO,10/22/2024,533,,1
BBOX.NS,10/21/2024,479,1,
BBOX.NS,10/22/2024,479,,1
BDH.BO,10/30/2024,327,1,
BELLACASA.BO,10/29/2024,552,1,
BFUTILITIE.NS,10/21/2024,853,,1
BHARAT.BO,10/21/2024,54,1,
BHARATSE.BO,10/30/2024,192,1,
BLOOM.BO,10/21/2024,15,,1
BNRSEC.BO,10/22/2024,187,,1
BRADYM.BO,10/23/2024,2011,,1
BSE.NS,10/22/2024,4341,,1
BURNPUR.NS,10/21/2024,6,1,
CAMEXLTD.BO,10/24/2024,58,,1
CARERATING.NS,10/22/2024,1466,,1
CESC.NS,10/22/2024,183,,1
CHEMBOND.NS,10/22/2024,559,,1
CITYONLINE.BO,10/23/2024,6,1,
COLINZ.BO,10/25/2024,56,,1
CRAVATEX.BO,10/29/2024,445,1,
CROWN.NS,10/23/2024,230,1,
DANLAW.BO,10/21/2024,2012,,1
DCI.NS,10/22/2024,365,,1
DECNGOLD.BO,10/30/2024,133,1,
DCMSHRIRAM.NS,10/25/2024,1045,,1
DEVINE.BO,10/21/2024,9,1,
DHANROTO.BO,10/22/2024,229,,1
DHANI.NS,10/24/2024,58,,1
DUTRON.BO,10/29/2024,176,,1
EICHERMOT.NS,10/29/2024,4869,1,
EMERALL.BO,10/28/2024,160,1,
EMPIND.BO,10/21/2024,1044,1,
FILTRA.BO,10/23/2024,86,,1
GARNETINT.BO,10/25/2024,126,,1
GARWSYN.BO,10/24/2024,28,1,
GOKULAGRO.NS,10/30/2024,277,1,
GRATEXI.BO,10/21/2024,21,,1
GREENPLY.NS,10/29/2024,359,,1
GSLSEC.BO,10/29/2024,15,,1
GTL.NS,10/22/2024,13,,1
GUJCOTEX.BO,10/28/2024,13,,1
GUFICBIO.NS,10/29/2024,439,,1
GUJPETR.BO,10/22/2024,67,,1
HALDER.BO,10/29/2024,799,1,
HATSUN.NS,10/21/2024,1051,1,
HAWAENG.BO,10/22/2024,217,,1
ICEMAKE.NS,10/25/2024,836,,1
IFINSEC.BO,10/25/2024,138,1,
IFINSEC.BO,10/28/2024,138,,1
IFINSEC.BO,10/29/2024,138,1,
IFINSEC.BO,10/30/2024,138,,1
IFBAGRO.NS,10/22/2024,545,,1
IFBIND.NS,10/28/2024,1551,,1
INDIANVSH.BO,10/23/2024,14,,1
INDOEURO.BO,10/21/2024,16,,1
INFOBEAN.NS,10/28/2024,419,1,
INGERRAND.NS,10/24/2024,4250,,1
IONEXCHANG.BO,10/29/2024,668,1,
JAUSPOL.BO,10/23/2024,9,,1
JETKINGQ.BO,10/29/2024,62,1,
JINDALPHOT.NS,10/21/2024,712,1,
JINDALPHOT.NS,10/22/2024,712,,1
JUBLINDS.NS,10/21/2024,1634,1,
JUBLINDS.NS,10/25/2024,1634,,1
KAMAHOLD.BO,10/25/2024,2572,,1
KANELIND.BO,10/21/2024,2,,1
KESARENT.BO,10/30/2024,151,1,
KERNEX.NS,10/30/2024,751,1,
KHADIM.NS,10/23/2024,377,,1
KIDUJA.BO,10/24/2024,453,1,
KHANDSE.NS,10/30/2024,30,1,
KLBRENG-B.BO,10/29/2024,433,1,
KPEL.BO,10/28/2024,566,,1
KSHITIJPOL.NS,10/28/2024,6,,1
LAURUSLABS.NS,10/22/2024,485,,1
LAOPALA.NS,10/21/2024,334,,1
LCCINFOTEC.NS,10/28/2024,10,,1
LINCOLN.NS,10/29/2024,681,1,
LICHSGFIN.NS,10/30/2024,633,1,
LINDEINDIA.NS,10/22/2024,7665,,1
LTTS.NS,10/23/2024,5156,1,
MAGNAELQ.BO,10/22/2024,872,,1
MAANALU.NS,10/25/2024,237,,1
MCX.BO,10/30/2024,6383,,1
MGEL.NS,10/23/2024,24,,1
MIDEASTP.BO,10/24/2024,11,,1
MODIPON.BO,10/28/2024,60,1,
