Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
1STCUS.BO,2024-09-25,103,47.69,,125.13,126.35,Short,Close
20MICRONS.NS,2024-10-21,272,151.85,,314.0,321.0,Short,Close
21STCENMGM.NS,2024-10-21,109,42.7,,120.24,120.24,Short,Close
360ONE.NS,2024-10-29,1061,940.0,1005.4,,1143.65,Long,Open
3IINFOLTD.NS,2024-08-28,28,34.65,,37.42,38.17,Short,Close
3MINDIA.NS,2024-07-30,34602,26628.0,,40222.6,40642.95,Short,Close
3PLAND.NS,2024-10-29,39,34.05,36.53,,38.45,Long,Open
4THGEN.BO,2024-09-16,6,4.53,5.67,,5.67,Long,Open
5PAISA.NS,2024-10-28,514,458.0,490.67,,607.05,Long,Open
63MOONS.NS,2024-10-28,521,351.0,465.0,,542.5,Long,Open
7TEC.BO,2024-08-01,52,38.15,,65.69,66.85,Short,Close
A2ZINFRA.NS,2024-10-24,17,15.87,16.51,,20.61,Long,Open
AAATECH.NS,2024-10-28,121,115.0,112.57,,134.95,Long,Open
AAIL.BO,2024-10-28,105,104.8,100.16,,123.8,Long,Open
AAKASH.NS,2024-07-31,11,5.7,,14.11,14.48,Short,Close
AANCHALISP.BO,2024-10-29,6,5.16,5.19,,6.3,Long,Open
AARON.NS,2024-10-28,267,251.05,260.85,,297.0,Long,Open
AARTECH.BO,2024-10-16,62,61.83,,68.93,69.8,Short,Close
AARTIDRUGS.NS,2024-08-26,485,444.0,,613.4,632.5,Short,Close
AARTIIND.NS,2024-10-28,513,509.05,491.16,,512.95,Long,Open
AARTISURF.NS,2024-10-30,736,678.0,717.8,,749.9,Long,Open
AARVEEDEN.NS,2024-10-29,48,42.92,43.03,,50.0,Long,Open
AARVI.NS,2024-10-28,146,129.25,140.74,,168.0,Long,Open
AAVAS.NS,2024-09-23,1669,1307.0,,1907.79,1919.95,Short,Close
AAYUSH.BO,2024-10-04,104,219.35,73.11,,73.12,Long,Open
ABAN.NS,2024-10-30,66,62.56,65.5,,72.5,Long,Open
ABANSENT.BO,2024-10-30,29,25.1,26.7,,45.4,Long,Open
ABB.NS,2024-10-18,7427,7053.2,,8777.51,8940.6,Short,Close
ABBOTINDIA.BO,2024-10-08,28395,25200.05,28154.05,,29480.0,Long,Open
ABCAPITAL.NS,2024-10-30,215,199.44,207.7,,218.81,Long,Open
ABCINDQ.BO,2024-10-23,120,102.0,118.23,,134.25,Long,Open
ABFRL.NS,2024-10-15,307,295.3,,350.92,353.55,Short,Close
ABHICAP.BO,2024-10-24,153,152.2,155.8,,176.55,Long,Open
ABHIINFRA.BO,2024-09-16,8,5.33,,10.82,10.82,Short,Close
ABIRAFN.BO,2024-10-28,51,47.5,48.99,,50.62,Long,Open
ABMKNO.BO,2024-10-29,129,115.05,122.71,,144.95,Long,Open
ACC.NS,2024-09-13,2332,2347.2,,2507.04,2524.95,Short,Close
ACCEL.BO,2024-10-28,23,22.25,21.96,,25.99,Long,Open
ACCELYA.NS,2024-10-10,1595,1465.0,,1818.75,1845.0,Short,Close
ACCURACY.NS,2024-10-30,10,9.35,9.67,,11.35,Long,Open
ACE.NS,2024-10-30,1305,1115.5,1203.85,,1324.45,Long,Open
ACEINTEG.NS,2024-09-30,32,30.3,35.62,,39.9,Long,Open
ACEMEN.BO,2024-10-25,75,60.18,69.47,,71.39,Long,Open
ACESOFT.BO,2024-09-24,482,87.68,370.9,,402.15,Long,Open
ACGL.BO,2024-10-29,2427,2299.0,2263.17,,2810.0,Long,Open
ACIIN.BO,2024-10-24,2,2.05,2.3,,2.9,Long,Open
ACKNIT.BO,2024-09-18,291,210.0,,353.79,360.0,Short,Close
ACL.NS,2024-10-30,88,82.0,86.88,,92.0,Long,Open
ACME.BO,2024-10-10,32,31.5,,35.31,39.27,Short,Close
ACML.BO,2024-10-29,71,63.15,66.86,,73.0,Long,Open
ACROW.BO,2024-10-11,681,601.0,,767.85,778.8,Short,Close
ADANIENT.NS,2024-10-28,2969,2890.35,2709.68,,3211.0,Long,Open
ADANIGREEN.NS,2024-09-24,1634,1700.05,,2065.66,2079.65,Short,Close
ADANIPORTS.NS,2024-10-28,1396,1337.0,1318.39,,1485.0,Long,Open
ADANIPOWER.NS,2024-09-24,592,501.55,,675.17,678.0,Short,Close
ADARSHPL.BO,2024-10-15,28,28.12,,34.86,35.28,Short,Close
ADCINDIA.BO,2024-10-29,1773,1535.9,1625.32,,1955.55,Long,Open
ADCON.BO,2024-10-17,1,0.77,,1.04,1.06,Short,Close
ADDIND.BO,2024-10-24,42,40.22,39.49,,40.98,Long,Open
ADFFOODS.NS,2024-10-28,286,209.11,274.15,,321.4,Long,Open
ADIEXRE.BO,2024-10-09,26,19.5,24.98,,27.9,Long,Open
ADINATH.BO,2024-10-01,29,24.0,,31.01,31.5,Short,Close
ADITYA.BO,2024-10-30,11,9.0,10.2,,11.0,Long,Open
ADITYASP.BO,2024-10-29,29,17.35,28.4,,30.5,Long,Open
ADL.NS,2024-09-12,93,77.1,137.9,,146.6,Long,Open
ADMANUM.BO,2024-10-30,99,91.15,96.79,,114.8,Long,Open
ADORFO.BO,2024-09-10,141,120.6,133.05,,144.8,Long,Open
ADORMUL.BO,2024-10-24,35,34.3,35.4,,38.99,Long,Open
ADORWELD.NS,2024-10-16,1283,1282.0,,1385.9,1393.35,Short,Close
ADROITINFO.NS,2024-10-23,20,17.25,19.32,,24.99,Long,Open
ADSL.NS,2024-10-23,264,198.0,286.48,,315.0,Long,Open
ADVAIT.BO,2024-10-25,1722,1635.0,1668.16,,1877.7,Long,Open
ADVANIHOTR.NS,2024-09-23,66,68.35,74.34,,79.8,Long,Open
ADVENZYMES.NS,2024-10-25,455,356.45,422.34,,517.9,Long,Open
ADVIKCA.BO,2024-10-25,2,2.46,2.31,,3.29,Long,Open
AEGISCHEM.NS,2024-07-24,884,357.05,846.25,,970.0,Long,Open
AEGISLOG.BO,2024-10-15,790,711.55,686.2,,734.65,Long,Open
AEL.BO,2024-10-18,195,198.1,,221.5,225.0,Short,Close
AFEL.BO,2024-10-11,19,5.49,18.13,,19.81,Long,Open
AFFLE.NS,2024-10-11,1509,998.2,,1614.4,1647.75,Short,Close
AGARIND.NS,2024-10-30,1074,981.2,1047.73,,1085.0,Long,Open
AGIIL.BO,2024-10-23,1066,895.0,906.58,,1000.0,Long,Open
AGIOPAPER.BO,2024-09-27,8,3.63,,8.5,8.61,Short,Close
AGRITECH.NS,2024-10-09,200,191.2,,236.0,243.0,Short,Close
AGROPHOS.NS,2024-10-29,45,40.5,42.63,,51.46,Long,Open
AHLADA.NS,2024-10-10,99,108.0,,106.68,121.04,Short,Close
AHLEAST.NS,2024-10-17,164,124.81,,191.63,196.9,Short,Close
AHLUCONT.NS,2024-10-18,1028,1160.1,,1168.51,1179.25,Short,Close
AHMDSTE.BO,2024-10-24,354,33.8,,383.2,391.0,Short,Close
AIAENG.NS,2024-08-12,3902,3355.65,,4897.94,4949.95,Short,Close
AICHAMP.BO,2024-10-28,56,40.11,,61.66,62.71,Short,Close
AIIL.BO,2024-10-21,1660,961.6,,1882.91,1900.2,Short,Close
AIRAN.NS,2024-10-28,34,32.08,31.63,,39.65,Long,Open
AIROLAM.NS,2024-10-25,115,125.71,,130.68,164.0,Short,Close
AJANTPHARM.NS,2024-10-08,2997,2111.05,,3371.36,3426.75,Short,Close
AJANTSOY.BO,2024-10-28,45,40.8,41.37,,44.5,Long,Open
AJCON.BO,2024-10-30,46,37.5,43.63,,50.9,Long,Open
AJEL.BO,2024-10-29,17,15.0,,17.13,17.49,Short,Close
AJMERA.NS,2024-10-28,914,609.55,841.54,,943.5,Long,Open
AJOONI.NS,2024-10-29,8,7.03,6.81,,9.2,Long,Open
AJWAFUN.BO,2021-02-12,7,22.75,6.83,,6.83,Long,Open
AKASH.NS,2024-10-28,35,33.85,33.32,,38.89,Long,Open
AKCAPIT.BO,2024-10-24,1122,1005.0,1046.58,,1169.0,Long,Open
AKG.NS,2024-09-18,19,17.6,,22.13,23.5,Short,Close
AKI.BO,2024-10-18,19,20.73,19.28,,22.1,Long,Open
AKSHAR.BO,2024-09-20,1,2.1,1.66,,1.78,Long,Open
AKSHARCHEM.NS,2024-10-11,288,295.95,,324.77,328.0,Short,Close
AKSHOPTFBR.NS,2024-10-22,10,8.16,10.16,,12.05,Long,Open
AKSPINTEX.BO,2024-10-01,367,127.0,226.99,,233.25,Long,Open
AKZOINDIA.NS,2024-10-09,3803,2267.0,,4455.52,4649.0,Short,Close
ALANKIT.NS,2024-10-29,22,20.04,21.34,,23.45,Long,Open
ALBERTDAVD.NS,2024-09-02,1375,911.05,,1728.96,1746.95,Short,Close
ALEMBICLTD.NS,2024-10-28,126,130.6,119.33,,144.2,Long,Open
ALFAICA.BO,2024-10-30,86,80.0,81.49,,101.95,Long,Open
ALFATRAN.BO,2024-10-30,122,77.74,115.92,,141.93,Long,Open
ALFAVIO.BO,2024-10-30,17,14.75,15.31,,16.99,Long,Open
ALFL.BO,2024-10-30,2,1.82,1.94,,2.05,Long,Open
ALFREDHE.BO,2024-09-25,2033,1324.05,1606.21,,1695.95,Long,Open
ALICON.NS,2024-10-11,1236,1129.95,,1336.14,1503.9,Short,Close
ALKALI.NS,2024-10-29,117,107.78,112.25,,125.0,Long,Open
ALKEM.NS,2024-10-09,5796,4407.05,,6349.19,6375.55,Short,Close
ALKYLAMINE.NS,2024-10-14,2062,1979.25,,2326.23,2350.0,Short,Close
ALLCARGO.NS,2024-09-10,56,69.75,67.37,,71.5,Long,Open
ALLSEC.NS,2024-10-18,929,974.05,,1124.94,1147.9,Short,Close
ALMONDZ.NS,2024-10-28,30,28.15,26.63,,35.14,Long,Open
ALOKINDS.NS,2024-10-30,22,20.62,21.61,,22.32,Long,Open
ALPA.NS,2024-09-30,111,69.9,,142.13,144.5,Short,Close
ALPHAGEO.NS,2024-10-16,407,426.0,,435.5,439.0,Short,Close
ALPINEHOU.BO,2024-09-12,105,143.55,108.04,,120.15,Long,Open
ALPSINDUS.NS,2024-10-30,4,3.05,3.32,,3.6,Long,Open
ALSTONE.BO,2024-10-24,1,0.72,0.7,,0.83,Short,Close
ALUFLUOR.BO,2024-10-24,375,375.0,354.47,,409.95,Long,Open
AMAL.BO,2024-10-29,414,295.5,387.25,,456.5,Long,Open
AMALGAM.BO,2024-10-10,86,47.68,,98.01,99.15,Short,Close
AMARJOTHI.BO,2024-08-27,188,155.55,,231.11,235.0,Short,Close
AMBALALSA.BO,2024-10-28,57,51.27,51.31,,62.75,Long,Open
AMBER.NS,2024-09-30,6051,3310.0,4647.14,,5361.15,Long,Open
AMBICAAGAR.BO,2024-10-30,27,25.75,26.79,,28.0,Long,Open
AMBIKCO.NS,2024-09-17,1523,1385.65,,1821.13,1869.0,Short,Close
AMBITION.BO,2024-08-22,3,3.52,2.69,,2.71,Long,Open
AMBUJACEM.NS,2024-07-01,580,315.3,,692.36,701.8,Short,Close
AMCOIND.BO,2024-10-29,93,73.1,88.14,,124.0,Long,Open
AMDIND.NS,2024-10-18,63,63.52,,70.77,72.15,Short,Close
AMFORG.BO,2024-10-14,10,10.16,,10.99,11.66,Short,Close
AMJLAND.NS,2024-10-28,51,44.0,46.45,,58.1,Long,Open
AMNPLST.BO,2024-10-29,291,280.0,281.11,,340.55,Long,Open
AMRAAGRI.BO,2024-08-26,1,0.71,,1.18,1.19,Short,Close
AMRAPLIN.BO,2024-10-14,16,14.8,,17.16,17.63,Short,Close
AMRUTANJAN.NS,2024-10-16,738,707.35,,782.53,790.0,Short,Close
AMTL.BO,2024-10-28,37,38.0,34.15,,42.7,Long,Open
ANANTRAJ.NS,2024-10-28,693,319.15,647.9,,796.25,Long,Open
ANDHRAPAP.NS,2024-09-10,99,99.91,,117.07,118.36,Short,Close
ANDHRAPET.BO,2024-09-13,85,76.05,,100.93,102.8,Short,Close
ANDHRSUGAR.NS,2024-10-28,101,102.73,93.44,,110.49,Long,Open
ANDREWYU.BO,2024-10-28,40,41.5,38.31,,46.8,Long,Open
ANERI.BO,2024-09-30,7,6.84,5.98,,6.43,Long,Open
ANG.BO,2024-10-30,48,44.38,46.4,,48.48,Long,Open
ANGELONE.NS,2024-10-28,3029,2025.0,2842.73,,3393.0,Long,Open
ANIKINDS.NS,2024-10-24,88,41.6,77.32,,84.51,Long,Open
ANJANI.BO,2024-10-30,47,40.1,45.64,,49.64,Long,Open
ANJANIFIN.BO,2024-10-14,13,10.0,,13.91,14.47,Short,Close
ANJANIFOODS.BO,2024-10-28,37,35.98,34.1,,38.73,Long,Open
ANKIN.BO,2024-10-25,15,12.78,13.17,,15.65,Long,Open
ANKITMETAL.NS,2024-10-22,3,3.61,,3.96,4.06,Short,Close
ANMOL.BO,2024-10-25,31,30.06,30.27,,37.09,Long,Open
ANNAINFRA.BO,2024-10-18,34,24.01,31.45,,53.84,Long,Open
ANSALAPI.NS,2024-09-20,11,9.1,,14.59,14.85,Short,Close
ANSALBU.BO,2024-10-21,187,109.0,,215.88,220.0,Short,Close
ANSALHSG.BO,2024-10-29,19,16.34,16.61,,22.0,Long,Open
ANSINDUS.BO,2024-10-30,10,8.27,8.88,,9.55,Long,Open
ANUHPHR.BO,2024-10-14,189,215.5,,210.25,211.0,Short,Close
ANUP.NS,2024-09-26,3111,1250.5,2205.76,,2408.1,Long,Open
ANURAS.NS,2024-10-28,730,712.65,688.47,,735.5,Long,Open
APARINDS.NS,2024-10-15,9430,7595.0,,10862.64,11000.0,Short,Close
APCL.NS,2024-10-04,171,154.3,,186.5,189.0,Short,Close
APCOTEXIND.NS,2024-08-30,386,490.1,,460.96,473.7,Short,Close
APEX.NS,2024-10-18,241,256.25,,263.35,267.3,Short,Close
APIL.BO,2024-10-29,22,20.25,,24.0,25.49,Short,Close
APLAB.BO,2024-09-06,67,80.0,,83.16,99.6,Short,Close
APLAPOLLO.NS,2024-10-01,1491,1403.25,,1614.19,1628.0,Short,Close
APLLTD.NS,2024-10-16,1084,823.4,,1189.05,1303.9,Short,Close
APMIN.BO,2024-09-16,50,52.05,,59.06,59.95,Short,Close
APOLLO.NS,2024-10-24,102,100.21,94.78,,101.6,Long,Open
APOLLOFI.BO,2024-10-28,820,811.0,796.13,,897.0,Long,Open
APOLLOHOSP.NS,2024-10-08,6983,5693.2,6796.53,,7316.95,Long,Open
APOLLOPIPE.NS,2024-09-04,519,671.0,,654.0,664.9,Short,Close
APOLLOTYRE.NS,2024-09-27,498,441.65,,553.18,584.9,Short,Close
APOLSINHOT.NS,2024-10-28,1837,1345.45,1702.5,,2224.85,Long,Open
APTECHT.NS,2024-10-29,178,166.6,172.63,,219.7,Long,Open
ARAVALIS.BO,2024-10-23,5,4.45,4.49,,5.4,Long,Open
ARCEEIN.BO,2024-10-25,6,5.71,5.6,,6.9,Long,Open
ARCFIN.BO,2024-10-18,2,1.07,1.96,,1.96,Long,Open
ARCHIDPLY.NS,2024-10-28,125,115.67,112.07,,141.7,Long,Open
ARCHIES.NS,2024-10-01,26,22.45,33.3,,36.71,Long,Open
ARCHITORG.BO,2024-10-11,46,47.7,,46.93,47.51,Short,Close
ARENTERP.NS,2024-08-09,44,30.35,,77.49,79.8,Short,Close
AREXMIS.BO,2024-10-30,161,155.1,,164.25,180.0,Short,Close
ARFIN.BO,2024-10-23,36,35.0,35.7,,39.0,Long,Open
ARIES.NS,2024-10-28,255,238.0,233.5,,261.4,Long,Open
ARIHANT.BO,2024-10-04,655,131.0,463.92,,507.8,Long,Open
ARIHANTSUP.NS,2024-10-01,348,263.0,,430.0,434.4,Short,Close
ARISE.BO,2024-10-24,33,15.99,,36.75,39.9,Short,Close
ARMANFIN.NS,2024-09-20,1452,1696.6,,1839.75,1864.4,Short,Close
ARNOLD.BO,2024-10-18,49,41.0,,54.93,57.66,Short,Close
AROGRANITE.NS,2024-09-23,53,41.1,,60.68,62.0,Short,Close
ARROWGREEN.NS,2024-10-24,816,782.0,,824.15,830.9,Short,Close
ARSHIYA.NS,2024-08-30,3,3.45,,5.38,5.62,Short,Close
ARSSINFRA.NS,2024-10-29,17,16.17,16.41,,22.7,Long,Open
ARTEFACT.BO,2024-09-13,74,70.0,,81.95,84.3,Short,Close
ARTEMISMED.NS,2024-10-30,280,249.45,272.24,,282.55,Long,Open
ARTNIRMAN.NS,2024-10-22,59,60.12,,60.86,62.66,Short,Close
ARTSONEN.BO,2024-10-24,165,173.35,166.4,,189.0,Long,Open
ARUNAHTEL.BO,2024-09-12,11,14.27,,12.18,12.7,Short,Close
ARVEE.NS,2024-10-29,169,165.0,156.22,,235.79,Long,Open
ARVIND.NS,2024-10-28,359,327.7,326.38,,374.75,Long,Open
ARVINDFASN.NS,2024-10-15,556,454.9,,634.66,637.7,Short,Close
ARVSMART.NS,2024-10-28,915,687.0,802.82,,889.9,Long,Open
ARYAMAN.BO,2024-09-06,395,177.0,,421.69,429.9,Short,Close
ASAHIINDIA.NS,2024-09-23,704,501.55,,819.85,833.95,Short,Close
ASAHISONG.NS,2024-10-11,417,391.0,,480.5,488.6,Short,Close
ASAL.NS,2024-10-30,694,632.35,671.66,,728.7,Long,Open
ASALCBR.NS,2024-10-28,922,871.4,836.0,,996.0,Long,Open
ASHAI.BO,2024-10-15,15,13.38,,17.06,17.15,Short,Close
ASHAPURMIN.NS,2024-10-30,245,200.45,227.01,,326.3,Long,Open
ASHCAP.BO,2024-10-28,5,4.37,4.08,,4.99,Long,Open
ASHIANA.NS,2024-09-13,312,269.0,,356.92,367.8,Short,Close
ASHIMASYN.NS,2024-10-03,31,17.75,,36.85,37.75,Short,Close
ASHIS.BO,2024-10-30,48,44.2,46.13,,62.65,Long,Open
ASHISHPO.BO,2024-10-09,52,26.0,,64.01,64.01,Short,Close
ASHNOOR.BO,2024-10-17,45,39.02,,51.58,52.0,Short,Close
ASHOKA.NS,2024-10-28,233,226.05,217.3,,272.25,Long,Open
ASHOKLEY.NS,2024-08-27,209,165.25,,263.14,264.65,Short,Close
ASHRAM.BO,2024-10-29,6,4.79,5.07,,6.29,Long,Open
ASHSI.BO,2024-08-28,37,42.26,,40.56,41.25,Short,Close
ASIANENE.BO,2024-10-29,341,311.0,329.3,,409.6,Long,Open
ASIANHOTNR.NS,2024-10-28,197,165.4,178.12,,216.7,Long,Open
ASIANPAINT.NS,2024-09-17,2997,2776.75,,3337.88,3394.9,Short,Close
ASIANTILES.NS,2024-09-25,70,56.55,,90.65,91.3,Short,Close
ASIANTNE.BO,2024-10-16,15,14.15,,16.13,16.29,Short,Close
ASIAPAK.BO,2024-10-28,77,51.82,68.54,,78.7,Long,Open
ASINPET.BO,2021-03-05,15,3.04,3.34,,3.46,Long,Open
ASITCFIN.BO,2024-10-01,142,150.35,,173.09,175.8,Short,Close
ASMTEC.BO,2024-10-25,1445,1244.0,1377.6,,1720.0,Long,Open
ASPINWALL.NS,2024-10-16,271,266.75,,289.35,294.5,Short,Close
ASPIRA.BO,2024-10-28,52,25.0,50.41,,54.46,Long,Open
ASTAR.BO,2024-09-23,794,731.05,,881.5,942.0,Short,Close
ASTEC.NS,2024-09-24,1055,1157.75,1223.06,,1333.5,Long,Open
ASTERDM.NS,2024-10-24,438,315.5,431.24,,457.9,Long,Open
ASTRAL.NS,2024-09-26,1747,1878.6,,2022.42,2037.95,Short,Close
ASTRAMICRO.NS,2024-10-28,777,787.0,727.18,,883.3,Long,Open
ASTRAZEN.NS,2024-10-09,7339,4800.15,,8021.0,8139.0,Short,Close
ASTRON.NS,2024-08-30,20,27.65,,24.94,25.2,Short,Close
ASYL.BO,2024-10-11,6,6.32,,6.22,6.22,Short,Close
ATALREAL.NS,2024-10-07,12,6.9,8.21,,9.45,Long,Open
ATAM.BO,2024-08-19,128,138.2,,183.21,187.6,Short,Close
ATFL.NS,2024-10-28,950,766.05,891.66,,998.0,Long,Open
ATGL.NS,2024-06-07,714,3382.2,,979.9,1190.0,Short,Close
ATHARVENT.BO,2024-10-28,3,2.35,,2.69,2.98,Short,Close
ATHENAGLO.BO,2024-10-10,92,80.0,,100.75,102.0,Short,Close
ATISHAY.BO,2024-10-30,166,120.3,162.3,,203.0,Long,Open
ATUL.NS,2024-10-10,7711,5174.85,,8100.91,8180.0,Short,Close
ATULAUTO.NS,2024-09-04,587,533.3,,710.58,724.0,Short,Close
ATVPR.BO,2024-10-30,34,30.22,32.52,,41.5,Long,Open
AUBANK.NS,2024-09-19,609,553.7,,747.8,755.4,Short,Close
AURIONPRO.NS,2024-10-11,1580,992.47,,1735.75,1763.65,Short,Close
AUROLAB.BO,2024-10-30,239,156.4,221.83,,245.0,Long,Open
AUROPHARMA.NS,2024-08-30,1405,834.65,,1573.2,1580.6,Short,Close
AUSOMENT.NS,2024-10-25,118,91.15,,156.15,186.35,Short,Close
AUSTENG.BO,2024-10-11,205,202.15,,225.48,229.85,Short,Close
AUTOAXLES.NS,2024-08-28,1846,2123.55,,2080.1,2105.0,Short,Close
AUTOIND.NS,2024-10-25,116,111.6,102.74,,150.0,Long,Open
AVADHSUGAR.NS,2024-10-29,635,579.6,595.57,,830.5,Long,Open
AVAILFC.BO,2024-10-29,337,310.85,314.44,,374.6,Long,Open
AVANTEL.BO,2024-10-07,170,86.05,,196.29,201.0,Short,Close
AVANTIFEED.NS,2024-10-28,583,576.1,549.03,,645.0,Long,Open
AVG.NS,2024-10-28,510,428.1,475.25,,549.0,Long,Open
AVIVA.BO,2024-08-26,26,28.06,23.97,,23.97,Long,Open
AVL.BO,2024-09-24,419,2980.0,,529.45,538.5,Short,Close
AVONMORE.BO,2024-10-21,15,12.84,,16.76,16.84,Short,Close
AVROIND.NS,2024-10-29,151,137.68,146.88,,151.9,Long,Open
AVTNPL.NS,2024-08-20,82,76.9,,92.22,94.33,Short,Close
AWHCL.NS,2024-10-28,790,667.1,703.46,,846.2,Long,Open
AXELPOLY.BO,2024-10-25,63,54.32,59.99,,67.8,Long,Open
AXISBANK.NS,2024-10-18,1170,1123.1,1168.0,,1203.85,Long,Open
AXISCADES.NS,2024-09-30,493,432.55,,593.45,605.0,Short,Close
AXITA.BO,2024-09-20,14,15.0,17.49,,18.75,Long,Open
AXTEL.BO,2024-10-03,543,456.0,447.06,,495.0,Long,Open
AYMSYNTEX.NS,2024-10-21,222,80.65,,245.7,245.7,Short,Close
B2BSOFT.BO,2024-10-11,35,26.0,,41.21,41.61,Short,Close
BABA.BO,2024-10-24,20,12.0,12.58,,13.87,Long,Open
BAFNAPH.NS,2024-09-27,81,75.9,,87.06,88.09,Short,Close
BAGFILMS.NS,2024-10-30,10,9.35,10.13,,12.95,Long,Open
BAJAJ-AUTO.NS,2024-09-27,9941,8592.8,,12718.4,12774.0,Short,Close
BAJAJCON.NS,2024-07-18,225,150.9,,282.93,286.9,Short,Close
BAJAJELEC.NS,2024-09-19,866,889.95,,1021.0,1038.0,Short,Close
BAJAJFINSV.NS,2024-09-27,1752,1517.0,,2014.0,2029.9,Short,Close
BAJAJHCARE.BO,2024-10-29,362,334.6,353.23,,390.45,Long,Open
BAJAJHIND.NS,2024-10-01,34,27.55,,44.22,44.84,Short,Close
BAJAJHLDNG.NS,2024-10-11,10223,7659.95,,10855.0,10897.0,Short,Close
BAJAJST.BO,2024-10-30,3147,1210.6,3017.91,,3175.0,Long,Open
BAJFINANCE.NS,2024-10-23,6955,6425.0,6725.46,,7098.85,Long,Open
BALAJITELE.NS,2024-10-30,63,54.35,60.37,,62.83,Long,Open
BALAMINES.NS,2024-10-30,2126,2000.5,2058.46,,2136.95,Long,Open
