Trade Day,System,Trade Direction,Stock,Entry Price,ISL/TSL,Buy Qty,Sell Qty,Sell Price,Exit Strategy,Commission,Trade Category,Account,CMP,CMP_Date,Target
2024-11-27,EWBB_W,Short,CONTPTR.BO,96.0,81.35,68.26,68.26,,,,,KRBPT,96.2,2024-11-27,95.27
2024-11-27,ATR_UC,Long,CTCL.BO,437.75,376.4,16.3,16.3,,,,,KRBPT,437.75,2024-11-27,
2024-11-27,BB_DC,Long,DAICHI.BO,407.0,365.0,23.81,23.81,,,,,KRBPT,407.0,2024-11-27,
2024-11-27,BB_DC,Long,DATAMATICS.NS,568.0,515.05,18.89,18.89,,,,,KRBPT,568.0,2024-11-27,
2024-11-27,BB_DC,Short,DAULAT.BO,49.0,44.35,215.05,215.05,69.69,Target Hit,,,KRBPT,49.0,2024-11-27,69.69
2024-11-27,BB_W,Short,DCW.NS,99.2,93.2,166.67,166.67,110.53,Target Hit,,,KRBPT,99.2,2024-11-27,110.53
2024-11-27,BB_W,Long,DEEPAKFERT.NS,1347.5,1245.0,9.76,9.76,,,,,KRBPT,1347.5,2024-11-27,
2024-11-27,BB_DC,Long,DHAMPURSUG.NS,183.85,164.65,52.08,52.08,,,,,KRBPT,183.85,2024-11-27,
2024-11-27,BB_W,Long,DHANROTO.BO,194.7,175.05,50.89,50.89,,,,,KRBPT,194.7,2024-11-27,
2024-11-27,EW_UC,Long,DHARFIN.BO,9.0,8.76,4166.67,4166.67,,,,,KRBPT,9.45,2024-11-27,
2024-11-27,LR_UC,Long,DHINDIA.BO,142.9,120.1,43.86,43.86,,,,,KRBPT,142.9,2024-11-27,
2024-11-27,LR_BW,Long,DONEAR.NS,114.85,105.15,103.09,103.09,,,,,KRBPT,114.85,2024-11-27,
2024-11-27,EW_BW,Short,DPWIRES.NS,383.0,358.05,40.08,40.08,429.95,Target Hit,,,KRBPT,383.05,2024-11-27,429.95
2024-11-27,BB_W,Short,DVL.NS,422.9,378.65,22.6,22.6,452.95,Target Hit,,,KRBPT,422.9,2024-11-27,452.95
2024-11-27,BB_W,Short,DWARKESH.NS,62.35,58.7,273.97,273.97,66.3,Target Hit,,,KRBPT,62.35,2024-11-27,66.3
2024-11-27,BB_DC,Long,DYNAMATECH.NS,7578.75,6700.0,1.14,1.14,,,,,KRBPT,7578.75,2024-11-27,
2024-11-27,BB_DC,Long,DYNAVSN.BO,349.9,306.3,22.94,22.94,,,,,KRBPT,349.9,2024-11-27,
2024-11-27,EW_DC,Long,E2E.NS,4458.0,4101.0,2.8,2.8,,,,,KRBPT,4457.55,2024-11-27,
2024-11-27,EW_BW,Long,ELANGO.BO,12.0,11.34,1515.15,1515.15,,,,,KRBPT,11.9,2024-11-27,
2024-11-27,EW_BW,Short,ELEFLOR.BO,7.0,6.17,1204.82,1204.82,7.55,Target Hit,,,KRBPT,6.82,2024-11-27,7.55
2024-11-27,BB_W,Long,ELPROINTL.BO,115.05,99.5,64.31,64.31,,,,,KRBPT,115.05,2024-11-27,
2024-11-27,ATR_UC,Long,EMKAY.NS,327.15,282.7,22.5,22.5,,,,,KRBPT,327.15,2024-11-27,
2024-11-27,BB_W,Long,ENBETRD.BO,14.6,11.11,286.53,286.53,,,,,KRBPT,14.6,2024-11-27,
2024-11-27,EW_UC,Short,ENERGYDEV.NS,27.0,25.07,518.13,518.13,28.18,Target Hit,,,KRBPT,26.84,2024-11-27,28.18
2024-11-27,BB_W,Short,ENGINERSIN.NS,202.67,176.0,37.5,37.5,,,,,KRBPT,202.67,2024-11-27,196.88
2024-11-27,BBLR_DC,Long,EVEREADY.NS,392.0,358.0,29.41,29.41,,,,,KRBPT,392.0,2024-11-27,
2024-11-27,ATR_BW,Short,EXIDEIND.NS,444.85,411.0,29.54,29.54,527.2,Target Hit,,,KRBPT,444.85,2024-11-27,527.2
2024-11-27,BB_W,Long,FSL.NS,362.35,334.65,36.1,36.1,,,,,KRBPT,362.35,2024-11-27,
2024-11-27,BB_W,Long,FUNDVISER.BO,157.2,135.8,46.73,46.73,,,,,KRBPT,157.2,2024-11-27,
2024-11-27,EW_BW,Short,GARGFUR.BO,300.0,277.75,44.94,44.94,342.0,Target Hit,,,KRBPT,300.0,2024-11-27,342.0
2024-11-27,BB_DC,Long,GEPIL.NS,411.0,372.7,26.11,26.11,,,,,KRBPT,411.0,2024-11-27,
2024-11-27,EW_DC,Short,GGL.BO,5.0,5.01,,,8.54,Target Hit,,,KRBPT,5.45,2024-11-27,8.54
2024-11-27,ATRBBLR_W,Short,GHCL.NS,606.15,550.0,17.81,17.81,613.73,Target Hit,,,KRBPT,606.15,2024-11-27,613.73
2024-11-27,EW_DC,Short,GINNIFILA.NS,29.0,26.41,386.1,386.1,31.87,Target Hit,,,KRBPT,28.77,2024-11-27,31.87
2024-11-27,ATRBBLR_DC,Long,GIPCL.NS,209.0,181.11,35.86,35.86,,,,,KRBPT,209.0,2024-11-27,
2024-11-27,BB_UC,Long,GLOBOFFS.BO,129.75,108.0,45.98,45.98,,,,,KRBPT,129.75,2024-11-27,
2024-11-27,LR_W,Short,GNA.NS,402.95,384.55,54.35,54.35,414.88,Target Hit,,,KRBPT,402.95,2024-11-27,414.88
2024-11-27,EWBB_DC,Short,GOKAKTEX.BO,173.0,163.9,109.89,109.89,178.88,Target Hit,,,KRBPT,173.0,2024-11-27,178.88
2024-11-27,BB_W,Short,GOODRICKE.BO,292.65,282.0,93.9,93.9,349.43,Target Hit,,,KRBPT,292.65,2024-11-27,349.43
2024-11-27,EW_BW,Short,GORANIN.BO,113.0,95.6,57.47,57.47,,,,,KRBPT,112.7,2024-11-27,105.76
2024-11-27,LR_BW,Long,GREAVESCOT.NS,184.93,154.5,32.86,32.86,,,,,KRBPT,184.93,2024-11-27,
2024-11-27,ATRLR_DC,Long,GRSE.NS,1656.35,1371.0,3.5,3.5,,,,,KRBPT,1656.35,2024-11-27,
2024-11-27,BB_DC,Long,GUJAPOLLO.NS,312.55,281.3,32.0,32.0,,,,,KRBPT,312.55,2024-11-27,
2024-11-27,BB_W,Long,HAL.NS,4476.05,3920.35,1.8,1.8,,,,,KRBPT,4476.05,2024-11-27,
2024-11-27,LR_BW,Short,HATSUN.NS,1091.95,1041.15,19.69,19.69,1170.28,Target Hit,,,KRBPT,1091.95,2024-11-27,1170.28
2024-11-27,ATR_DC,Long,HBLPOWER.NS,616.45,514.05,9.77,9.77,,,,,KRBPT,616.45,2024-11-27,
2024-11-27,ATRBB_DC,Long,HCC.NS,41.04,34.52,153.37,153.37,,,,,KRBPT,41.04,2024-11-27,
2024-11-27,ATR_UC,Long,HCG.NS,497.55,404.8,10.78,10.78,,,,,KRBPT,497.55,2024-11-27,
2024-11-27,LR_W,Long,HFCL.NS,133.48,120.02,74.29,74.29,,,,,KRBPT,133.48,2024-11-27,
2024-11-27,EW_DC,Short,HGS.NS,703.0,592.95,9.09,9.09,786.24,Target Hit,,,KRBPT,702.95,2024-11-27,786.24
2024-11-27,LR_DC,Long,HINDCOMPOS.NS,471.1,427.0,22.68,22.68,,,,,KRBPT,471.1,2024-11-27,
2024-11-27,BB_W,Long,HINDHARD.BO,1046.7,887.0,6.26,6.26,,,,,KRBPT,1046.7,2024-11-27,
2024-11-27,BB_W,Long,HINDTIN.BO,189.0,157.6,31.85,31.85,,,,,KRBPT,189.0,2024-11-27,
2024-11-27,BB_W,Long,HIRECT.NS,1208.0,1070.0,7.25,7.25,,,,,KRBPT,1208.0,2024-11-27,
2024-11-27,BB_DC,Long,HOVS.NS,69.5,62.08,134.77,134.77,,,,,KRBPT,69.5,2024-11-27,
2024-11-27,BB_DC,Long,HRYNSHP.BO,136.2,113.0,43.1,43.1,,,,,KRBPT,136.2,2024-11-27,
2024-11-27,ATR_DC,Short,HSCL.NS,532.0,472.0,16.67,16.67,590.8,Target Hit,,,KRBPT,532.0,2024-11-27,590.8
2024-11-27,EW_BW,Short,IDM.BO,23.0,21.51,671.14,671.14,35.92,Target Hit,,,KRBPT,22.59,2024-11-27,35.92
2024-11-27,EW_UC,Short,IFINSEC.BO,155.0,144.6,96.15,96.15,159.9,Target Hit,,,KRBPT,155.0,2024-11-27,159.9
2024-11-27,BB_DC,Long,IL&FSTRANS.NS,5.63,4.95,1470.59,1470.59,,,,,KRBPT,5.63,2024-11-27,
