Ticker,Date/Time,Close,myBuy ,myShort
360ONE.NS,11/19/2024,1133,1,
^CNXAUTO,11/25/2024,23525,1,
^CNXIT,11/22/2024,44028,1,
^NSEBANK,11/25/2024,52299,1,
ABFRL.NS,11/26/2024,309,1,
ACKNIT.BO,11/27/2024,299,1,
ADINATH.BO,11/19/2024,29,1,
AEL.BO,11/21/2024,213,,1
AGRITECH.NS,11/27/2024,197,1,
AJANTPHARM.NS,11/25/2024,3032,1,
ALFAICA.BO,11/19/2024,90,,1
ALLSEC.NS,11/26/2024,1000,1,
ALPA.NS,11/25/2024,110,1,
AMRAPLIN.BO,11/18/2024,17,,1
ARROWGREEN.NS,11/21/2024,853,,1
ARTEMISMED.NS,11/19/2024,323,1,
ARVINDFASN.NS,11/25/2024,573,1,
ARYAMAN.BO,11/21/2024,415,,1
ASALCBR.NS,11/25/2024,953,1,
ASHAI.BO,11/19/2024,13,,1
ASHIS.BO,11/26/2024,49,1,
ASIANHOTNR.NS,11/21/2024,193,1,
ATISHAY.BO,11/25/2024,209,,1
ATVPR.BO,11/19/2024,37,1,
BALPHARMA.NS,11/19/2024,129,1,
BAMBINO.BO,11/26/2024,365,1,
BANKBEES.BO,11/25/2024,536,1,
BAROEXT.BO,11/25/2024,11,1,
BCLIND.NS,11/27/2024,56,1,
BEMHY.BO,11/22/2024,1320,1,
BHARATRAS.NS,11/22/2024,12010,1,
BHARTIARTL.NS,11/25/2024,1578,1,
BIOCON.NS,11/26/2024,358,1,
BLISSGVS.NS,11/21/2024,143,1,
BLUECHIP.NS,11/19/2024,8,,1
BLUESTARCO.NS,11/25/2024,1851,1,
BRIGADE.NS,11/21/2024,1218,1,
BROOKS.NS,11/22/2024,144,1,
CAMS.BO,11/26/2024,4846,1,
CALSOFT.NS,11/27/2024,18,1,
CANTABIL.NS,11/21/2024,229,1,
CANFINHOME.NS,11/26/2024,826,,1
CARNATIN.BO,11/25/2024,79,,1
CATVISION.BO,11/21/2024,26,1,
CCCL.BO,11/26/2024,19,1,
CEATLTD.NS,11/25/2024,2979,1,
CGPOWER.NS,11/25/2024,762,1,
CHEMBOND.NS,11/21/2024,575,,1
CHEMBOND.NS,11/25/2024,575,1,
CHOKSILA.BO,11/21/2024,64,1,
CITYONLINE.BO,11/26/2024,7,,1
CORALAB.BO,11/18/2024,774,,1
COROENGG.BO,11/25/2024,62,,1
CRAFTSMAN.NS,11/22/2024,4997,1,
CROMPTON.NS,11/25/2024,410,1,
DALBHARAT.NS,11/25/2024,1835,1,
CYIENT.NS,11/26/2024,1892,1,
DCM.NS,11/26/2024,94,,1
DHINDIA.BO,11/27/2024,143,1,
DONEAR.NS,11/27/2024,115,1,
EIMCOELECO.NS,11/25/2024,2458,1,
ELECON.NS,11/25/2024,583,1,
ELNET.BO,11/21/2024,405,,1
ELPROINTL.BO,11/26/2024,115,1,
EMAMILTD.NS,11/25/2024,663,1,
ENDURANCE.NS,11/26/2024,2396,,1
EPL.NS,11/26/2024,264,1,
EVEREADY.NS,11/27/2024,392,1,
FELDVR.BO,11/26/2024,5,1,
FELDVR.BO,11/27/2024,5,,1
FERVENTSYN.BO,11/26/2024,17,1,
FRONTSP.BO,11/19/2024,2581,1,
FUTURSEC.BO,11/26/2024,31,,1
GICRE.NS,11/25/2024,396,1,
GHCL.NS,11/27/2024,606,1,
GIPCL.NS,11/27/2024,209,1,
GLOBOFFS.BO,11/18/2024,130,,1
GNA.NS,11/27/2024,403,1,
GODREJPROP.NS,11/22/2024,2837,1,
GOLDCOINHF.BO,11/19/2024,11,,1
GPTINFRA.NS,11/25/2024,137,1,
GRANULES.NS,11/26/2024,583,1,
GRAVITY.BO,11/21/2024,7,,1
GREAVESCOT.NS,11/27/2024,185,1,
GRSE.NS,11/27/2024,1656,1,
GSBFIN.BO,11/18/2024,24,,1
GTL.NS,11/26/2024,13,1,
GUJHOTE.BO,11/21/2024,211,1,
GUJRAFFIA.NS,11/25/2024,45,1,
HATSUN.NS,11/27/2024,1092,1,
HAVELLS.NS,11/25/2024,1729,1,
HBLPOWER.NS,11/26/2024,616,1,
HEMORGANIC.BO,11/22/2024,11,1,
HFCL.NS,11/27/2024,133,1,
HINDCOMPOS.NS,11/27/2024,471,1,
HINDPETRO.NS,11/26/2024,380,1,
HPL.NS,11/26/2024,554,1,
HUIL.BO,11/18/2024,2600,1,
IDFSENSEXE.BO,11/25/2024,860,1,
IISL.BO,11/26/2024,10,,1
INDAG.BO,11/19/2024,200,1,
INDIGO.NS,11/25/2024,4269,1,
INDOCO.NS,11/22/2024,306,1,
INDOTHAI.NS,11/19/2024,1128,,1
INDRAMEDCO.NS,11/27/2024,436,1,
INDUSTOWER.NS,11/26/2024,350,1,
ISEC.NS,11/25/2024,878,1,
ISGEC.BO,11/27/2024,1400,1,
JAICORPLTD.NS,11/25/2024,368,1,
JUBLINGREA.NS,11/25/2024,750,1,
JUBLINDS.NS,10/21/2024,1634,1,
JUBLINDS.NS,10/25/2024,1634,,1
KAPILRAJ.BO,11/26/2024,45,1,
KEMISTAR.BO,11/18/2024,88,1,
KEMISTAR.BO,11/22/2024,88,,1
KJMCFIN.BO,11/19/2024,129,,1
KOTAKBANK.NS,11/25/2024,1783,1,
KOTHARIPRO.NS,11/19/2024,155,1,
KREBSBIO.NS,11/18/2024,123,,1
LAL.BO,11/18/2024,24,1,
LALPATHLAB.NS,11/26/2024,3032,1,
LLFICL.BO,11/18/2024,10,,1
LOTUSCHO.BO,11/27/2024,1405,1,
LOTUSEYE.NS,11/26/2024,71,1,
LWSKNIT.BO,11/21/2024,57,,1
LWSKNIT.BO,11/25/2024,57,1,
LUMAXTECH.NS,11/27/2024,520,1,
MADHAV.NS,11/25/2024,54,1,
MAGADSUGAR.NS,11/27/2024,721,1,
MAFATIND.BO,11/27/2024,163,1,
M&M.NS,11/19/2024,3005,1,
MANGCHEFER.NS,11/21/2024,153,,1
MARBU.BO,11/27/2024,96,,1
MARIS.BO,11/22/2024,39,1,
MARICO.NS,11/26/2024,651,1,
MAZDOCK.NS,11/21/2024,4487,,1
MAZDOCK.NS,11/25/2024,4487,1,
MCCHRLS-B.BO,11/25/2024,580,1,
MEERA.BO,11/25/2024,84,1,
MINDTECK.NS,11/26/2024,322,1,
MPHASIS.NS,11/25/2024,3015,1,
NARBADA.BO,11/27/2024,66,1,
NAHARINDUS.NS,11/27/2024,139,1,
NAZARA.NS,11/25/2024,992,1,
NAUKRI.NS,11/22/2024,8345,1,
NAVA.NS,11/25/2024,1029,1,
NBIFIN.NS,11/18/2024,2983,1,
NDRAUTO.NS,11/27/2024,735,1,
NGIND.BO,11/18/2024,173,,1
NIRAJ.NS,11/21/2024,61,1,
NITINCAST.BO,11/22/2024,720,,1
NLCINDIA.NS,11/22/2024,260,1,
NURECA.NS,11/27/2024,281,1,
OIL.NS,11/25/2024,506,1,
OMNITEX.BO,11/26/2024,250,1,
OPTIEMUS.NS,11/27/2024,674,1,
ORIENTELEC.NS,11/26/2024,234,1,
ORIENTTR.BO,11/22/2024,17,,1
PAGEIND.NS,11/27/2024,44927,,1
PARAGONF.BO,11/22/2024,70,1,
PARMAX.BO,11/22/2024,48,,1
