Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
1STCUS.BO,2024-11-11,119,89.35,,128.93,132.0,Short,Close
20MICRONS.NS,2024-11-22,225,242.7,223.18,,321.0,Long,Open
21STCENMGM.NS,2024-11-07,96,42.7,,121.33,121.44,Short,Close
360ONE.NS,2024-11-18,1133,940.0,1038.63,,1099.8,Long,Open
3IINFOLTD.NS,2024-08-28,27,31.5,,37.42,38.17,Short,Close
3MINDIA.NS,2024-11-01,31732,36915.95,,36257.04,36317.6,Short,Close
3PLAND.NS,2024-11-27,60,34.05,,68.75,71.66,Short,Close
4THGEN.BO,2024-09-16,7,4.53,5.67,,5.67,Long,Open
5PAISA.NS,2024-11-01,492,458.0,,522.09,525.0,Short,Close
63MOONS.NS,2024-11-18,602,351.0,567.74,,617.6,Long,Open
7NR.BO,2024-11-19,6,,5.15,,5.85,Long,Open
7TEC.BO,2024-11-19,56,50.26,54.99,,61.85,Long,Open
A2ZINFRA.NS,2024-11-19,17,15.75,,18.19,20.5,Short,Close
AAATECH.NS,2024-11-19,114,110.0,107.83,,129.4,Long,Open
AAIL.BO,2024-11-12,108,87.8,,113.79,117.0,Short,Close
AAKASH.NS,2024-11-22,11,10.47,10.45,,11.0,Long,Open
AANCHALISP.BO,2024-11-21,6,5.07,,5.92,6.05,Short,Close
AARON.NS,2024-11-25,322,251.05,,343.36,350.0,Short,Close
AARTECH.BO,2024-11-18,76,63.0,62.01,,64.94,Long,Open
AARTIDRUGS.NS,2024-08-26,456,530.0,,613.4,632.5,Short,Close
AARTIIND.NS,2024-11-25,452,426.2,436.44,,529.5,Long,Open
AARTISURF.NS,2024-11-07,648,605.0,,742.5,768.8,Short,Close
AARVEEDEN.NS,2024-10-29,74,21.65,43.03,,50.0,Long,Open
AARVI.NS,2024-11-06,135,127.72,,152.57,154.5,Short,Close
AAVAS.NS,2024-09-23,1672,1416.3,,1907.79,1919.95,Short,Close
AAYUSH.BO,2024-10-04,145,29.8,73.11,,73.12,Long,Open
ABAN.NS,2024-11-14,63,68.1,61.01,,68.8,Long,Open
ABANSENT.BO,2024-11-19,39,28.85,33.39,,40.5,Long,Open
ABB.NS,2024-11-22,7499,6935.0,6805.58,,6939.0,Long,Open
ABBOTINDIA.BO,2024-11-04,27450,26500.05,,29497.5,29615.0,Short,Close
ABCAPITAL.NS,2024-11-25,193,186.72,190.49,,193.16,Long,Open
ABCINDQ.BO,2024-11-22,118,111.6,,126.07,130.0,Short,Close
