Date/Time,Ticker,Alert,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Buy_ZZ,Close,DnBars,Downtrend Length,FromHigh,FromLow,LR_LC,LR_MC,LR_UC,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,S1,SCTR,SL,UpBars,Uptrend Length,hh,ll,myShort,Buy
2022-12-27,SRTRANSFIN.NS,0.0,,,,EW,,,1234,,,,,,,,,3563.0,,68.47,1124.0,1.85,10.41,1290.6,,,,,,EW
2022-12-29,SRTRANSFIN.NS,0.0,,,,EW,,,1234,,,,,,,,,3563.0,,56.6,1547.0,-4.56,5.6,1251.35,,,,,,EW
2022-12-30,SRTRANSFIN.NS,0.0,,,,EW,,,1234,,,,,,,,1369.89,3563.0,,63.64,1296.0,3.42,9.02,1251.35,,,,,,EW
2023-01-13,JSLHISAR.BO,,,,,EW,,,561,,,,,,,,,,,,,,,425.0,,,,,,EW
2023-01-30,JSLHISAR.BO,,,,,EW,,,561,,,,,,,,,,,,,,,418.0,,,,,,EW
2023-01-31,SRTRANSFIN.NS,1.0,,,,EW,,,1234,,,,,,,,,3563.0,,44.97,1961.0,4.81,-0.73,1227.4,,,,,,EW
2023-05-04,MAXVIL.BO,,,,,EW,,,216,,,,,,,,182.55,,,,,,,177.9,,,,,,EW
2023-05-08,MAXVIL.BO,,,,,EW,,,216,,,,,,,,,,,,,,,173.05,,,,,,EW
2023-05-30,MAXVIL.BO,,,,,EW,,,216,,,,,,,,,,,,,,,185.75,,,,,,EW
2023-06-05,JSWISPL.BO,,,,,EW,,,39,,,,,,,,,,,,,,,30.61,,,,,,EW
2023-06-05,PVR.NS,0.0,,,,EW,,,1421,,,,,,,,,3563.0,,26.56,2617.0,1.56,-8.77,1336.4,,,,,,EW
2023-06-08,MAXVIL.BO,,,,,EW,,,216,,,,,,,,,,,,,,,193.65,,,,,,EW
2023-06-20,HDFC.NS,0.0,,,,EW,,,2732,,,,,,,,,3563.0,,47.92,1856.0,0.23,2.46,2618.0,,,,,,EW
2023-06-28,MAXVIL.BO,0.0,,,,EW,,,216,,,,,,,,,3563.0,,81.61,656.0,-1.24,20.06,193.4,,,,,,EW
2023-07-07,PVR.NS,1.0,,,,EW,,,1421,,,3.0,7.0,,,,,3563.0,_W,32.0,2423.0,4.99,-4.14,1360.5,,,1516.8,1360.5,,EW_W
2023-07-28,MAXVIL.BO,1.0,,,,EW,,,216,,,,,,,,,3563.0,,82.4,628.0,6.84,21.98,189.9,,,,,,EW
