Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
RAJPALAYAM.BO,2024-08-28,963,801.2,,1083.57,1107.9,Short,Close
RAJRATAN.NS,2024-08-26,560,578.5,,619.64,622.85,Short,Close
RAJSPTR.BO,2024-09-23,4,3.13,3.59,,3.59,Long,Open
RAJSREESUG.NS,2024-09-23,77,69.0,73.9,,76.58,Long,Open
RAJTUBE.BO,2024-09-30,40,26.0,37.11,,43.0,Long,Open
RAJTV.NS,2024-09-16,49,78.05,,51.51,52.0,Short,Close
RALEGRA.BO,2024-09-30,43,34.31,,45.89,47.0,Short,Close
RALLIS.NS,2024-08-29,328,236.5,,354.39,359.0,Short,Close
RAMANEWS.NS,2024-09-03,21,14.4,,22.61,22.81,Short,Close
RAMAPETRO.BO,2024-08-12,9,6.95,9.03,,9.03,Long,Open
RAMAPHO.BO,2024-09-12,206,147.45,194.51,,221.6,Long,Open
RAMAPPR-B.BO,2024-09-20,17,13.87,15.75,,16.99,Long,Open
RAMASIGNS.BO,2024-09-25,3,1.9,2.37,,2.65,Long,Open
RAMASTEEL.NS,2024-09-26,15,9.99,14.33,,17.55,Long,Open
RAMAVISION.BO,2024-09-23,117,80.51,103.31,,125.0,Long,Open
RAMCOCEM.NS,2024-08-16,878,848.0,788.13,,806.5,Long,Open
RAMCOIND.NS,2024-09-12,246,207.0,237.91,,263.0,Long,Open
RAMCOSYS.NS,2024-09-04,392,262.5,,442.38,452.0,Short,Close
RAMGOPOLY.BO,2024-09-26,6,4.51,5.77,,6.18,Long,Open
RAMINFO.BO,2024-09-26,117,113.0,116.75,,128.0,Long,Open
RAMKY.NS,2024-08-23,676,426.75,,728.0,732.3,Short,Close
RAMRAT.BO,2024-09-10,649,317.3,614.36,,669.95,Long,Open
RANASUG.NS,2024-09-16,23,19.3,22.3,,22.89,Long,Open
RANEENGINE.NS,2024-09-10,505,338.55,,570.31,575.0,Short,Close
RANEHOLDIN.NS,2024-09-10,2020,1070.0,,2427.0,2458.7,Short,Close
RAP.BO,2024-09-24,42,16.91,37.97,,50.84,Long,Open
RAPICUT.BO,2024-09-09,146,97.2,,163.29,166.95,Short,Close
RASANDIK.BO,2024-08-05,122,62.1,,163.5,172.0,Short,Close
RASIELEC.BO,2024-09-27,39,22.3,,41.55,42.5,Short,Close
RASRESOR.BO,2024-09-04,55,36.39,45.65,,47.0,Long,Open
