Ticker,Date/Time,Close,Mega Sellby Larger Wave,SL
AARVEEDEN.NS,8/1/2024,50,39.70,29.25
AARVEEDEN.NS,8/28/2024,50,47.80,35.36
AARVEEDEN.NS,9/16/2024,50,56.04,43.12
AARTIDRUGS.NS,8/26/2024,511,613.40,492.05
AAVAS.NS,8/14/2024,1723,1709.96,1603.30
AAVAS.NS,8/19/2024,1723,1689.40,1651.75
AAVAS.NS,9/9/2024,1723,1900.75,1651.75
AAVAS.NS,9/23/2024,1723,1907.79,1651.75
ABAN.NS,8/20/2024,71,87.72,64.01
ABAN.NS,9/4/2024,71,83.33,75.14
ABAN.NS,9/24/2024,71,79.94,70.06
ABANSENT.BO,7/24/2024,193,133.25,126.00
ABANSENT.BO,7/31/2024,193,134.22,126.00
ABANSENT.BO,8/20/2024,193,148.21,124.10
ABANSENT.BO,10/4/2024,193,190.71,137.00
ABB.NS,8/9/2024,8458,8178.06,7236.80
ABB.NS,8/28/2024,8458,7928.22,7700.00
ABB.NS,10/1/2024,8458,8248.70,7350.05
ABBOTINDIA.BO,8/30/2024,28589,30368.67,26783.65
ABBOTINDIA.BO,10/3/2024,28589,28852.48,28223.00
ABBOTINDIA.NS,7/18/2024,29559,28843.00,27342.50
ABCAPITAL.NS,7/31/2024,226,226.38,205.53
ABCAPITAL.NS,8/19/2024,226,216.38,201.60
ABCAPITAL.NS,9/2/2024,226,225.33,218.09
ABCAPITAL.NS,10/1/2024,226,241.80,212.80
AAATECH.NS,7/31/2024,131,115.81,103.22
AAATECH.NS,8/9/2024,131,124.21,106.00
AAATECH.NS,8/23/2024,131,125.56,113.10
AAATECH.NS,9/6/2024,131,137.80,113.61
AAATECH.NS,9/18/2024,131,143.00,126.20
ABFRL.NS,7/31/2024,341,346.58,295.30
ABFRL.NS,10/1/2024,341,352.32,324.25
AANANDALAK.BO,4/5/2021,19,5.20,1.91
ABHIINFRA.BO,7/23/2024,9,7.81,6.51
ABHIINFRA.BO,8/9/2024,9,7.66,6.41
ABHIINFRA.BO,8/27/2024,9,7.32,5.92
ABHIINFRA.BO,8/29/2024,9,7.38,5.92
ABHIINFRA.BO,8/30/2024,9,7.70,5.92
ABHIINFRA.BO,9/2/2024,9,7.50,5.92
ABHIINFRA.BO,9/16/2024,9,10.82,6.20
ABIRAFN.BO,8/5/2024,54,58.64,55.71
ABIRAFN.BO,8/14/2024,54,62.89,58.10
ABIRAFN.BO,8/21/2024,54,63.51,55.60
ABIRAFN.BO,9/6/2024,54,59.49,55.00
ABIRAFN.BO,9/24/2024,54,59.41,52.25
ABIRAFN.BO,10/4/2024,54,58.05,52.50
ABMKNO.BO,7/29/2024,136,165.63,139.95
ABMKNO.BO,8/28/2024,136,165.36,140.00
