Ticker,Date/Time,Buy
IBRIGST.BO,11/19/2024,1
IDBI.NS,12/4/2024,1
IGARASHI.NS,12/2/2024,1
IGPL.NS,11/29/2024,1
IISL.BO,12/2/2024,1
IMFA.NS,12/5/2024,1
INCON.BO,12/5/2024,1
INCREDIBLE.BO,12/3/2024,1
INDBANK.NS,12/3/2024,1
INDIAGLYCO.NS,12/2/2024,1
INDIANCARD.NS,12/4/2024,1
INDIANHUME.NS,12/2/2024,1
INDOAMIN.BO,12/4/2024,1
INDOSTAR.NS,12/3/2024,1
INFOMEDIA.NS,12/3/2024,1
INOXWIND.NS,12/2/2024,1
IOB.NS,12/4/2024,1
IONEXCHANG.BO,12/2/2024,1
IONEXCHANG.BO,12/5/2024,1
ISTRNETWK.BO,11/29/2024,1
ITHL.BO,12/2/2024,1
IWEL.BO,12/2/2024,1
IWP.BO,12/2/2024,1
IWP.BO,12/4/2024,1
JAGANLAM.BO,12/5/2024,1
JAGSNPHARM.NS,11/29/2024,1
JETFREIGHT.NS,12/2/2024,1
JINDALPOLY.NS,12/2/2024,1
JINDHOT.BO,12/2/2024,1
JINDRILL.NS,11/29/2024,1
JINDWORLD.NS,12/3/2024,1
JJFINCOR.BO,12/4/2024,1
JKCEMENT.NS,12/2/2024,1
JKCEMENT.NS,12/3/2024,1
JKPAPER.NS,12/2/2024,1
JKLAKSHMI.NS,12/2/2024,1
JOINDRE.BO,12/5/2024,1
JUBLINGREA.NS,11/29/2024,1
KANDAGIRI.BO,12/3/2024,1
KANPRPLA.NS,12/3/2024,1
KAPSTON.NS,12/2/2024,1
KBSINDIA.BO,12/3/2024,1
KEC.NS,12/4/2024,1
KEMISTAR.BO,12/5/2024,1
KESORAMIND.NS,12/2/2024,1
KGPETRO.BO,12/4/2024,1
KINETICENG.BO,12/3/2024,1
KINGFA.NS,11/29/2024,1
KINGFA.NS,12/3/2024,1
KIRIINDUS.NS,12/3/2024,1
KPIL.NS,12/5/2024,1
KRIDHANINF.NS,12/4/2024,1
KRIDHANINF.NS,12/5/2024,1
KSL.NS,11/29/2024,1
L&TFH.NS,6/20/2024,1
LAGNAM.NS,12/3/2024,1
LAKPRE.NS,12/5/2024,1
LAMBODHARA.NS,12/5/2024,1
LAURUSLABS.NS,11/29/2024,1
LAXMIMACH.NS,12/3/2024,1
LIBERTSHOE.NS,12/2/2024,1
LIBORDFIN.BO,11/29/2024,1
LIKHITHA.NS,12/5/2024,1
LINCOLN.NS,12/3/2024,1
LINCOLN.NS,12/4/2024,1
LLFICL.BO,12/2/2024,1
LLOYDSME.NS,11/29/2024,1
LODHA.BO,12/4/2024,1
LORDSCHLO.BO,12/3/2024,1
LORDSHOTL.BO,12/3/2024,1
LOVABLE.NS,12/4/2024,1
LPDC.NS,12/5/2024,1
LT.NS,11/29/2024,1
LUXIND.NS,12/4/2024,1
MAHSEAMLES.NS,12/5/2024,1
MAITHANALL.NS,12/3/2024,1
MALUPAPER.NS,12/2/2024,1
MANAKSTEEL.NS,12/4/2024,1
MANGALAM.NS,11/29/2024,1
MANGCHEFER.NS,11/29/2024,1
MANGLMCEM.NS,12/2/2024,1
MANINDS.NS,12/5/2024,1
MANINFRA.NS,11/29/2024,1
MAXIND.NS,12/2/2024,1
MCL.NS,11/29/2024,1
MCL.NS,12/3/2024,1
MCL.NS,12/5/2024,1
MCDOWELL-N.NS,7/25/2024,1
MCLEODRUSS.NS,12/4/2024,1
MEDICAMEQ.BO,12/4/2024,1
MEDICAMEQ.BO,12/5/2024,1
MEERA.BO,12/5/2024,1
MEGRISOFT.BO,12/4/2024,1
MINID.BO,11/29/2024,1
MINID.BO,12/4/2024,1
MITCON.NS,12/4/2024,1
MODINATUR.BO,12/2/2024,1
MONTECARLO.NS,12/3/2024,1
MORARKFI.BO,12/3/2024,1
MOREPENLAB.NS,12/2/2024,1
MRF.NS,12/5/2024,1
MURUDCERA.NS,12/3/2024,1
NAM-INDIA.NS,12/4/2024,1
NATHUEC.BO,12/4/2024,1
NELCO.NS,12/2/2024,1
NELCO.NS,12/4/2024,1
NEOINFRA.BO,12/2/2024,1
NEWGEN.NS,12/4/2024,1
NH.NS,12/4/2024,1
NILASPACES.NS,12/2/2024,1
NOCIL.NS,12/4/2024,1
NRBBEARING.NS,12/2/2024,1
NTCIND.BO,12/2/2024,1
NTCIND.BO,12/3/2024,1
NTCIND.BO,12/5/2024,1
OBCL.BO,12/5/2024,1
ODYCORP.BO,12/3/2024,1
OMINFRAL.NS,12/2/2024,1
ORICONENT.NS,12/4/2024,1
ORIENTHOT.NS,12/4/2024,1
ORIENTLTD.NS,12/3/2024,1
ORTEL.NS,12/2/2024,1
PANAMAPET.NS,12/4/2024,1
PAR.NS,12/2/2024,1
PCBL.NS,12/5/2024,1
PDMJEPAPER.NS,11/29/2024,1
PDMJEPAPER.NS,12/2/2024,1
PDSL.NS,12/3/2024,1
PECOS.BO,12/4/2024,1
PGHL.NS,12/5/2024,1
PIONEEREMB.NS,11/29/2024,1
