Ticker,Date/Time,Close,Mega Sellby Larger Wave,SL
ABHICAP.BO,11/25/2024,152,158.51,131.55
ABHICAP.BO,11/26/2024,152,157.05,131.55
ABHICAP.BO,11/27/2024,152,151.17,131.55
ABAN.NS,9/24/2024,65,79.94,70.06
ABAN.NS,11/8/2024,65,66.47,63.13
ABVL.BO,11/25/2024,134,124.11,118.00
ABIRAFN.BO,9/24/2024,59,59.41,52.25
ABIRAFN.BO,10/4/2024,59,58.05,52.50
ABIRAFN.BO,10/17/2024,59,50.97,49.00
ABIRAFN.BO,10/18/2024,59,49.75,47.50
ABIRAFN.BO,10/21/2024,59,49.88,47.50
ABIRAFN.BO,10/22/2024,59,50.45,47.50
ABIRAFN.BO,10/23/2024,59,49.66,47.50
ABIRAFN.BO,10/24/2024,59,48.85,45.40
ABIRAFN.BO,11/6/2024,59,63.31,45.40
ABIRAFN.BO,11/13/2024,59,62.23,55.80
ABIRAFN.BO,12/3/2024,59,59.37,52.00
ABMKNO.BO,11/8/2024,133,142.36,115.05
ACCURACY.NS,9/30/2024,11,10.92,9.37
ACCURACY.NS,10/16/2024,11,10.91,9.45
ACCURACY.NS,11/1/2024,11,10.30,9.35
ACCEL.BO,9/19/2024,24,26.52,24.50
ACCEL.BO,9/20/2024,24,25.66,24.50
ACCEL.BO,9/23/2024,24,26.06,24.50
ACCEL.BO,9/24/2024,24,26.02,24.50
ACCEL.BO,9/25/2024,24,25.61,24.50
ACCEL.BO,9/26/2024,24,25.85,24.67
ACCEL.BO,9/27/2024,24,26.36,24.67
ACCEL.BO,9/30/2024,24,25.38,24.16
ACCEL.BO,10/1/2024,24,24.98,24.16
ACCEL.BO,10/3/2024,24,24.47,23.56
ACCEL.BO,10/4/2024,24,24.67,23.56
ACCEL.BO,10/7/2024,24,24.89,23.22
ACCEL.BO,10/8/2024,24,23.48,22.25
ACCEL.BO,10/9/2024,24,23.99,22.25
ACCEL.BO,10/10/2024,24,23.55,22.25
ACCEL.BO,10/15/2024,24,25.13,22.25
ACCEL.BO,11/7/2024,24,24.69,21.52
ACCEL.BO,11/26/2024,24,22.73,21.61
ABB.NS,10/1/2024,7488,8248.70,7350.05
ABB.NS,10/18/2024,7488,8777.51,8420.05
ACEINTEG.NS,9/18/2024,33,39.36,33.20
ACEINTEG.NS,9/25/2024,33,35.78,32.70
ACEINTEG.NS,9/26/2024,33,35.44,32.70
ACEINTEG.NS,9/27/2024,33,34.81,32.70
ACEINTEG.NS,10/1/2024,33,37.75,32.70
ACEINTEG.NS,10/3/2024,33,35.47,32.70
ACEINTEG.NS,10/4/2024,33,35.55,32.70
ACEINTEG.NS,10/7/2024,33,35.42,33.81
ACEINTEG.NS,10/8/2024,33,33.97,32.64
ACEINTEG.NS,10/9/2024,33,34.27,32.64
ACEINTEG.NS,10/10/2024,33,34.57,32.64
ACEINTEG.NS,10/11/2024,33,34.50,32.64
ACEINTEG.NS,10/14/2024,33,34.57,32.64
ACEINTEG.NS,10/15/2024,33,34.29,33.15
ACEINTEG.NS,10/16/2024,33,34.02,33.15
ACEINTEG.NS,10/17/2024,33,33.76,32.62
ACEINTEG.NS,10/18/2024,33,33.82,32.62
