Ticker,Date/Time,BullBreak,BearBreak,Pattern,Close
21STCENMGM.NS,11/29/2024,,,Down Channel,95.50
21STCENMGM.NS,12/2/2024,,,Down Channel,93.59
21STCENMGM.NS,12/3/2024,,,Down Channel,95.46
21STCENMGM.NS,12/4/2024,,,Down Channel,97.36
21STCENMGM.NS,12/5/2024,,,Down Channel,99.30
1STCUS.BO,11/29/2024,,,Down Channel,119.00
1STCUS.BO,12/2/2024,,,Down Channel,119.00
1STCUS.BO,12/3/2024,,,Down Channel,116.65
1STCUS.BO,12/4/2024,,,Down Channel,116.70
1STCUS.BO,12/5/2024,,,Down Channel,116.70
360ONE.NS,11/29/2024,,,Up Channel,1115.05
360ONE.NS,12/2/2024,,,Up Channel,1144.60
360ONE.NS,12/3/2024,,,Up Channel,1156.70
360ONE.NS,12/4/2024,,,Up Channel,1128.40
360ONE.NS,12/5/2024,,,Up Channel,1119.35
7NR.BO,11/29/2024,,,Up Channel,6.54
7NR.BO,12/2/2024,,,Up Channel,6.23
7NR.BO,12/3/2024,,,Up Channel,5.92
7NR.BO,12/4/2024,,,Up Channel,5.72
7NR.BO,12/5/2024,,,Up Channel,5.62
20MICRONS.NS,11/29/2024,,,Wedge,233.55
20MICRONS.NS,12/2/2024,,,Wedge,245.22
20MICRONS.NS,12/3/2024,,,Wedge,257.48
20MICRONS.NS,12/4/2024,,,Wedge,270.35
20MICRONS.NS,12/5/2024,,,Wedge,257.16
5PAISA.NS,11/29/2024,,,Down Channel,491.65
5PAISA.NS,12/2/2024,,,Down Channel,490.00
5PAISA.NS,12/3/2024,,,Down Channel,498.40
5PAISA.NS,12/4/2024,,,Down Channel,496.15
5PAISA.NS,12/5/2024,,,Down Channel,506.00
4THGEN.BO,11/28/2024,,,Up Channel,6.55
4THGEN.BO,11/29/2024,,,Up Channel,6.55
4THGEN.BO,12/2/2024,,,Up Channel,6.55
4THGEN.BO,12/3/2024,,,Up Channel,6.55
4THGEN.BO,12/4/2024,,,Up Channel,6.55
3PLAND.NS,11/29/2024,,,Wedge,61.81
3PLAND.NS,12/2/2024,,,Wedge,64.37
3PLAND.NS,12/3/2024,,,Wedge,64.90
3PLAND.NS,12/4/2024,,,Wedge,62.63
3PLAND.NS,12/5/2024,,,Wedge,60.04
3IINFOLTD.NS,11/29/2024,,,Wedge,28.67
3IINFOLTD.NS,12/2/2024,,,Wedge,28.46
3IINFOLTD.NS,12/3/2024,,,Wedge,28.73
3IINFOLTD.NS,12/4/2024,,,Wedge,28.64
3IINFOLTD.NS,12/5/2024,,,Wedge,28.86
3MINDIA.NS,11/29/2024,,,Down Channel,32245.30
3MINDIA.NS,12/2/2024,,,Down Channel,31686.35
3MINDIA.NS,12/3/2024,,,Down Channel,31100.20
3MINDIA.NS,12/4/2024,,,Down Channel,31000.05
3MINDIA.NS,12/5/2024,,,Down Channel,31278.20
63MOONS.NS,11/29/2024,,,Down Channel,663.05
63MOONS.NS,12/2/2024,,,Down Channel,686.25
63MOONS.NS,12/3/2024,,,Down Channel,703.25
63MOONS.NS,12/4/2024,,,Down Channel,730.10
63MOONS.NS,12/5/2024,,,Down Channel,766.60
^CNXAUTO,11/29/2024,,,Broadening Wedge,23368.55
^CNXAUTO,12/2/2024,,,Broadening Wedge,23599.60
^CNXAUTO,12/3/2024,,,Broadening Wedge,23752.40
^CNXAUTO,12/4/2024,,,Broadening Wedge,23584.00
^CNXAUTO,12/5/2024,,,Broadening Wedge,23736.25
7TEC.BO,11/29/2024,,,Down Channel,54.80
7TEC.BO,12/2/2024,,,Down Channel,55.38
7TEC.BO,12/3/2024,,,Down Channel,54.98
7TEC.BO,12/4/2024,,,Down Channel,55.45
7TEC.BO,12/5/2024,,,Down Channel,55.25
^CNXENERGY,11/29/2024,,,Broadening Wedge,37481.95
^CNXENERGY,12/2/2024,,,Broadening Wedge,37594.40
^CNXENERGY,12/3/2024,,,Broadening Wedge,38014.05
^CNXENERGY,12/4/2024,,,Broadening Wedge,37736.05
^CNXENERGY,12/5/2024,,,Broadening Wedge,37884.70
^CNXFMCG,11/29/2024,,,Broadening Wedge,57943.70
^CNXFMCG,12/2/2024,,,Broadening Wedge,57917.00
^CNXFMCG,12/3/2024,,,Broadening Wedge,57689.20
^CNXFMCG,12/4/2024,,,Broadening Wedge,57270.35
^CNXFMCG,12/5/2024,,,Broadening Wedge,57605.20
^CNXIT,11/29/2024,,,Up Channel,43146.25
^CNXIT,12/2/2024,,,Up Channel,43547.00
^CNXIT,12/3/2024,,,Up Channel,43754.95
^CNXIT,12/4/2024,,,Up Channel,43949.25
^CNXIT,12/5/2024,,,Up Channel,44806.40
^CNXPSUBANK,11/29/2024,,,Broadening Wedge,6813.85
^CNXPSUBANK,12/2/2024,,,Broadening Wedge,6800.40
^CNXPSUBANK,12/3/2024,,,Broadening Wedge,6977.50
^CNXPSUBANK,12/4/2024,,,Broadening Wedge,7134.35
^CNXPSUBANK,12/5/2024,,,Broadening Wedge,7125.55
^CNXMETAL,11/29/2024,,,Down Channel,9034.00
^CNXMETAL,12/2/2024,,,Down Channel,9133.60
^CNXMETAL,12/3/2024,,,Down Channel,9246.25
^CNXMETAL,12/4/2024,,,Down Channel,9230.10
^CNXMETAL,12/5/2024,,,Down Channel,9282.75
^CNXREALTY,11/29/2024,,,Down Channel,1020.15
^CNXREALTY,12/2/2024,,,Down Channel,1051.20
^CNXREALTY,12/3/2024,,,Down Channel,1054.60
^CNXREALTY,12/4/2024,,,Down Channel,1077.15
^CNXREALTY,12/5/2024,,,Down Channel,1074.45
^NSEBANK,11/29/2024,,,Broadening Wedge,52055.60
^NSEBANK,12/2/2024,,,Broadening Wedge,52109.00
^NSEBANK,12/3/2024,,,Broadening Wedge,52695.75
^NSEBANK,12/4/2024,,,Broadening Wedge,53266.90
^NSEBANK,12/5/2024,,,Broadening Wedge,53603.55
^NSEI,11/29/2024,,,Broadening Wedge,24131.10
^NSEI,12/2/2024,,,Broadening Wedge,24276.05
^NSEI,12/3/2024,,,Broadening Wedge,24457.15
^NSEI,12/4/2024,,,Broadening Wedge,24467.45
^NSEI,12/5/2024,,,Broadening Wedge,24708.40
AAATECH.NS,11/29/2024,,,Down Channel,115.97
AAATECH.NS,12/2/2024,,,Down Channel,113.83
AAATECH.NS,12/3/2024,,,Down Channel,115.46
AAATECH.NS,12/4/2024,,,Down Channel,116.42
AAATECH.NS,12/5/2024,,,Down Channel,114.53
A2ZINFRA.NS,11/29/2024,,,Down Channel,17.07
A2ZINFRA.NS,12/2/2024,,,Down Channel,16.73
A2ZINFRA.NS,12/3/2024,,,Down Channel,16.87
A2ZINFRA.NS,12/4/2024,,,Down Channel,16.75
A2ZINFRA.NS,12/5/2024,,,Down Channel,16.55
AAIL.BO,11/29/2024,,,Down Channel,103.20
AAIL.BO,12/2/2024,,,Down Channel,105.60
AAIL.BO,12/3/2024,,,Down Channel,115.20
AAIL.BO,12/4/2024,,,Down Channel,118.75
AAIL.BO,12/5/2024,,,Down Channel,119.85
AAKASH.NS,11/29/2024,,,Broadening Wedge,10.92
AAKASH.NS,12/2/2024,,,Broadening Wedge,11.21
AAKASH.NS,12/3/2024,,,Broadening Wedge,11.12
AAKASH.NS,12/4/2024,,,Broadening Wedge,10.71
AAKASH.NS,12/5/2024,,,Broadening Wedge,10.75
AANCHALISP.BO,11/29/2024,,,Broadening Wedge,5.41
AANCHALISP.BO,12/2/2024,,,Broadening Wedge,5.56
AANCHALISP.BO,12/3/2024,,,Broadening Wedge,5.46
AANCHALISP.BO,12/4/2024,,,Broadening Wedge,5.39
AANCHALISP.BO,12/5/2024,,,Broadening Wedge,5.46
AARON.NS,11/29/2024,,,Up Channel,325.60
AARON.NS,12/2/2024,,,Up Channel,333.85
AARON.NS,12/3/2024,,,Up Channel,318.85
AARON.NS,12/4/2024,,,Up Channel,322.70
AARON.NS,12/5/2024,,,Up Channel,327.50
AARTECH.BO,11/29/2024,,Bearish Breakout,Up Channel,81.08
AARTECH.BO,12/2/2024,,Bearish Breakout,Up Channel,83.43
AARTECH.BO,12/3/2024,,Bearish Breakout,Up Channel,83.89
AARTECH.BO,12/4/2024,,Bearish Breakout,Up Channel,82.01
AARTECH.BO,12/5/2024,,Bearish Breakout,Up Channel,79.22
AARTIDRUGS.NS,11/29/2024,,,Down Channel,460.80
AARTIDRUGS.NS,12/2/2024,,,Down Channel,457.30
AARTIDRUGS.NS,12/3/2024,,,Down Channel,462.20
AARTIDRUGS.NS,12/4/2024,,,Down Channel,459.10
AARTIDRUGS.NS,12/5/2024,,,Down Channel,455.15
AARTISURF.NS,11/29/2024,,,Down Channel,638.70
AARTISURF.NS,12/2/2024,,,Down Channel,637.85
AARTISURF.NS,12/3/2024,,,Down Channel,646.95
AARTISURF.NS,12/4/2024,,,Down Channel,649.70
