Ticker,Last Alert Date,Buy Price,Target,Call,Status
1STCUS.BO,2024-11-11,,128.93,Short,Close
20MICRONS.NS,2024-12-04,,264.76,Short,Close
21STCENMGM.NS,2024-12-03,92.65,,Long,Open
360ONE.NS,2024-11-18,1038.63,,Long,Open
3IINFOLTD.NS,2024-11-25,26.72,,Long,Open
3MINDIA.NS,2024-11-26,31514.75,,Long,Open
3PLAND.NS,2024-12-03,,67.28,Short,Close
4THGEN.BO,2024-09-16,5.67,,Long,Open
5PAISA.NS,2024-11-25,478.64,,Long,Open
63MOONS.NS,2024-11-18,567.74,,Long,Open
7NR.BO,2024-11-29,,6.46,Short,Close
7TEC.BO,2024-11-19,54.99,,Long,Open
A2ZINFRA.NS,2024-11-19,,18.19,Short,Close
AAATECH.NS,2024-11-19,107.83,,Long,Open
AAIL.BO,2024-11-19,102.75,,Long,Open
AAKASH.NS,2024-11-22,10.45,,Long,Open
AANCHALISP.BO,2024-11-21,,5.92,Short,Close
AARON.NS,2024-11-28,317.15,,Long,Open
AARTECH.BO,2024-12-03,,85.44,Short,Close
AARTIDRUGS.NS,2024-08-26,,613.4,Short,Close
AARTIIND.NS,2024-11-25,436.44,,Long,Open
AARTISURF.NS,2024-11-07,,742.5,Short,Close
AARVEEDEN.NS,2024-10-29,43.03,,Long,Open
AARVI.NS,2024-11-22,132.63,,Long,Open
AAVAS.NS,2024-09-23,,1907.79,Short,Close
AAYUSH.BO,2024-10-04,73.11,,Long,Open
ABAN.NS,2024-11-14,61.01,,Long,Open
ABANSENT.BO,2024-11-19,33.39,,Long,Open
ABB.NS,2024-11-22,6805.58,,Long,Open
ABBOTINDIA.BO,2024-11-22,27279.2,,Long,Open
ABCAPITAL.NS,2024-11-25,190.49,,Long,Open
ABCINDQ.BO,2024-11-22,,126.07,Short,Close
ABFRL.NS,2024-11-25,295.86,,Long,Open
ABHICAP.BO,2024-12-02,148.21,,Long,Open
ABHIINFRA.BO,2024-09-16,,10.82,Short,Close
ABIRAFN.BO,2024-12-03,,59.37,Short,Close
ABMKNO.BO,2024-11-14,124.1,,Long,Open
ABVL.BO,2024-11-28,129.29,,Long,Open
ACC.NS,2024-11-25,2121.88,,Long,Open
ACCEL.BO,2024-11-27,22.36,,Long,Open
ACCELYA.NS,2024-11-26,1467.68,,Long,Open
ACCURACY.NS,2024-11-22,9.39,,Long,Open
ACE.NS,2024-11-22,1207.43,,Long,Open
ACEINTEG.NS,2024-11-25,31.2,,Long,Open
ACEMEN.BO,2024-11-25,69.8,,Long,Open
ACESOFT.BO,2024-11-05,,508.25,Short,Close
ACGL.BO,2024-11-18,2194.7,,Long,Open
ACIIN.BO,2024-12-04,2.67,,Long,Open
ACKNIT.BO,2024-11-25,293.36,,Long,Open
ACL.NS,2024-11-29,80.61,,Long,Open
ACME.BO,2024-11-28,,80.04,Short,Close
ACML.BO,2024-11-19,64.12,,Long,Open
ACROW.BO,2024-11-11,708.11,,Long,Open
ADANIENT.NS,2024-11-28,2431.57,,Long,Open
ADANIGREEN.NS,2024-12-02,,1411.25,Short,Close
ADANIPORTS.NS,2024-12-03,1242.38,,Long,Open
ADANIPOWER.NS,2024-11-27,455.4,,Long,Open
ADARSHPL.BO,2024-11-18,28.04,,Long,Open
ADCINDIA.BO,2024-11-12,1673.4,,Long,Open
ADCON.BO,2024-11-13,1.04,,Long,Open
ADDIND.BO,2024-11-26,39.75,,Long,Open
ADFFOODS.NS,2024-11-14,279.06,,Long,Open
ADIEXRE.BO,2024-11-26,34.88,,Long,Open
ADINATH.BO,2024-11-19,,30.1,Short,Close
ADITYA.BO,2024-12-03,10.42,,Long,Open
ADITYASP.BO,2024-11-21,26.15,,Long,Open
ADL.NS,2024-11-27,93.91,,Long,Open
ADMANUM.BO,2024-11-27,86.82,,Long,Open
ADORFO.BO,2024-09-10,133.05,,Long,Open
ADORMUL.BO,2024-11-01,37.81,,Long,Open
ADORWELD.NS,2024-11-25,1161.44,,Long,Open
ADROITINFO.NS,2024-11-19,,23.73,Short,Close
ADSL.NS,2024-11-14,249.88,,Long,Open
ADVAIT.BO,2024-12-03,1451.0,,Long,Open
ADVANIHOTR.NS,2024-11-22,65.01,,Long,Open
ADVENZYMES.NS,2024-11-26,371.26,,Long,Open
ADVIKCA.BO,2024-11-19,2.18,,Long,Open
ADVPETR-B.BO,2024-11-27,,283.23,Short,Close
AEGISCHEM.NS,2024-07-24,846.25,,Long,Open
AEGISLOG.BO,2024-11-29,,909.0,Short,Close
AEL.BO,2024-11-06,,229.14,Short,Close
AFEL.BO,2024-11-19,,24.56,Short,Close
AFFLE.NS,2024-11-14,1525.79,,Long,Open
AGARIND.NS,2024-11-21,998.75,,Long,Open
AGIIL.BO,2024-10-23,906.58,,Long,Open
AGIOPAPER.BO,2024-09-27,,8.5,Short,Close
AGRITECH.NS,2024-11-27,188.0,,Long,Open
AGROPHOS.NS,2024-11-26,40.58,,Long,Open
AHLADA.NS,2024-10-31,,101.0,Short,Close
AHLEAST.NS,2024-11-21,152.44,,Long,Open
AHLUCONT.NS,2024-11-26,966.31,,Long,Open
AHMDSTE.BO,2024-11-11,,335.74,Short,Close
AIAENG.NS,2024-08-12,,4897.94,Short,Close
AICHAMP.BO,2024-12-02,52.84,,Long,Open
AIIL.BO,2024-11-26,1563.9,,Long,Open
AIMCOPEST.BO,2024-11-25,94.67,,Long,Open
AIRAN.NS,2024-11-22,29.14,,Long,Open
AIROLAM.NS,2024-11-19,116.48,,Long,Open
AJANTPHARM.NS,2024-11-14,2813.41,,Long,Open
AJANTSOY.BO,2024-12-03,43.68,,Long,Open
AJCON.BO,2024-12-03,48.74,,Long,Open
AJEL.BO,2024-12-03,13.23,,Long,Open
AJMERA.NS,2024-11-18,874.72,,Long,Open
AJOONI.NS,2024-11-22,7.4,,Long,Open
