Ticker,Date/Time,Close,UpBars,DnBars,Downtrend Length,Uptrend Length,LR_UC,LR_MC,LR_LC,Buy
ENERGYDEV.NS,12/5/2024,28.53,7.00,0.00,11.00,7.00,29.15,28.21,27.27,1
ENGINERSIN.NS,12/5/2024,203.22,10.00,0.00,22.00,10.00,217.91,210.89,203.88,1
ENKEIWHEL.BO,12/5/2024,650.25,11.00,0.00,22.00,11.00,682.56,674.62,666.68,1
ENTRINT.BO,12/5/2024,35.99,6.00,0.00,17.00,6.00,37.18,35.64,34.11,1
ENIL.NS,12/5/2024,190.82,10.00,0.00,18.00,10.00,193.21,188.64,184.06,1
EPIC.BO,12/5/2024,129.20,146.00,0.00,210.00,146.00,119.78,97.54,75.31,1
ERIS.NS,12/5/2024,1450.00,27.00,0.00,39.00,27.00,1529.11,1474.47,1419.83,1
EROSMEDIA.NS,12/5/2024,16.09,9.00,0.00,22.00,9.00,16.69,16.28,15.88,1
EPL.NS,12/5/2024,274.30,4.00,0.00,7.00,4.00,301.78,292.47,283.17,1
ERPSOFT.BO,12/5/2024,115.65,13.00,0.00,19.00,13.00,115.13,111.97,108.82,1
ESARIND.BO,12/5/2024,5.73,4.00,0.00,21.00,4.00,5.78,5.74,5.69,1
ESTER.NS,12/5/2024,150.56,10.00,0.00,18.00,10.00,165.25,161.30,157.34,1
ETT.BO,12/5/2024,18.54,7.00,0.00,9.00,7.00,18.26,17.52,16.78,1
EUROLED.BO,12/4/2024,24.80,10.00,0.00,11.00,10.00,0.00,0.00,0.00,1
EVERESTO.BO,12/5/2024,142.55,14.00,0.00,58.00,14.00,166.39,155.10,143.81,1
EUROTEXIND.NS,12/5/2024,10.77,4.00,0.00,14.00,4.00,11.36,11.07,10.78,1
EVEREADY.NS,12/5/2024,392.70,12.00,0.00,48.00,12.00,409.98,402.85,395.73,1
EVERESTIND.NS,12/5/2024,815.50,8.00,0.00,22.00,8.00,0.00,0.00,0.00,1
EXPLEOSOL.NS,12/5/2024,1388.35,26.00,0.00,66.00,26.00,1455.54,1400.11,1344.68,1
EXPOGAS.BO,12/5/2024,51.75,7.00,0.00,22.00,7.00,53.92,53.46,53.01,1
FAIRCHEMOR.NS,12/5/2024,835.10,9.00,0.00,33.00,9.00,862.20,840.09,817.99,1
EXIDEIND.NS,12/5/2024,453.45,10.00,0.00,36.00,10.00,477.31,467.03,456.74,1
FACORALL.BO,12/5/2024,5.91,8.00,0.00,18.00,8.00,0.00,0.00,0.00,1
FACT.NS,12/5/2024,1027.30,10.00,0.00,18.00,10.00,1087.37,1044.46,1001.56,1
FAZE3Q.BO,12/5/2024,417.10,14.00,0.00,22.00,14.00,440.83,431.96,423.09,1
FCL.NS,12/5/2024,353.85,9.00,0.00,43.00,9.00,372.48,364.98,357.47,1
FCONSUMER.NS,12/4/2024,0.56,22.00,0.00,61.00,22.00,0.57,0.56,0.55,1
FELDVR.BO,12/5/2024,5.44,9.00,0.00,17.00,9.00,5.53,5.40,5.28,1
FERVENTSYN.BO,12/5/2024,17.47,10.00,0.00,29.00,10.00,18.97,18.30,17.63,1
FILATFASH.BO,12/5/2024,0.96,4.00,0.00,30.00,4.00,1.04,1.04,1.04,1
FDC.NS,12/5/2024,517.80,10.00,0.00,22.00,10.00,537.53,525.99,514.45,1
FEL.NS,12/5/2024,0.78,8.00,0.00,14.00,8.00,0.79,0.78,0.78,1
FILATEX.NS,12/5/2024,67.95,27.00,0.00,56.00,27.00,73.75,69.42,65.08,1
FIEMIND.NS,12/5/2024,1609.25,10.00,0.00,18.00,10.00,1636.92,1610.20,1583.49,1
FEDERALBNK.NS,12/5/2024,214.97,26.00,0.00,35.00,26.00,222.34,214.11,205.87,1
FINEORG.NS,12/5/2024,5098.90,10.00,0.00,18.00,10.00,5728.34,5483.14,5237.94,1
FINKURVE.BO,12/5/2024,102.39,6.00,0.00,16.00,6.00,103.18,101.73,100.28,1
FLOMIC.BO,12/5/2024,69.77,8.00,0.00,12.00,8.00,0.00,0.00,0.00,1
FINCABLES.NS,12/5/2024,1303.10,10.00,0.00,49.00,10.00,1284.16,1229.41,1174.66,1
FLEXFO.BO,12/5/2024,90.66,7.00,0.00,22.00,7.00,92.80,90.90,88.99,1
FLUOROCHEM.NS,12/5/2024,4261.25,9.00,0.00,18.00,9.00,4247.45,4164.22,4081.00,1
FLUIDOM.BO,12/5/2024,949.30,23.00,0.00,36.00,23.00,965.53,886.36,807.20,1
FOCUS.NS,12/5/2024,127.60,7.00,0.00,18.00,7.00,128.95,126.29,123.64,1
FINPIPE.NS,12/5/2024,274.95,10.00,0.00,22.00,10.00,279.94,275.24,270.53,1
FOODSIN.BO,12/5/2024,117.95,12.00,0.00,22.00,12.00,123.08,119.66,116.24,1
FMNL.NS,12/5/2024,20.19,44.00,0.00,61.00,44.00,20.37,19.19,18.02,1
FMGOETZE.NS,12/5/2024,413.60,14.00,0.00,18.00,14.00,422.61,414.05,405.50,1
FORCEMOT.BO,12/5/2024,6878.60,10.00,0.00,22.00,10.00,7260.52,7055.14,6849.76,1
FORTISMLR.BO,12/5/2024,61.66,14.00,0.00,22.00,14.00,63.22,59.39,55.56,1
FRANKLININD.BO,12/5/2024,2.12,13.00,0.00,18.00,13.00,0.00,0.00,0.00,1
FREDUN.BO,12/5/2024,780.00,9.00,0.00,12.00,9.00,843.29,819.34,795.38,1
FORTIS.NS,12/5/2024,693.95,5.00,0.00,8.00,5.00,741.90,728.26,714.61,1
FRONTSP.BO,12/5/2024,2567.75,21.00,0.00,33.00,21.00,2728.85,2578.88,2428.91,1
FUTURSEC.BO,12/4/2024,31.21,27.00,0.00,33.00,27.00,45.40,43.53,41.66,1
FSL.NS,12/5/2024,375.85,12.00,0.00,18.00,12.00,383.98,377.11,370.24,1
GALAXYSURF.NS,12/5/2024,2881.95,11.00,0.00,18.00,11.00,3003.38,2913.39,2823.41,1
GAGAN.BO,12/5/2024,25.89,12.00,0.00,17.00,12.00,26.55,25.55,24.55,1
GALXBRG.BO,12/5/2024,1100.70,7.00,0.00,35.00,7.00,1158.05,1135.24,1112.43,1
GABRIEL.NS,12/5/2024,439.45,14.00,0.00,19.00,14.00,467.22,458.60,449.98,1
GANESHBE.BO,12/5/2024,136.90,10.00,0.00,18.00,10.00,144.06,141.23,138.40,1
GANHOLD.BO,11/28/2024,161.25,6.00,0.00,,6.00,,,,1
GANGESSECU.NS,12/5/2024,209.15,13.00,0.00,15.00,13.00,232.16,225.76,219.35,1
GANDHITUBE.NS,12/5/2024,886.55,9.00,0.00,22.00,9.00,915.46,860.45,805.44,1
GANGAPA.BO,12/5/2024,103.20,10.00,0.00,13.00,10.00,0.00,0.00,0.00,1
GAEL.NS,12/5/2024,129.56,10.00,0.00,22.00,10.00,131.39,129.03,126.67,1
GANESHHOUC.NS,12/5/2024,1273.90,14.00,0.00,19.00,14.00,1392.73,1359.89,1327.05,1
GALLANTT.NS,12/5/2024,382.50,14.00,0.00,51.00,14.00,400.90,376.36,351.83,1
GAIL.NS,12/5/2024,208.87,10.00,0.00,18.00,10.00,211.89,206.09,200.29,1
GARGFUR.BO,12/5/2024,296.10,3.00,0.00,22.00,3.00,317.67,314.42,311.16,1
GARNET.BO,12/5/2024,37.25,4.00,0.00,21.00,4.00,37.99,37.58,37.17,1
GARWAMAR.BO,12/5/2024,35.31,3.00,0.00,16.00,3.00,36.53,35.27,34.01,1
GAYAHWS.NS,12/4/2024,1.77,28.00,0.00,34.00,28.00,1.98,1.87,1.75,1
GARWSYN.BO,12/5/2024,36.31,9.00,0.00,15.00,9.00,36.75,34.80,32.86,1
GARNETINT.BO,12/5/2024,128.35,6.00,0.00,36.00,6.00,131.42,126.55,121.69,1
GAYAPROJ.NS,12/5/2024,8.00,12.00,0.00,43.00,12.00,8.97,8.64,8.30,1
GAYATRIBI.BO,12/5/2024,6.80,41.00,0.00,52.00,41.00,6.76,6.58,6.40,1
GBFL.BO,12/5/2024,13.35,5.00,0.00,15.00,5.00,13.51,13.30,13.09,1
GARFIBRES.NS,12/5/2024,4721.50,14.00,0.00,18.00,14.00,5290.16,4911.95,4533.73,1
GEE.BO,12/5/2024,156.05,8.00,0.00,17.00,8.00,159.87,154.87,149.87,1
GENCON.NS,12/5/2024,42.90,12.00,0.00,18.00,12.00,43.78,42.23,40.69,1
GEEKAYWIRE.NS,12/5/2024,105.79,13.00,0.00,23.00,13.00,108.09,102.75,97.40,1
