Buy Date,Ticker,Buy Strat,ll
2024-11-18,SURAJLTD.BO,BB_W,437.95
2024-11-18,SURFI.BO,BB_W,16.5
2024-11-18,TAAZAINT.BO,BB_UC,4.1
2024-11-18,TANFACIND.BO,EW_UC,1980.0
2024-11-18,TARINI.BO,EW_UC,22.0
2024-11-18,TECHNOE.NS,EW_DC,1395.4
2024-11-18,TELECANOR.BO,EW_DC,5.68
2024-11-18,THEMISMED.NS,EW_UC,257.0
2024-11-18,TOKYOFIN.BO,ATR_W,23.9
2024-11-18,TRANSPEK.BO,BB_W,1485.1
2024-11-18,TTKHLTCARE.NS,BB_DC,1399.05
2024-11-18,TYROON.BO,EW_UC,130.0
2024-11-18,UNITDSPR.BO,BB_W,1420.65
2024-11-18,UNITEDINT.BO,BB_UC,82.6
2024-11-18,UNITEDPOLY.NS,BB_W,112.0
2024-11-18,UNIVASTU.NS,BB_DC,219.34
2024-11-18,UNIVSTAR.BO,EW_W,171.05
2024-11-18,UNQTYMI.BO,ATR_DC,10.65
2024-11-18,UVDRHOR.BO,EW_UC,92.41
2024-11-18,VASWANI.NS,BB_W,46.51
2024-11-18,VELJAN.BO,EW_UC,1415.5
2024-11-18,VHL.NS,ATR_UC,4000.0
2024-11-18,VINEETLAB.BO,EW_BW,47.25
2024-11-18,VIVOBIOT.BO,EW_BW,31.2
2024-11-18,YAMNINV.BO,LR_W,1.52
2024-11-18,ZMULTIPU.BO,BB_DC,9.24
2024-11-18,ZODIACVEN.BO,EW_W,13.53
2024-11-18,ZOMATO.NS,BB_W,239.45
