Trade Day,System,Trade Direction,Stock,Entry Price,ISL/TSL,Buy Qty,Sell Qty,Sell Price,Exit Strategy,Commission,Trade Category,Account,CMP,CMP_Date,Target,Last Alert Date
2025-01-15,EW_BW,Long,PRAJIND.NS,739.0,690.6,20.66,20.66,,,,,KRBPT,,,,2025-01-15
2025-01-15,EWBB_DC,Long,PRAKASH.NS,162.0,143.43,53.85,53.85,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_BW,Long,PREMIER.NS,3.0,2.92,12500.0,12500.0,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_BW,Long,PRERINFRA.BO,32.0,29.1,344.83,344.83,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,PTC.NS,136.0,127.69,120.34,120.34,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_UC,Long,QGO.BO,66.0,54.0,83.33,83.33,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,RAGHUNAT.BO,16.0,14.81,840.34,840.34,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_W,Long,RAGHUSYN.BO,147.0,136.0,90.91,90.91,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_DC,Long,RAJPACK.BO,31.65,26.81,206.61,206.61,,,,,KRBPT,,,,2025-01-13
2025-01-15,EW_DC,Long,RAJRATAN.NS,496.0,454.8,24.27,24.27,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_DC,Long,RAMAPPR-B.BO,16.02,14.51,662.25,662.25,,,,,KRBPT,,,,2025-01-14
2025-01-15,EW_BW,Long,RAMASTEEL.NS,12.0,10.9,909.09,909.09,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,RAMGOPOLY.BO,6.0,5.06,1063.83,1063.83,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_UC,Long,RAYMOND.NS,1593.0,1505.3,11.4,11.4,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_BW,Long,RDBRL.BO,151.0,136.3,68.03,68.03,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_DC,Long,REALECO.BO,6.1,6.05,20000.0,20000.0,,,,,KRBPT,,,7.79,2025-01-02
2025-01-15,ATR_W,Long,RELICTEC.BO,25.52,12.07,74.35,74.35,,,,,KRBPT,,,,2025-01-08
2025-01-15,EW_DC,Long,RELTD.BO,123.0,114.9,123.46,123.46,,,,,KRBPT,,,,2025-01-15
2025-01-15,BB_DC,Long,REPCOHOME.NS,414.5,390.6,41.84,41.84,,,,,KRBPT,,,438.99,2025-01-02
2025-01-15,EW_UC,Long,RKDL.NS,28.0,25.71,436.68,436.68,,,,,KRBPT,,,,2025-01-15
2025-01-15,ATREW_W,Long,RMC.BO,903.0,841.0,16.13,16.13,,,,,KRBPT,,,,2025-01-15
2025-01-15,EWBB_DC,Long,RPPINFRA.NS,179.0,167.41,86.28,86.28,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,RUBFILA.BO,80.0,72.1,126.58,126.58,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,RUCHINFRA.NS,12.0,10.01,502.51,502.51,,,,,KRBPT,,,,2025-01-15
2025-01-15,EW_DC,Long,RVHL.NS,70.0,63.44,152.44,152.44,,,,,KRBPT,,,,2025-01-15
2025-01-15,ATRBB_DC,Long,SAGARDEEP.NS,30.77,26.5,234.19,234.19,,,,,KRBPT,,,,2025-01-14
2025-01-15,EW_DC,Long,SAINIK.BO,42.0,35.7,158.73,158.73,,,,,KRBPT,,,,2025-01-15
