Ticker,Date/Time,Close,Mega Sellby Larger Wave,SL
360ONE.NS,10/31/2024,1193,1083.25,982.00
360ONE.NS,1/3/2025,1193,1306.05,1001.05
21STCENMGM.NS,11/7/2024,86,121.33,104.36
21STCENMGM.NS,12/6/2024,86,100.78,91.71
20MICRONS.NS,12/4/2024,230,264.76,220.70
20MICRONS.NS,1/3/2025,230,257.93,225.70
3IINFOLTD.NS,12/13/2024,28,32.92,25.95
3IINFOLTD.NS,1/1/2025,28,32.25,27.75
3PLAND.NS,11/27/2024,53,68.75,34.05
3PLAND.NS,12/3/2024,53,67.28,34.05
3PLAND.NS,12/17/2024,53,76.74,55.60
3PLAND.NS,12/27/2024,53,65.63,60.50
3PLAND.NS,12/30/2024,53,64.51,60.50
3PLAND.NS,12/31/2024,53,60.71,58.40
3PLAND.NS,1/1/2025,53,61.65,58.00
3PLAND.NS,1/2/2025,53,62.24,58.00
3PLAND.NS,1/3/2025,53,61.95,58.00
3PLAND.NS,1/6/2025,53,60.75,57.00
3PLAND.NS,1/7/2025,53,58.85,57.00
3PLAND.NS,1/8/2025,53,58.51,57.00
3PLAND.NS,1/9/2025,53,58.71,55.01
3PLAND.NS,1/10/2025,53,57.17,54.70
3PLAND.NS,1/13/2025,53,54.33,52.34
3PLAND.NS,1/14/2025,53,50.72,49.72
3MINDIA.NS,11/1/2024,28815,36257.04,33131.60
3MINDIA.NS,11/29/2024,28815,32232.95,30629.00
5PAISA.NS,11/1/2024,423,522.09,480.00
5PAISA.NS,12/10/2024,423,511.08,466.00
7NR.BO,9/27/2024,5,6.00,5.62
7NR.BO,11/29/2024,5,6.46,4.96
7NR.BO,12/9/2024,5,5.71,4.96
7NR.BO,12/10/2024,5,5.91,4.96
7NR.BO,12/11/2024,5,5.64,4.96
7NR.BO,12/12/2024,5,5.70,4.96
7NR.BO,12/13/2024,5,5.70,5.39
7NR.BO,12/16/2024,5,5.54,5.38
7NR.BO,12/17/2024,5,5.51,5.35
7NR.BO,12/18/2024,5,5.41,5.16
7NR.BO,12/19/2024,5,5.34,5.15
7NR.BO,12/20/2024,5,5.32,5.11
7NR.BO,12/24/2024,5,5.03,4.90
7NR.BO,12/26/2024,5,5.14,4.90
7NR.BO,12/27/2024,5,5.03,4.83
7NR.BO,12/30/2024,5,5.05,4.83
7NR.BO,12/31/2024,5,5.02,4.83
7NR.BO,1/1/2025,5,5.06,4.83
7NR.BO,1/2/2025,5,5.21,4.83
7NR.BO,1/3/2025,5,5.12,4.83
7NR.BO,1/6/2025,5,5.05,4.83
7NR.BO,1/7/2025,5,5.05,4.83
7NR.BO,1/8/2025,5,5.13,4.83
7NR.BO,1/9/2025,5,5.20,4.82
7NR.BO,1/10/2025,5,5.00,4.82
7NR.BO,1/13/2025,5,4.97,4.69
7SEASL.BO,1/8/2025,84,89.57,70.05
63MOONS.NS,11/1/2024,817,618.09,436.10
63MOONS.NS,11/12/2024,817,608.52,555.00
63MOONS.NS,12/11/2024,817,906.44,550.65
63MOONS.NS,12/19/2024,817,1009.99,550.65
63MOONS.NS,1/1/2025,817,944.95,826.00
7TEC.BO,11/1/2024,52,60.84,50.26
7TEC.BO,11/21/2024,52,58.84,53.15
7TEC.BO,11/22/2024,52,58.08,53.15
7TEC.BO,11/25/2024,52,57.56,53.15
7TEC.BO,11/26/2024,52,57.21,53.15
7TEC.BO,11/27/2024,52,56.55,53.15
7TEC.BO,11/28/2024,52,57.32,53.15
7TEC.BO,11/29/2024,52,56.08,53.50
7TEC.BO,12/2/2024,52,55.18,53.50
7TEC.BO,12/3/2024,52,55.32,53.50
7TEC.BO,12/4/2024,52,55.89,53.50
7TEC.BO,12/5/2024,52,56.71,53.50
7TEC.BO,12/6/2024,52,56.57,53.50
7TEC.BO,12/17/2024,52,58.30,53.50
^CNXENERGY,12/3/2024,33821,37963.50,35440.85
^CNXIT,12/13/2024,43401,45835.05,42738.75
1STCUS.BO,11/11/2024,143,128.93,100.60
1STCUS.BO,12/31/2024,143,161.95,116.65
^CNXAUTO,12/6/2024,22713,23917.59,22659.05
^CNXAUTO,1/2/2025,22713,23827.65,22488.30
^CNXPSUBANK,11/7/2024,6151,7014.04,6188.85
^CNXPSUBANK,12/6/2024,6151,7200.19,6163.75
^CNXMETAL,11/6/2024,8281,9603.40,8924.55
^CNXMETAL,12/12/2024,8281,9507.63,8652.15
^NSEBANK,12/5/2024,48752,53628.81,51693.95
A2ZINFRA.NS,10/28/2024,24,17.09,16.02
A2ZINFRA.NS,11/8/2024,24,20.23,15.83
A2ZINFRA.NS,11/19/2024,24,18.19,16.50
A2ZINFRA.NS,12/10/2024,24,20.90,16.23
A2ZINFRA.NS,12/17/2024,24,22.96,16.23
A2ZINFRA.NS,12/26/2024,24,25.09,16.23
A2ZINFRA.NS,1/2/2025,24,26.31,16.23
A2ZINFRA.NS,1/9/2025,24,24.25,22.76
A2ZINFRA.NS,1/10/2025,24,23.25,22.36
A2ZINFRA.NS,1/13/2025,24,22.17,21.49
AAATECH.NS,11/7/2024,101,128.15,110.00
AAATECH.NS,12/6/2024,101,117.01,111.21
^CNXREALTY,12/16/2024,921,1114.44,1061.05
AAKASH.NS,11/1/2024,9,11.95,10.51
AAKASH.NS,12/2/2024,9,11.22,10.24
^NSEI,12/13/2024,23213,24639.43,24180.80
AAIL.BO,11/12/2024,136,113.79,103.25
AAIL.BO,12/11/2024,136,140.50,100.15
