Date/Time,Ticker,Alert,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Buy_ZZ,Close,DnBars,Downtrend Length,FromHigh,FromLow,LR_LC,LR_MC,LR_UC,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,S1,SCTR,SL,UpBars,Uptrend Length,hh,ll,myShort,Buy,Current_Price,Quantity,P/L Percentage
2025-01-15,360ONE.NS,1.0,,ATR,,,,,1193.45,,,0.0,0.0,,,,,3563.0,_BW,83.91,574.0,6.34,14.46,,,,1318.0,1089.0,,ATR_BW,1193.449951171875,10.0,-4.091342330677844e-08
2025-01-15,AARVEEDEN.NS,1.0,,ATR,,,,ZZ,133.95,0.0,66.0,0.0,0.0,127.91,132.08,136.26,,3563.0,_DC,98.99,37.0,5.84,156.82,,54.0,54.0,134.21,41.25,,ATR_DC,133.9499969482422,11.0,-2.2782812998367423e-08
2025-01-15,ABVL.BO,,,,BB,,,,181.75,,,,0.0,,,,,3563.0,_DC,10.02,3206.0,,,,,,209.55,118.0,,BB_DC,181.75,16.0,0.0
2025-01-15,ACCURACY.NS,1.0,,,,EW,,,10.0,,,0.0,0.0,,,,,3563.0,_DC,35.85,2286.0,4.67,-8.96,9.1,,,12.5,9.1,,EW_DC,10.0,1111.0,0.0
2025-01-15,ACEMEN.BO,1.0,,,,EW,,,86.0,,,0.0,0.0,,,,,3563.0,_UC,94.3,204.0,5.57,39.06,78.0,,,92.82,78.0,,EW_UC,86.0999984741211,125.0,0.001162772954896439
2025-01-15,ACROW.BO,1.0,,,BB,,,,748.9,,,1.0,20.0,,,,,3563.0,_DC,63.45,1303.0,4.61,1.24,,,,926.0,692.0,,BB_DC,748.9000244140625,18.0,3.259989654524952e-08
2025-01-15,ADANIENT.NS,0.0,,,,EW,,,2388.0,,,8.0,8.0,,,,,3563.0,_BW,30.18,2488.0,0.35,-10.8,2216.9,,,2644.2,2216.9,,EW_BW,2388.14990234375,6.0,6.277317577470687e-05
2025-01-15,ADANIPORTS.NS,0.0,,,,EW,,,1129.0,,,0.0,8.0,,,,,3563.0,_DC,28.19,2559.0,1.05,-11.57,1058.95,,,1604.95,1058.95,,EW_DC,1128.9000244140625,14.0,-8.855233475420727e-05
2025-01-15,ADITYASP.BO,0.0,,,,EW,,,27.0,,,0.0,0.0,,,,,3563.0,_BW,78.78,757.0,2.88,9.47,25.0,,,33.5,25.0,,EW_BW,26.809999465942383,500.0,-0.0070370568169487845
2025-01-15,ADORWELD.NS,1.0,,,BB,EW,,,1132.0,,,0.0,0.0,,,,,3563.0,_DC,38.57,2189.0,6.53,-8.04,1038.05,,,1449.4,1038.05,,EWBB_DC,1131.949951171875,11.0,-4.42127456934629e-05
2025-01-15,AGIOPAPER.BO,0.0,,,BB,,,ZZ,7.26,0.0,15.0,,,7.16,7.44,7.72,,3563.0,_W,82.62,620.0,-6.67,13.08,,11.0,11.0,,0.0,,BB_W,7.260000228881836,138.0,3.152642371221251e-08
2025-01-15,AIROLAM.NS,1.0,,,BB,EW,,,130.0,,,4.0,0.0,,,,,3563.0,_W,65.19,1241.0,6.22,1.93,120.31,,,150.0,120.31,,EWBB_W,130.4199981689453,103.0,0.003230755145733173
2025-01-15,AKSHAR.BO,0.0,,,,EW,,,1.0,,,0.0,0.0,,,,,3563.0,_DC,10.78,3179.0,2.04,-39.58,0.66,,,0.81,0.66,,EW_DC,0.7400000095367432,2941.0,-0.25999999046325684
2025-01-15,AKSPINTEX.BO,0.0,,ATR,,,,ZZ,719.5,0.0,13.0,2.0,2.0,778.66,779.5,780.34,,3563.0,_W,98.2,65.0,0.5,96.77,,8.0,8.0,754.55,193.15,,ATR_W,719.5,2.0,0.0
2025-01-15,ALEMBICLTD.NS,0.0,,,,EW,,,123.0,,,0.0,0.0,,,,,3563.0,_DC,38.1,2206.0,0.05,-8.17,115.17,,,153.39,115.17,,EW_DC,122.95999908447266,128.0,-0.0003252106953442581
2025-01-15,ALFAVIO.BO,0.0,,,,EW,,,14.0,,,4.0,5.0,,,,,3563.0,_BW,46.41,1910.0,-1.46,-5.24,12.71,,,17.95,11.0,,EW_BW,13.890000343322754,333.0,-0.007857118334089006
2025-01-15,ALOKINDS.NS,1.0,,,BB,EW,,,21.0,,,0.0,0.0,,,,,3563.0,_DC,34.19,2345.0,7.16,-9.53,18.35,,,24.56,18.35,,EWBB_DC,20.8799991607666,377.0,-0.0057143256777808776
2025-01-15,ANANTRAJ.NS,1.0,,ATR,,,,,895.25,,,1.0,0.0,,,,,3563.0,_UC,95.26,170.0,10.04,46.19,,,,947.9,635.1,,ATR_UC,895.25,4.0,0.0
2025-01-15,ANGELONE.NS,1.0,,,,EW,,,2497.0,,,0.0,0.0,,,,,3563.0,_DC,55.22,1596.0,6.05,-1.82,2274.0,,,3503.15,2274.0,,EW_DC,2497.35009765625,4.0,0.00014020731127352824
2025-01-15,ANMOL.BO,0.0,,,,EW,,,23.0,,,0.0,0.0,,,,,3563.0,_DC,13.78,3072.0,0.07,-22.5,22.0,,,37.09,22.0,,EW_DC,23.170000076293945,1000.0,0.0073913076649541444
2025-01-15,APLAPOLLO.NS,0.0,,,,EW,,,1513.0,,,15.0,0.0,,,,,3563.0,_DC,61.93,1357.0,3.09,0.49,1415.4,,,1645.8,1415.4,,EW_DC,1513.300048828125,10.0,0.00019831383220423002
2025-01-15,ARENTERP.NS,0.0,,,BB,,,,48.09,,,0.0,0.0,,,,,3563.0,_DC,50.17,1776.0,0.17,-3.72,,,,88.34,45.49,,BB_DC,48.09000015258789,385.0,3.172965007577352e-09
2025-01-15,ARTSONEN.BO,0.0,,,BB,,,,191.05,,,0.0,0.0,,,,,3563.0,_DC,78.72,759.0,1.56,9.42,,,,201.95,162.5,,BB_DC,194.5500030517578,35.0,0.01831982754126041
2025-01-15,ASAL.NS,0.0,,,BB,,,,638.5,,,0.0,0.0,,,,,3563.0,_DC,24.17,2702.0,2.33,-13.26,,,,819.6,585.1,,BB_DC,638.5,19.0,0.0
2025-01-15,ASHNOOR.BO,1.0,,,,EW,,,66.0,,,0.0,0.0,,,,,3563.0,_DC,88.66,405.0,6.46,21.1,61.2,,,84.11,61.2,,EW_DC,65.98999786376953,208.0,-0.0001515475186434659
2025-01-15,ASMTEC.BO,0.0,,,,EW,,,1291.0,,,0.0,0.0,,,,,3563.0,_DC,46.01,1924.0,2.9,-5.39,1186.0,,,1620.0,1186.0,,EW_DC,1290.8499755859375,10.0,-0.0001162079117447715
2025-01-15,AVI.BO,1.0,,,,EW,,,13.0,,,2.0,1.0,,,,,3563.0,_UC,82.48,625.0,9.22,12.93,11.53,,,13.85,4.8,,EW_UC,13.420000076293945,122.0,0.03230769817645733
2025-01-15,AXITA.BO,1.0,,,,EW,,,11.0,,,0.0,0.0,,,,,3563.0,_DC,16.25,2984.0,4.76,-19.23,10.12,,,21.34,10.12,,EW_DC,10.880000114440918,1136.0,-0.010909080505371094
2025-01-15,BAJAJHLDNG.NS,0.0,,,BB,EW,,,10849.0,,,2.0,0.0,,,,,3563.0,_DC,76.73,830.0,2.2,7.72,10245.1,,,13238.0,10245.1,,EWBB_DC,10849.150390625,2.0,1.3862164715641995e-05
2025-01-15,BENARAS.BO,1.0,,,,EW,,ZZ,9166.0,0.0,23.0,0.0,0.0,8180.53,8907.52,9634.5,,3563.0,_BW,82.73,616.0,11.21,13.13,8000.0,3.0,3.0,9400.0,8000.0,,EW_BW,9270.0498046875,1.0,0.0113517133632446
2025-01-15,BERYLSE.BO,0.0,,,BB,,,,36.1,,,3.0,0.0,,,,,3563.0,_DC,84.73,545.0,1.22,15.48,,,,41.3,32.56,,BB_DC,36.099998474121094,282.0,-4.2268113785902644e-08
2025-01-15,BFFL.BO,0.0,,,BB,,,ZZ,52.85,0.0,12.0,3.0,4.0,52.12,52.97,53.82,,3563.0,_W,69.74,1079.0,0.35,3.86,,5.0,5.0,54.74,39.77,,BB_W,52.849998474121094,76.0,-2.8871880939850245e-08
2025-01-15,BFUTILITIE.NS,1.0,,,,EW,,,869.0,,,0.0,0.0,,,,,3563.0,_DC,62.24,1346.0,4.16,0.56,803.0,,,1080.0,803.0,,EW_DC,868.7000122070312,15.0,-0.0003452103486406789
2025-01-15,BHANDARI.NS,0.0,,,,EW,,,7.0,,,0.0,0.0,,,,,3563.0,_DC,53.68,1651.0,2.9,-2.35,6.06,,,8.7,6.06,,EW_DC,6.880000114440918,1064.0,-0.017142840794154575
2025-01-15,BHARATRAS.NS,1.0,,,,EW,,,10020.0,,,0.0,0.0,,,,,3563.0,_BW,48.79,1825.0,4.86,-4.28,9223.2,,,12300.0,9223.2,,EW_BW,10020.099609375,1.0,9.941055389221557e-06
2025-01-15,BHARATSE.BO,0.0,,,BB,,,,89.0,,,0.0,0.0,,,,,3563.0,_DC,11.12,3167.0,1.06,-35.98,,,,235.0,84.7,,BB_DC,88.94000244140625,233.0,-0.0006741298718398876
2025-01-15,BIOGEN.BO,,,,BB,,,,1.18,,,0.0,,,,,,3563.0,_DC,10.02,3206.0,,,,,,1.28,1.03,,BB_DC,1.1799999475479126,6667.0,-4.445092147472141e-08
2025-01-15,BIRLAPREC.BO,1.0,,,,EW,,,58.0,,,0.0,0.0,,,,,3563.0,_DC,39.81,2145.0,4.19,-7.58,52.0,,,71.7,52.0,,EW_DC,57.11000061035156,167.0,-0.015344817062904095
2025-01-15,BLUECLOUDS.BO,0.0,,,BB,,,,87.63,,,0.0,0.0,,,,,3563.0,_DC,99.3,26.0,2.89,240.94,,,,196.95,83.61,,BB_DC,87.62999725341797,249.0,-3.134294221958834e-08
2025-01-15,BSE.NS,1.0,,ATR,,,,,5786.0,,,0.0,0.0,,,,,3563.0,_DC,96.86,113.0,8.72,64.8,,,,5837.95,5023.1,,ATR_DC,5786.0,1.0,0.0
2025-01-15,BTTL.BO,0.0,,,,EW,,,48.0,,,2.0,2.0,,,,,3563.0,_W,66.68,1188.0,0.86,2.48,44.0,,,60.0,41.56,,EW_W,47.5,155.0,-0.010416666666666666
2025-01-15,BVCL.NS,0.0,,,,EW,,,47.0,,,0.0,0.0,,,,,3563.0,_DC,29.39,2516.0,1.31,-11.13,43.0,,,54.69,43.0,,EW_DC,46.84000015258789,250.0,-0.0034042520725980716
2025-01-15,CAPPIPES.BO,0.0,,,,EW,,,18.0,,,3.0,3.0,,,,,3563.0,_DC,75.77,864.0,0.27,7.23,17.05,,,21.01,14.01,,EW_DC,18.229999542236328,251.0,0.012777752346462674
2025-01-15,CARYSIL.NS,0.0,,,,EW,,,736.0,,,0.0,0.0,,,,,3563.0,_BW,50.87,1751.0,2.6,-3.51,660.0,,,828.95,660.0,,EW_BW,736.0,13.0,0.0
2025-01-15,CHOICEIN.BO,1.0,,,,EW,,,531.0,,,0.0,0.0,,,,,3563.0,_W,87.76,437.0,4.89,19.6,493.6,,,568.85,493.6,,EW_W,530.6500244140625,27.0,-0.0006590877324623352
2025-01-15,CHOWGULSTM.BO,0.0,,,,EW,,,27.0,,,0.0,0.0,,,,,3563.0,_DC,48.26,1844.0,2.67,-4.54,25.0,,,33.99,25.0,,EW_DC,26.959999084472656,500.0,-0.0014815153899016204
2025-01-15,CLIOINFO.BO,0.0,,,,EW,,,6.0,,,0.0,0.0,,,,,3563.0,_W,54.07,1637.0,3.44,-2.21,5.51,,,9.33,5.51,,EW_W,5.960000038146973,2041.0,-0.006666660308837891
2025-01-15,CMMHOSP.BO,1.0,,,BB,,,ZZ,44.64,0.0,6.0,0.0,7.0,44.24,44.59,44.94,,3563.0,,81.53,659.0,4.04,11.95,,3.0,3.0,59.9,38.57,,BB,44.63999938964844,165.0,-1.3672750068737325e-08
2025-01-15,COARO.BO,0.0,,,BB,,,,38.0,,,,,,,,,3563.0,_DC,75.72,866.0,3.2,7.17,,,,,0.0,,BB_DC,38.0,26.0,0.0
2025-01-15,COMFINTE.BO,1.0,,,,EW,,,12.0,,,0.0,0.0,,,,,3563.0,_DC,80.54,694.0,5.5,10.93,11.2,,,15.8,11.2,,EW_DC,12.40999984741211,1250.0,0.03416665395100912
2025-01-15,COMSYN.BO,0.0,,,BB,,,,79.7,,,3.0,0.0,,,,,3563.0,_DC,73.98,928.0,0.31,6.23,,,,95.04,53.1,,BB_DC,79.69999694824219,38.0,-3.829056230040365e-08
2025-01-15,CONTPTR.BO,1.0,,,,EW,,,109.0,,,4.0,0.0,,,,,3563.0,_BW,89.3,382.0,5.12,22.68,99.0,,,122.95,99.0,,EW_BW,107.69999694824219,100.0,-0.011926633502365253
2025-01-15,COSMOFE.BO,0.0,,,BB,,,,321.0,,,2.0,0.0,,,,,3563.0,_W,93.23,242.0,1.22,33.44,,,,384.9,140.6,,BB_W,321.0,6.0,0.0
2025-01-15,CRANEX.BO,1.0,,,,EW,,,132.0,,,1.0,0.0,,,,,3563.0,_UC,86.44,484.0,6.35,17.32,123.35,,,150.85,120.0,,EW_UC,131.5,83.0,-0.003787878787878788
2025-01-15,CROWN.NS,0.0,,,BB,EW,,,206.0,,,0.0,0.0,,,,,3563.0,_DC,32.93,2390.0,2.77,-9.89,186.15,,,285.0,186.15,,EWBB_DC,206.07000732421875,50.0,0.00033984137970266993
