Buy Date,Ticker,Buy Strat,ll
2025-01-15,360ONE.NS,ATR_BW,1089.0
2025-01-15,AARVEEDEN.NS,ATR_DC,41.25
2025-01-15,ABVL.BO,BB_DC,118.0
2025-01-15,ACCURACY.NS,EW_DC,9.1
2025-01-15,ACEMEN.BO,EW_UC,78.0
2025-01-15,ACROW.BO,BB_DC,692.0
2025-01-15,ADANIENT.NS,EW_BW,2216.9
2025-01-15,ADANIPORTS.NS,EW_DC,1058.95
2025-01-15,ADITYASP.BO,EW_BW,25.0
2025-01-15,ADORWELD.NS,EWBB_DC,1038.05
2025-01-15,AGIOPAPER.BO,BB_W,
2025-01-15,AIROLAM.NS,EWBB_W,120.31
2025-01-15,AKSHAR.BO,EW_DC,0.66
2025-01-15,AKSPINTEX.BO,ATR_W,193.15
2025-01-15,ALEMBICLTD.NS,EW_DC,115.17
2025-01-15,ALFAVIO.BO,EW_BW,11.0
2025-01-15,ALOKINDS.NS,EWBB_DC,18.35
2025-01-15,ANANTRAJ.NS,ATR_UC,635.1
2025-01-15,ANGELONE.NS,EW_DC,2274.0
2025-01-15,ANMOL.BO,EW_DC,22.0
2025-01-15,APLAPOLLO.NS,EW_DC,1415.4
2025-01-15,ARENTERP.NS,BB_DC,45.49
2025-01-15,ARTSONEN.BO,BB_DC,162.5
2025-01-15,ASAL.NS,BB_DC,585.1
2025-01-15,ASHNOOR.BO,EW_DC,61.2
2025-01-15,ASMTEC.BO,EW_DC,1186.0
2025-01-15,AVI.BO,EW_UC,4.8
2025-01-15,AXITA.BO,EW_DC,10.12
2025-01-15,BAJAJHLDNG.NS,EWBB_DC,10245.1
2025-01-15,BENARAS.BO,EW_BW,8000.0
2025-01-15,BERYLSE.BO,BB_DC,32.56
2025-01-15,BFFL.BO,BB_W,39.77
2025-01-15,BFUTILITIE.NS,EW_DC,803.0
2025-01-15,BHANDARI.NS,EW_DC,6.06
2025-01-15,BHARATRAS.NS,EW_BW,9223.2
2025-01-15,BHARATSE.BO,BB_DC,84.7
2025-01-15,BIOGEN.BO,BB_DC,1.03
2025-01-15,BIRLAPREC.BO,EW_DC,52.0
2025-01-15,BLUECLOUDS.BO,BB_DC,83.61
2025-01-15,BSE.NS,ATR_DC,5023.1
2025-01-15,BTTL.BO,EW_W,41.56
2025-01-15,BVCL.NS,EW_DC,43.0
2025-01-15,CAPPIPES.BO,EW_DC,14.01
2025-01-15,CARYSIL.NS,EW_BW,660.0
2025-01-15,CHOICEIN.BO,EW_W,493.6
2025-01-15,CHOWGULSTM.BO,EW_DC,25.0
2025-01-15,CLIOINFO.BO,EW_W,5.51
2025-01-15,CMMHOSP.BO,BB,38.57
2025-01-15,COARO.BO,BB_DC,
2025-01-15,COMFINTE.BO,EW_DC,11.2
2025-01-15,COMSYN.BO,BB_DC,53.1
2025-01-15,CONTPTR.BO,EW_BW,99.0
2025-01-15,COSMOFE.BO,BB_W,140.6
2025-01-15,CRANEX.BO,EW_UC,120.0
2025-01-15,CROWN.NS,EWBB_DC,186.15
2025-01-15,CSBBANK.NS,EW_UC,288.55
2025-01-15,CUBIFIN.BO,EWBB_DC,2.26
2025-01-15,CYBELEIND.BO,EW_BW,33.0
2025-01-15,CYBERMEDIA.NS,LR_BW,22.87
2025-01-15,DARJEELING.BO,ATREW_BW,29.47
2025-01-15,DDIL.BO,EW_DC,5.42
2025-01-15,DEEPAKFERT.NS,EW_DC,1063.75
2025-01-15,DEVIT.NS,EW_BW,147.87
2025-01-15,DHANFAB.BO,ATREW_UC,54.0
2025-01-15,DHINDIA.BO,EW_W,120.1
2025-01-15,DHOOTIN.BO,EW_BW,282.0
2025-01-15,DHRUVCA.BO,EW_BW,298.0
2025-01-15,DITCO.BO,BB_DC,11.3
2025-01-15,DOLLAR.NS,BB_DC,415.1
2025-01-15,DRCSYSTEMS.NS,EW_DC,24.75
2025-01-15,DUNCANENG.BO,EW_BW,460.0
2025-01-15,EIHAHOTELS.NS,EW_BW,365.3
2025-01-15,EKAMLEA.BO,EWBB_W,7.79
2025-01-15,ELECON.NS,ATREW_DC,533.85
2025-01-15,ELECTCAST.NS,EW_DC,119.12
2025-01-15,EMAMIPAP.NS,EW_DC,98.41
2025-01-15,ENERGYDEV.NS,BB_DC,23.33
2025-01-15,ENGINERSIN.NS,EW_DC,161.15
2025-01-15,ETIL.BO,EW_DC,7.22
2025-01-15,EVEXIA.BO,EWBB_DC,2.77
2025-01-15,EXCEL.NS,EW_DC,0.77
2025-01-15,FAIRCHEMOR.NS,EW_UC,774.1
2025-01-15,FAZE3Q.BO,EW_BW,387.7
2025-01-15,FERVENTSYN.BO,EWBB_DC,17.75
2025-01-15,FOODSIN.BO,BB_DC,95.1
2025-01-15,FRANKLININD.BO,BB_DC,1.71
2025-01-15,GANECOS.NS,ATREW_DC,1571.45
2025-01-15,GARWSYN.BO,BB_W,28.65
2025-01-15,GENCON.NS,EW_DC,36.78
2025-01-15,GINISILK.BO,EW_BW,101.5
2025-01-15,GLCL.BO,EW_AT,33.11
2025-01-15,GLFL.NS,ATR_UC,6.71
2025-01-15,GLOBUSCON.BO,EW_BW,15.35
2025-01-15,GOLDTECH.NS,EW_BW,62.5
2025-01-15,GOLKUNDIA.BO,EW_DC,168.85
2025-01-15,GPIL.NS,BB_W,180.1
2025-01-15,GPTINFRA.NS,EW_DC,124.92
2025-01-15,GREENPOWER.NS,EW_DC,14.51
2025-01-15,GTNINDS.BO,EW_W,32.95
2025-01-15,GTV.BO,ATR_W,510.1
2025-01-15,GUJCOTEX.BO,EW_UC,10.57
2025-01-15,GUJTLRM.BO,EW_UC,12.65
2025-01-15,HARDWYN.BO,BB_DC,15.24
2025-01-15,HATSUN.NS,EW_BW,930.65
