Ticker,Date/Time,BullBreak,BearBreak,Pattern,Close
360ONE.NS,1/9/2025,,,Broadening Wedge,1166.55
360ONE.NS,1/10/2025,,,Broadening Wedge,1129.10
360ONE.NS,1/13/2025,,,Broadening Wedge,1101.95
360ONE.NS,1/14/2025,,,Broadening Wedge,1126.50
360ONE.NS,1/15/2025,,,Broadening Wedge,1193.45
20MICRONS.NS,1/9/2025,,,Broadening Wedge,240.57
20MICRONS.NS,1/10/2025,,,Broadening Wedge,235.28
20MICRONS.NS,1/13/2025,,,Broadening Wedge,224.35
20MICRONS.NS,1/14/2025,,,Broadening Wedge,232.13
20MICRONS.NS,1/15/2025,,,Broadening Wedge,229.55
1STCUS.BO,1/9/2025,,,Wedge,138.95
1STCUS.BO,1/10/2025,,,Wedge,142.75
1STCUS.BO,1/13/2025,,,Wedge,142.60
1STCUS.BO,1/14/2025,,,Wedge,138.00
1STCUS.BO,1/15/2025,,,Wedge,143.00
21STCENMGM.NS,1/9/2025,,,Down Channel,89.99
21STCENMGM.NS,1/10/2025,,,Down Channel,89.33
21STCENMGM.NS,1/13/2025,,,Down Channel,87.54
21STCENMGM.NS,1/14/2025,,,Down Channel,86.75
21STCENMGM.NS,1/15/2025,,,Down Channel,86.00
3IINFOLTD.NS,1/9/2025,,,Up Channel,29.12
3IINFOLTD.NS,1/10/2025,,,Up Channel,28.08
3IINFOLTD.NS,1/13/2025,,,Up Channel,27.01
3IINFOLTD.NS,1/14/2025,,,Up Channel,27.98
3IINFOLTD.NS,1/15/2025,,,Up Channel,27.83
3MINDIA.NS,1/9/2025,,,Down Channel,30594.80
3MINDIA.NS,1/10/2025,,,Down Channel,29693.95
3MINDIA.NS,1/13/2025,,,Down Channel,29042.05
3MINDIA.NS,1/14/2025,,,Down Channel,29023.70
3MINDIA.NS,1/15/2025,,,Down Channel,28815.30
3PLAND.NS,1/9/2025,,,Wedge,57.58
3PLAND.NS,1/10/2025,,,Wedge,55.10
3PLAND.NS,1/13/2025,,,Wedge,52.34
3PLAND.NS,1/14/2025,,,Wedge,50.29
3PLAND.NS,1/15/2025,,,Wedge,52.79
4THGEN.BO,1/13/2025,,,Up Channel,6.87
5PAISA.NS,1/9/2025,,,Down Channel,447.20
5PAISA.NS,1/10/2025,,,Down Channel,435.15
5PAISA.NS,1/13/2025,,,Down Channel,416.40
5PAISA.NS,1/14/2025,,,Down Channel,423.35
5PAISA.NS,1/15/2025,,,Down Channel,422.95
7NR.BO,1/9/2025,,,Up Channel,5.07
7NR.BO,1/10/2025,,,Up Channel,4.93
7NR.BO,1/13/2025,,,Up Channel,4.69
7NR.BO,1/14/2025,,,Up Channel,4.76
7NR.BO,1/15/2025,,,Up Channel,4.93
^CNXAUTO,1/9/2025,,,Broadening Wedge,23305.20
^CNXAUTO,1/10/2025,,,Broadening Wedge,23017.75
^CNXAUTO,1/13/2025,,,Broadening Wedge,22382.25
^CNXAUTO,1/14/2025,,,Broadening Wedge,22833.05
^CNXAUTO,1/15/2025,,,Broadening Wedge,22712.75
^CNXENERGY,1/9/2025,,,Down Channel,34444.95
^CNXENERGY,1/10/2025,,,Down Channel,33743.00
^CNXENERGY,1/13/2025,,,Down Channel,32623.10
^CNXENERGY,1/14/2025,,,Down Channel,33567.75
^CNXENERGY,1/15/2025,,,Down Channel,33821.20
7TEC.BO,1/9/2025,,,Down Channel,52.00
7TEC.BO,1/10/2025,,,Down Channel,51.99
7TEC.BO,1/13/2025,,,Down Channel,51.48
7TEC.BO,1/14/2025,,,Down Channel,52.32
7TEC.BO,1/15/2025,,,Down Channel,51.58
7SEASL.BO,1/9/2025,,,Up Channel,87.17
7SEASL.BO,1/10/2025,,,Up Channel,82.82
7SEASL.BO,1/13/2025,,,Up Channel,80.27
7SEASL.BO,1/14/2025,,,Up Channel,80.43
7SEASL.BO,1/15/2025,,,Up Channel,84.45
63MOONS.NS,1/9/2025,,,Wedge,896.30
63MOONS.NS,1/10/2025,,,Wedge,857.75
63MOONS.NS,1/13/2025,,,Wedge,838.75
63MOONS.NS,1/14/2025,,,Wedge,831.10
63MOONS.NS,1/15/2025,,,Wedge,817.05
^CNXFMCG,1/9/2025,,,Down Channel,57495.60
^CNXFMCG,1/10/2025,,,Down Channel,57117.70
^CNXFMCG,1/13/2025,,,Down Channel,56420.15
^CNXFMCG,1/14/2025,,,Down Channel,55627.20
^CNXFMCG,1/15/2025,,,Down Channel,55549.85
^CNXMETAL,1/9/2025,,,Down Channel,8398.85
^CNXMETAL,1/10/2025,,,Down Channel,8262.95
^CNXMETAL,1/13/2025,,,Down Channel,7951.35
^CNXMETAL,1/14/2025,,,Down Channel,8267.50
^CNXMETAL,1/15/2025,,,Down Channel,8280.95
^CNXIT,1/9/2025,,,Up Channel,43126.45
^CNXIT,1/10/2025,,,Up Channel,44609.50
^CNXIT,1/13/2025,,,Up Channel,43999.10
^CNXIT,1/14/2025,,,Up Channel,43061.20
^CNXIT,1/15/2025,,,Up Channel,43401.25
^CNXPSUBANK,1/9/2025,,,Broadening Wedge,6255.30
^CNXPSUBANK,1/10/2025,,,Broadening Wedge,6085.10
^CNXPSUBANK,1/13/2025,,,Broadening Wedge,5897.25
^CNXPSUBANK,1/14/2025,,,Broadening Wedge,6144.75
^CNXPSUBANK,1/15/2025,,,Broadening Wedge,6150.95
^CNXREALTY,1/9/2025,,,Broadening Wedge,990.70
^CNXREALTY,1/10/2025,,,Broadening Wedge,963.30
^CNXREALTY,1/13/2025,,,Broadening Wedge,901.00
^CNXREALTY,1/14/2025,,,Broadening Wedge,908.20
^CNXREALTY,1/15/2025,,,Broadening Wedge,920.85
^NSEBANK,1/9/2025,,,Down Channel,49503.50
^NSEBANK,1/10/2025,,,Down Channel,48734.15
^NSEBANK,1/13/2025,,,Down Channel,48041.25
^NSEBANK,1/14/2025,,,Down Channel,48729.15
^NSEBANK,1/15/2025,,,Down Channel,48751.70
AAATECH.NS,1/9/2025,,,Down Channel,101.80
AAATECH.NS,1/10/2025,,,Down Channel,98.93
AAATECH.NS,1/13/2025,,,Down Channel,94.33
AAATECH.NS,1/14/2025,,,Down Channel,99.78
AAATECH.NS,1/15/2025,,,Down Channel,101.45
^NSEI,1/9/2025,,,Down Channel,23526.50
^NSEI,1/10/2025,,,Down Channel,23431.50
^NSEI,1/13/2025,,,Down Channel,23085.95
^NSEI,1/14/2025,,,Down Channel,23176.05
^NSEI,1/15/2025,,,Down Channel,23213.20
A2ZINFRA.NS,1/9/2025,,,Down Channel,23.54
A2ZINFRA.NS,1/10/2025,,,Down Channel,22.63
A2ZINFRA.NS,1/13/2025,,,Down Channel,21.49
A2ZINFRA.NS,1/14/2025,,,Down Channel,22.56
A2ZINFRA.NS,1/15/2025,,,Down Channel,23.50
AAIL.BO,1/9/2025,,,Up Channel,144.20
AAIL.BO,1/10/2025,,,Up Channel,136.60
AAIL.BO,1/13/2025,,,Up Channel,130.40
AAIL.BO,1/14/2025,,,Up Channel,134.35
AAIL.BO,1/15/2025,,,Up Channel,135.70
AAKASH.NS,1/9/2025,,,Down Channel,9.99
AAKASH.NS,1/10/2025,,,Down Channel,9.66
AAKASH.NS,1/13/2025,,,Down Channel,9.45
AAKASH.NS,1/14/2025,,,Down Channel,9.74
AAKASH.NS,1/15/2025,,,Down Channel,9.34
AANCHALISP.BO,1/9/2025,,,Broadening Wedge,5.16
AANCHALISP.BO,1/10/2025,,,Broadening Wedge,5.04
AANCHALISP.BO,1/13/2025,,,Broadening Wedge,5.05
AANCHALISP.BO,1/14/2025,,,Broadening Wedge,4.85
AANCHALISP.BO,1/15/2025,,,Broadening Wedge,5.05
AANANDALAK.BO,1/9/2025,,,Wedge,20.09
AANANDALAK.BO,1/10/2025,,,Wedge,20.09
AANANDALAK.BO,1/13/2025,,,Wedge,19.69
AANANDALAK.BO,1/14/2025,,,Wedge,20.08
AANANDALAK.BO,1/15/2025,,,Wedge,19.68
AARNAV.BO,1/9/2025,,,Up Channel,66.32
AARNAV.BO,1/10/2025,,,Up Channel,63.07
AARNAV.BO,1/13/2025,,,Up Channel,59.34
AARNAV.BO,1/14/2025,,,Up Channel,60.78
AARNAV.BO,1/15/2025,,,Up Channel,60.56
AARON.NS,1/9/2025,,,Wedge,357.15
AARON.NS,1/10/2025,,,Wedge,358.05
AARON.NS,1/13/2025,,,Wedge,347.30
AARON.NS,1/14/2025,,,Wedge,351.80
AARON.NS,1/15/2025,,,Wedge,344.55
AARTECH.BO,1/9/2025,,,Up Channel,90.76
AARTECH.BO,1/10/2025,,,Up Channel,86.23
AARTECH.BO,1/13/2025,,,Up Channel,81.92
AARTECH.BO,1/14/2025,,,Up Channel,77.83
AARTECH.BO,1/15/2025,,,Up Channel,78.86
AARTIDRUGS.NS,1/9/2025,,,Down Channel,442.25
AARTIDRUGS.NS,1/10/2025,,,Down Channel,429.95
AARTIDRUGS.NS,1/13/2025,,,Down Channel,422.75
AARTIDRUGS.NS,1/14/2025,,,Down Channel,420.05
AARTIDRUGS.NS,1/15/2025,,,Down Channel,415.35
AARTIIND.NS,1/9/2025,,,Broadening Wedge,413.40
AARTIIND.NS,1/10/2025,,,Broadening Wedge,421.75
AARTIIND.NS,1/13/2025,,,Broadening Wedge,409.45
AARTIIND.NS,1/14/2025,,,Broadening Wedge,409.35
AARTIIND.NS,1/15/2025,,,Broadening Wedge,429.75
AARTISURF.NS,1/9/2025,,,Down Channel,626.55
AARTISURF.NS,1/10/2025,,,Down Channel,614.25
AARTISURF.NS,1/13/2025,,,Down Channel,591.05
AARTISURF.NS,1/14/2025,,,Down Channel,601.50
AARTISURF.NS,1/15/2025,,,Down Channel,603.90
AARVI.NS,1/9/2025,,,Broadening Wedge,130.93
