Buy Date,Ticker,Buy Strat,Last Alert Date,ll,Buy Price,Target,Call,Status,CMP,CMP_Date,Quantity,Hit Type,Sell Price,Broker
2024-10-22,QUANTBUILD.BO,BB_W,2024-11-01,3.57,3.45,,Long,Open,4.38,2024-11-12,-8333.333333333358,,,India
2024-10-22,RALEGRA.BO,EW_DC,2024-11-06,37.71,40.04,,Long,Open,,2000-01-01,429.1845493562235,,,India
2024-10-22,RAP.BO,BB_DC,2024-10-29,33.39,36.03,,Long,Open,41.26,2024-11-11,378.7878787878787,,,India
2024-10-22,RDBRL.BO,EW_BW,2024-11-05,146.65,,190.02,Short,Closed,178.0,2024-11-12,,Target Hit,190.02,India
2024-10-22,RELIABVEN.BO,EW_BW,2024-11-01,18.51,,24.06,Short,Closed,22.5,2024-11-12,,Target Hit,24.06,India
2024-10-22,REMIEDEL.BO,BB_DC,2024-10-17,69.0,73.99,,Long,Open,,2000-01-01,200.40080160320662,,,India
2024-10-22,RIR.BO,EW_DC,2024-11-06,3101.1,3492.83,,Long,Open,,2000-01-01,2.5527786996145303,,,India
2024-10-22,RODIUM.BO,BB_DC,2024-11-04,54.16,,104.35,Short,Closed,95.0,2024-11-12,,Target Hit,104.35,India
2024-10-22,ROOPAIND.BO,ATR_W,2024-11-01,54.7,,95.25,Short,Closed,87.0,2024-11-12,,Target Hit,95.25,India
2024-10-22,SAKAR.NS,BB_DC,2024-11-05,301.55,310.85,,Long,Open,314.15,2024-11-12,107.52688172042997,,,India
2024-10-22,SAURASHCEM.BO,EWBBLR_DC,2024-10-24,103.75,,131.76,Short,Close,,2000-01-01,,,,India
2024-10-22,SEL.BO,LR_DC,2024-11-05,36.7,32.99,,Long,Open,,2000-01-01,-269.5417789757412,,,India
2024-10-22,STANROS.BO,EW_DC,2024-10-29,81.02,84.99,,Long,Open,,2000-01-01,251.88916876574314,,,India
2024-10-22,STEELCITY.NS,ATR_BW,2024-10-08,87.0,89.82,,Long,Open,113.86,2024-11-12,354.60992907801506,,,India
2024-10-22,SYMBIOX.BO,EWBB_W,2024-10-22,2.6,2.83,,Long,Open,3.65,2024-11-12,4347.826086956522,,,India
2024-10-22,SYSTMTXC.BO,BB_W,2024-11-07,1122.5,176.53,,Long,Open,,2000-01-01,-1.057115976193748,,,India
2024-10-22,TALBROAUTO.NS,ATREW_BW,2024-10-29,292.25,302.04,,Long,Open,296.45,2024-11-12,102.14504596527047,,,India
2024-10-22,THEINVEST.NS,BB_UC,2024-10-30,160.0,201.09,,Long,Open,204.8,2024-11-12,24.336821611097587,,,India
2024-10-22,TITAANIUM.BO,ATRBB_DC,2024-10-17,25.0,29.22,,Long,Open,78.5,2024-11-12,236.96682464454983,,,India
2024-10-22,UNICHEMLAB.NS,ATR_BW,2024-10-28,501.0,786.34,,Long,Open,885.25,2024-11-12,3.504591014228639,,,India
2024-10-22,VBDESAI.BO,EW_UC,2024-11-06,17.0,,35.95,Short,Close,,2000-01-01,,,,India
2024-10-22,VIJIFIN.NS,BB_DC,2024-10-30,1.97,2.5,,Long,Open,3.94,2024-11-12,1886.7924528301885,,,India
2024-10-22,ZODIACVEN.BO,BB_DC,2024-10-29,12.1,14.98,,Long,Open,,2000-01-01,347.2222222222221,,,India
