Ticker,Date/Time,Close,hh,ll,FromLow,FromHigh
1STCUS.BO,10/18/2024,113.50,126.35,89.35,5.00,3.00
1STCUS.BO,10/22/2024,109.05,126.35,89.35,6.00,4.00
21STCENMGM.NS,10/18/2024,117.89,141.40,96.70,1.00,0.00
21STCENMGM.NS,10/22/2024,117.83,122.64,96.70,2.00,0.00
20MICRONS.NS,10/18/2024,306.45,348.00,257.60,1.00,0.00
20MICRONS.NS,10/22/2024,306.50,321.00,257.60,2.00,0.00
360ONE.NS,10/18/2024,1069.25,1143.65,940.00,2.00,0.00
360ONE.NS,10/22/2024,1030.20,1143.65,940.00,3.00,1.00
3IINFOLTD.NS,10/18/2024,28.97,42.59,28.01,0.00,0.00
3IINFOLTD.NS,10/22/2024,27.06,42.59,26.96,0.00,0.00
3MINDIA.NS,10/18/2024,34011.15,40856.50,33325.80,0.00,0.00
3MINDIA.NS,10/22/2024,33800.00,40856.50,33292.00,0.00,0.00
3PLAND.NS,10/18/2024,36.90,56.15,35.53,10.00,0.00
3PLAND.NS,10/22/2024,36.60,56.15,35.11,0.00,0.00
3RDROCK.NS,10/18/2024,64.60,64.60,61.20,,86.00
3RDROCK.NS,10/21/2024,64.60,64.60,61.20,,87.00
4THGEN.BO,10/18/2024,6.24,6.24,5.17,1.00,2.00
4THGEN.BO,10/21/2024,6.24,6.24,5.17,2.00,3.00
5PAISA.NS,10/18/2024,532.25,607.05,458.00,0.00,0.00
5PAISA.NS,10/22/2024,514.15,607.05,500.05,0.00,1.00
7NR.BO,10/18/2024,5.40,,5.15,,0.00
7NR.BO,10/22/2024,5.10,,5.04,,0.00
7SEASL.BO,9/9/2024,80.94,,,,
63MOONS.NS,10/18/2024,496.60,542.50,351.00,0.00,0.00
63MOONS.NS,10/22/2024,445.00,542.50,351.00,0.00,1.00
7TEC.BO,10/18/2024,51.26,66.85,50.43,0.00,0.00
7TEC.BO,10/22/2024,51.90,66.85,50.43,1.00,1.00
^CNXAUTO,10/18/2024,25146.90,27696.10,24699.35,0.00,3.00
^CNXAUTO,10/22/2024,24749.95,27696.10,24699.35,1.00,4.00
^CNXENERGY,10/18/2024,41205.55,44721.10,40538.75,0.00,0.00
^CNXENERGY,10/22/2024,40189.00,44721.10,40160.95,0.00,0.00
^CNXFMCG,10/18/2024,61042.10,66438.70,60453.20,0.00,0.00
^CNXFMCG,10/22/2024,59956.45,66438.70,59908.20,0.00,0.00
^CNXIT,10/18/2024,42106.50,43645.90,31320.15,4.00,4.00
^CNXIT,10/22/2024,41420.25,43645.90,41414.80,0.00,5.00
^CNXMETAL,10/18/2024,9753.90,10322.05,8727.80,0.00,2.00
^CNXMETAL,10/22/2024,9373.40,10322.05,9372.50,0.00,3.00
^CNXPSUBANK,10/18/2024,6671.25,7542.55,6442.20,1.00,1.00
^CNXPSUBANK,10/22/2024,6371.15,7542.55,6356.95,0.00,0.00
^CNXREALTY,10/18/2024,1047.30,1140.40,1011.80,2.00,3.00
^CNXREALTY,10/22/2024,995.55,1140.40,994.95,0.00,0.00
^NSEBANK,10/18/2024,52094.20,54467.35,50194.30,1.00,3.00
^NSEBANK,10/22/2024,51540.80,54467.35,50194.30,2.00,4.00
^NSEI,10/18/2024,24854.05,26277.35,24567.65,0.00,0.00
^NSEI,10/22/2024,24569.85,26277.35,24560.90,0.00,0.00
A2ZINFRA.NS,10/18/2024,18.55,20.61,15.75,0.00,0.00
A2ZINFRA.NS,10/22/2024,17.06,20.61,15.75,0.00,1.00
AAATECH.NS,10/18/2024,131.68,160.85,115.00,1.00,4.00
AAATECH.NS,10/22/2024,121.89,160.85,115.00,2.00,5.00
AAIL.BO,10/18/2024,115.75,123.80,104.80,0.00,0.00
AAIL.BO,10/22/2024,108.00,123.80,102.00,0.00,0.00
AAKASH.NS,10/18/2024,11.47,17.15,10.47,1.00,1.00
AAKASH.NS,10/22/2024,10.76,17.15,10.47,2.00,2.00
AANANDALAK.BO,9/9/2024,19.11,19.63,4.76,0.00,0.00
AARNAV.BO,9/9/2024,54.95,,,,
AANCHALISP.BO,10/18/2024,6.03,6.54,5.25,1.00,0.00
AANCHALISP.BO,10/22/2024,5.56,6.54,5.25,2.00,1.00
AARON.NS,10/18/2024,271.65,297.00,251.05,1.00,1.00
AARON.NS,10/22/2024,261.50,297.00,251.05,2.00,2.00
AARTECH.BO,10/18/2024,65.06,84.75,63.00,1.00,0.00
AARTECH.BO,10/22/2024,63.01,84.75,63.00,2.00,1.00
AARTIDRUGS.NS,10/18/2024,499.85,635.00,494.55,0.00,0.00
AARTIDRUGS.NS,10/22/2024,484.35,635.00,479.80,0.00,0.00
AARTISURF.NS,10/18/2024,765.70,918.00,605.00,4.00,4.00
