Ticker,Date/Time,Close,Mega Sellby Larger Wave,SL
360ONE.NS,9/12/2024,1082,1104.03,1054.50
360ONE.NS,10/16/2024,1082,1123.01,940.00
360ONE.NS,10/31/2024,1082,1083.25,982.00
21STCENMGM.NS,9/11/2024,101,140.01,74.35
21STCENMGM.NS,10/21/2024,101,120.24,96.70
21STCENMGM.NS,11/7/2024,101,121.33,104.36
1STCUS.BO,9/25/2024,121,125.13,89.35
1STCUS.BO,11/11/2024,121,128.93,100.60
5PAISA.NS,9/23/2024,471,570.15,502.15
5PAISA.NS,10/15/2024,471,582.34,504.50
5PAISA.NS,11/1/2024,471,522.09,480.00
20MICRONS.NS,10/21/2024,224,314.00,260.00
3PLAND.NS,9/9/2024,47,44.95,41.70
63MOONS.NS,9/9/2024,579,425.80,324.90
63MOONS.NS,9/16/2024,579,410.01,387.20
63MOONS.NS,9/17/2024,579,391.39,380.55
63MOONS.NS,9/24/2024,579,412.25,371.70
63MOONS.NS,10/1/2024,579,403.07,372.10
63MOONS.NS,10/15/2024,579,528.26,351.00
63MOONS.NS,10/24/2024,579,488.39,436.10
63MOONS.NS,10/25/2024,579,471.81,436.10
63MOONS.NS,11/1/2024,579,618.09,436.10
63MOONS.NS,11/12/2024,579,608.52,555.00
3MINDIA.NS,11/1/2024,30686,36257.04,33131.60
7TEC.BO,11/1/2024,57,60.84,50.26
^CNXENERGY,9/27/2024,36524,44483.56,42093.10
^CNXMETAL,10/1/2024,8846,10192.61,9122.95
^CNXMETAL,11/6/2024,8846,9603.40,8924.55
^CNXFMCG,9/23/2024,56956,66275.87,64261.95
^CNXPSUBANK,11/7/2024,6508,7014.04,6188.85
^NSEBANK,9/26/2024,51135,54353.23,50369.40
AAATECH.NS,9/6/2024,109,137.80,113.61
AAATECH.NS,9/18/2024,109,143.00,126.20
AAATECH.NS,10/18/2024,109,132.98,125.00
AAATECH.NS,11/7/2024,109,128.15,110.00
^CNXAUTO,9/30/2024,23554,27393.94,25191.00
^NSEI,9/4/2024,23907,25182.95,23893.70
^NSEI,9/5/2024,23907,25238.52,23893.70
^NSEI,9/6/2024,23907,25076.89,24801.30
^NSEI,9/9/2024,23907,24906.41,24753.15
^NSEI,9/10/2024,23907,25072.07,24753.15
^NSEI,9/11/2024,23907,25056.56,24753.15
^NSEI,9/12/2024,23907,25310.38,24753.15
^NSEI,9/13/2024,23907,25395.99,24753.15
^NSEI,9/16/2024,23907,25418.32,24753.15
^NSEI,9/17/2024,23907,25419.30,24753.15
^NSEI,9/18/2024,23907,25433.04,24753.15
^NSEI,9/19/2024,23907,25552.98,24753.15
^NSEI,9/20/2024,23907,25743.59,24753.15
