Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
1STCUS.BO,2024-11-11,121,89.35,,128.93,132.0,Short,Close
20MICRONS.NS,2024-10-21,224,151.85,,314.0,321.0,Short,Close
21STCENMGM.NS,2024-11-07,101,42.7,,121.33,121.44,Short,Close
360ONE.NS,2024-11-18,1082,940.0,1038.63,,1099.8,Long,Open
3IINFOLTD.NS,2024-08-28,26,31.5,,37.42,38.17,Short,Close
3MINDIA.NS,2024-11-01,30686,34808.0,,36257.04,36317.6,Short,Close
3PLAND.NS,2024-10-29,47,27.8,36.53,,38.45,Long,Open
4THGEN.BO,2024-09-16,7,4.53,5.67,,5.67,Long,Open
5PAISA.NS,2024-11-01,471,458.0,,522.09,525.0,Short,Close
63MOONS.NS,2024-11-12,579,351.0,,608.52,617.6,Short,Close
7TEC.BO,2024-11-19,57,50.26,54.99,,61.85,Long,Open
A2ZINFRA.NS,2024-11-19,17,15.75,,18.19,20.5,Short,Close
AAATECH.NS,2024-11-07,109,93.55,,128.15,129.4,Short,Close
AAIL.BO,2024-11-12,103,104.8,,113.79,117.0,Short,Close
AAKASH.NS,2024-11-22,11,10.24,10.45,,11.0,Long,Open
AANCHALISP.BO,2024-11-14,6,5.16,5.39,,6.05,Long,Open
AARON.NS,2024-11-19,325,251.05,293.08,,335.0,Long,Open
AARTECH.BO,2024-11-18,73,59.64,62.01,,64.94,Long,Open
AARTIDRUGS.NS,2024-08-26,449,530.0,,613.4,632.5,Short,Close
AARTIIND.NS,2024-11-01,431,593.05,,524.26,528.35,Short,Close
AARTISURF.NS,2024-11-07,644,605.0,,742.5,768.8,Short,Close
AARVEEDEN.NS,2024-10-29,70,21.65,43.03,,50.0,Long,Open
AARVI.NS,2024-11-06,134,127.72,,152.57,154.5,Short,Close
AAVAS.NS,2024-09-23,1637,1404.1,,1907.79,1919.95,Short,Close
AAYUSH.BO,2024-10-04,137,29.8,73.11,,73.12,Long,Open
ABAN.NS,2024-11-14,62,62.82,61.01,,68.8,Long,Open
ABANSENT.BO,2024-11-19,36,25.1,33.39,,40.5,Long,Open
ABB.NS,2024-10-18,6905,4340.3,,8777.51,8940.6,Short,Close
ABBOTINDIA.BO,2024-11-04,27700,26500.05,,29497.5,29615.0,Short,Close
ABCAPITAL.NS,2024-10-01,186,165.9,,241.8,243.6,Short,Close
ABCINDQ.BO,2024-11-19,124,111.6,116.4,,138.7,Long,Open
ABFRL.NS,2024-10-15,289,198.75,,350.92,353.55,Short,Close
ABHICAP.BO,2024-11-19,154,140.2,145.93,,162.0,Long,Open
ABHIINFRA.BO,2024-09-16,6,4.2,,10.82,10.82,Short,Close
ABIRAFN.BO,2024-11-13,52,47.5,,62.23,64.8,Short,Close
ABMKNO.BO,2024-11-08,126,132.8,,142.36,143.8,Short,Close
ACC.NS,2024-11-06,2090,2267.7,,2354.94,2367.0,Short,Close
ACCEL.BO,2024-11-07,22,21.5,,24.69,24.89,Short,Close
ACCELYA.NS,2024-11-01,1458,1652.4,,1627.31,1634.75,Short,Close
ACCURACY.NS,2024-11-01,9,10.36,,10.3,10.51,Short,Close
ACE.NS,2024-11-08,1225,1225.05,,1377.03,1406.0,Short,Close
ACEINTEG.NS,2024-11-08,30,32.7,,35.65,36.49,Short,Close
ACEMEN.BO,2024-11-08,72,60.18,,83.2,84.0,Short,Close
ACESOFT.BO,2024-11-05,466,303.7,,508.25,509.0,Short,Close
ACGL.BO,2024-11-18,2173,2217.35,2194.7,,2417.95,Long,Open
ACIIN.BO,2024-11-21,3,1.88,2.53,,3.67,Long,Open
ACKNIT.BO,2024-11-04,279,270.6,,313.51,320.0,Short,Close
ACL.NS,2024-11-04,79,90.07,,90.13,90.99,Short,Close
